Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,1238
2012,Broj,Oba spola,1301
2013,Broj,Oba spola,1388
2014,Broj,Oba spola,1515
2015,Broj,Oba spola,1667
2016,Broj,Oba spola,1793
2017,Broj,Oba spola,1898
2018,Broj,Oba spola,2131
2019,Broj,Oba spola,2384
2020,Broj,Oba spola,2519
2021,Broj,Oba spola,2889
2022,Broj,Oba spola,3213
2011,Broj,M,22
2012,Broj,M,17
2013,Broj,M,22
2014,Broj,M,23
2015,Broj,M,22
2016,Broj,M,24
2017,Broj,M,28
2018,Broj,M,29
2019,Broj,M,31
2020,Broj,M,27
2021,Broj,M,48
2022,Broj,M,35
2011,Broj,Ž,1216
2012,Broj,Ž,1284
2013,Broj,Ž,1366
2014,Broj,Ž,1492
2015,Broj,Ž,1645
2016,Broj,Ž,1769
2017,Broj,Ž,1870
2018,Broj,Ž,2102
2019,Broj,Ž,2353
2020,Broj,Ž,2492
2021,Broj,Ž,2841
2022,Broj,Ž,3178
