Year,UNIT_MEASURE,Vrsta škole,Spol,Value
2011,Broj,Oba spola,Oba spola,163284
2012,Broj,Oba spola,Oba spola,166662
2013,Broj,Oba spola,Oba spola,156350
2014,Broj,Oba spola,Oba spola,143881
2015,Broj,Oba spola,Oba spola,133228
2016,Broj,Oba spola,Oba spola,126824
2017,Broj,Oba spola,Oba spola,124148
2018,Broj,Oba spola,Oba spola,117475
2019,Broj,Oba spola,Oba spola,112796
2020,Broj,Oba spola,Oba spola,110404
2011,Broj,Gimnazija,Oba spola,41081
2012,Broj,Gimnazija,Oba spola,42225
2013,Broj,Gimnazija,Oba spola,40065
2014,Broj,Gimnazija,Oba spola,37132
2015,Broj,Gimnazija,Oba spola,33321
2016,Broj,Gimnazija,Oba spola,30615
2017,Broj,Gimnazija,Oba spola,29591
2018,Broj,Gimnazija,Oba spola,26731
2019,Broj,Gimnazija,Oba spola,24817
2020,Broj,Gimnazija,Oba spola,23867
2011,Broj,Tehničke škole,Oba spola,83704
2012,Broj,Tehničke škole,Oba spola,86539
2013,Broj,Tehničke škole,Oba spola,82743
2014,Broj,Tehničke škole,Oba spola,77388
2015,Broj,Tehničke škole,Oba spola,72109
2016,Broj,Tehničke škole,Oba spola,68743
2017,Broj,Tehničke škole,Oba spola,67895
2018,Broj,Tehničke škole,Oba spola,64706
2019,Broj,Tehničke škole,Oba spola,62846
2020,Broj,Tehničke škole,Oba spola,61811
2011,Broj,Umjetničke škole,Oba spola,1514
2012,Broj,Umjetničke škole,Oba spola,1520
2013,Broj,Umjetničke škole,Oba spola,1445
2014,Broj,Umjetničke škole,Oba spola,1291
2015,Broj,Umjetničke škole,Oba spola,1216
2016,Broj,Umjetničke škole,Oba spola,1203
2017,Broj,Umjetničke škole,Oba spola,1154
2018,Broj,Umjetničke škole,Oba spola,1166
2019,Broj,Umjetničke škole,Oba spola,1139
2020,Broj,Umjetničke škole,Oba spola,1151
2011,Broj,Vjerske škole,Oba spola,2095
2012,Broj,Vjerske škole,Oba spola,2266
2013,Broj,Vjerske škole,Oba spola,2258
2014,Broj,Vjerske škole,Oba spola,2222
2015,Broj,Vjerske škole,Oba spola,2189
2016,Broj,Vjerske škole,Oba spola,2227
2017,Broj,Vjerske škole,Oba spola,2309
2018,Broj,Vjerske škole,Oba spola,2245
2019,Broj,Vjerske škole,Oba spola,2197
2020,Broj,Vjerske škole,Oba spola,2196
2011,Broj,Stručne škole,Oba spola,34479
2012,Broj,Stručne škole,Oba spola,33672
2013,Broj,Stručne škole,Oba spola,29414
2014,Broj,Stručne škole,Oba spola,25463
2015,Broj,Stručne škole,Oba spola,23995
2016,Broj,Stručne škole,Oba spola,23642
2017,Broj,Stručne škole,Oba spola,22819
2018,Broj,Stručne škole,Oba spola,22280
2019,Broj,Stručne škole,Oba spola,21481
2020,Broj,Stručne škole,Oba spola,21054
2011,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,411
2012,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,440
2013,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,425
2014,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,385
2015,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,398
2016,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,394
2017,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,380
2018,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,347
2019,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,316
2020,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,325
2011,Broj,Oba spola,M,82745
2012,Broj,Oba spola,M,84420
2013,Broj,Oba spola,M,78882
2014,Broj,Oba spola,M,72095
2015,Broj,Oba spola,M,66708
2016,Broj,Oba spola,M,63232
2017,Broj,Oba spola,M,61934
2018,Broj,Oba spola,M,58821
2019,Broj,Oba spola,M,56328
2020,Broj,Oba spola,M,55068
2011,Broj,Gimnazija,M,15329
2012,Broj,Gimnazija,M,15779
2013,Broj,Gimnazija,M,14829
2014,Broj,Gimnazija,M,13802
2015,Broj,Gimnazija,M,12424
2016,Broj,Gimnazija,M,11379
2017,Broj,Gimnazija,M,10929
2018,Broj,Gimnazija,M,9694
2019,Broj,Gimnazija,M,8899
2020,Broj,Gimnazija,M,8451
2011,Broj,Tehničke škole,M,41624
2012,Broj,Tehničke škole,M,43010
2013,Broj,Tehničke škole,M,41216
2014,Broj,Tehničke škole,M,38340
2015,Broj,Tehničke škole,M,35563
2016,Broj,Tehničke škole,M,33308
2017,Broj,Tehničke škole,M,32926
2018,Broj,Tehničke škole,M,31248
2019,Broj,Tehničke škole,M,30030
2020,Broj,Tehničke škole,M,29382
2011,Broj,Umjetničke škole,M,657
2012,Broj,Umjetničke škole,M,645
2013,Broj,Umjetničke škole,M,581
2014,Broj,Umjetničke škole,M,512
2015,Broj,Umjetničke škole,M,471
2016,Broj,Umjetničke škole,M,454
2017,Broj,Umjetničke škole,M,432
2018,Broj,Umjetničke škole,M,447
2019,Broj,Umjetničke škole,M,403
2020,Broj,Umjetničke škole,M,411
2011,Broj,Vjerske škole,M,1089
2012,Broj,Vjerske škole,M,1138
2013,Broj,Vjerske škole,M,1149
2014,Broj,Vjerske škole,M,1106
2015,Broj,Vjerske škole,M,1070
2016,Broj,Vjerske škole,M,1099
2017,Broj,Vjerske škole,M,1121
2018,Broj,Vjerske škole,M,1075
2019,Broj,Vjerske škole,M,1053
2020,Broj,Vjerske škole,M,1027
2011,Broj,Stručne škole,M,23787
2012,Broj,Stručne škole,M,23567
2013,Broj,Stručne škole,M,20832
2014,Broj,Stručne škole,M,18088
2015,Broj,Stručne škole,M,16937
2016,Broj,Stručne škole,M,16746
2017,Broj,Stručne škole,M,16292
2018,Broj,Stručne škole,M,16137
2019,Broj,Stručne škole,M,15739
2020,Broj,Stručne škole,M,15588
2011,Broj,Srednje škole za djecu s posebnim potrebama,M,259
2012,Broj,Srednje škole za djecu s posebnim potrebama,M,281
2013,Broj,Srednje škole za djecu s posebnim potrebama,M,275
2014,Broj,Srednje škole za djecu s posebnim potrebama,M,247
2015,Broj,Srednje škole za djecu s posebnim potrebama,M,243
2016,Broj,Srednje škole za djecu s posebnim potrebama,M,246
2017,Broj,Srednje škole za djecu s posebnim potrebama,M,234
2018,Broj,Srednje škole za djecu s posebnim potrebama,M,220
2019,Broj,Srednje škole za djecu s posebnim potrebama,M,204
2020,Broj,Srednje škole za djecu s posebnim potrebama,M,209
2011,Broj,Oba spola,Ž,80539
2012,Broj,Oba spola,Ž,82242
2013,Broj,Oba spola,Ž,77468
2014,Broj,Oba spola,Ž,71786
2015,Broj,Oba spola,Ž,66520
2016,Broj,Oba spola,Ž,63592
2017,Broj,Oba spola,Ž,62214
2018,Broj,Oba spola,Ž,58654
2019,Broj,Oba spola,Ž,56468
2020,Broj,Oba spola,Ž,55336
2011,Broj,Gimnazija,Ž,25752
2012,Broj,Gimnazija,Ž,26446
2013,Broj,Gimnazija,Ž,25236
2014,Broj,Gimnazija,Ž,23330
2015,Broj,Gimnazija,Ž,20897
2016,Broj,Gimnazija,Ž,19236
2017,Broj,Gimnazija,Ž,18662
2018,Broj,Gimnazija,Ž,17037
2019,Broj,Gimnazija,Ž,15918
2020,Broj,Gimnazija,Ž,15416
2011,Broj,Tehničke škole,Ž,42080
2012,Broj,Tehničke škole,Ž,43529
2013,Broj,Tehničke škole,Ž,41527
2014,Broj,Tehničke škole,Ž,39048
2015,Broj,Tehničke škole,Ž,36546
2016,Broj,Tehničke škole,Ž,35435
2017,Broj,Tehničke škole,Ž,34969
2018,Broj,Tehničke škole,Ž,33458
2019,Broj,Tehničke škole,Ž,32816
2020,Broj,Tehničke škole,Ž,32429
2011,Broj,Umjetničke škole,Ž,857
2012,Broj,Umjetničke škole,Ž,875
2013,Broj,Umjetničke škole,Ž,864
2014,Broj,Umjetničke škole,Ž,779
2015,Broj,Umjetničke škole,Ž,745
2016,Broj,Umjetničke škole,Ž,749
2017,Broj,Umjetničke škole,Ž,722
2018,Broj,Umjetničke škole,Ž,719
2019,Broj,Umjetničke škole,Ž,736
2020,Broj,Umjetničke škole,Ž,740
2011,Broj,Vjerske škole,Ž,1006
2012,Broj,Vjerske škole,Ž,1128
2013,Broj,Vjerske škole,Ž,1109
2014,Broj,Vjerske škole,Ž,1116
2015,Broj,Vjerske škole,Ž,1119
2016,Broj,Vjerske škole,Ž,1128
2017,Broj,Vjerske škole,Ž,1188
2018,Broj,Vjerske škole,Ž,1170
2019,Broj,Vjerske škole,Ž,1144
2020,Broj,Vjerske škole,Ž,1169
2011,Broj,Stručne škole,Ž,10692
2012,Broj,Stručne škole,Ž,10105
2013,Broj,Stručne škole,Ž,8582
2014,Broj,Stručne škole,Ž,7375
2015,Broj,Stručne škole,Ž,7058
2016,Broj,Stručne škole,Ž,6896
2017,Broj,Stručne škole,Ž,6527
2018,Broj,Stručne škole,Ž,6143
2019,Broj,Stručne škole,Ž,5742
2020,Broj,Stručne škole,Ž,5466
2011,Broj,Srednje škole za djecu s posebnim potrebama,Ž,152
2012,Broj,Srednje škole za djecu s posebnim potrebama,Ž,159
2013,Broj,Srednje škole za djecu s posebnim potrebama,Ž,150
2014,Broj,Srednje škole za djecu s posebnim potrebama,Ž,138
2015,Broj,Srednje škole za djecu s posebnim potrebama,Ž,155
2016,Broj,Srednje škole za djecu s posebnim potrebama,Ž,148
2017,Broj,Srednje škole za djecu s posebnim potrebama,Ž,146
2018,Broj,Srednje škole za djecu s posebnim potrebama,Ž,127
2019,Broj,Srednje škole za djecu s posebnim potrebama,Ž,112
2020,Broj,Srednje škole za djecu s posebnim potrebama,Ž,116
