Year,Kvartal,UNIT_MEASURE,Spol,Starosna dob,Value
2021,I kvartal,%,Oba spola,15 - 89,38.0
2021,I kvartal,%,Oba spola,15 - 24,20.0
2021,I kvartal,%,Oba spola,25 - 49,62.0
2021,I kvartal,%,Oba spola,50 - 64,39.0
2021,I kvartal,%,Oba spola,65+,3.0
2021,I kvartal,%,Oba spola,15 - 64,47.0
2021,I kvartal,%,Oba spola,20 - 64,51.0
2021,I kvartal,%,Oba spola,25 - 34,58.0
2021,I kvartal,%,Oba spola,15 - 74,41.0
2021,I kvartal,%,Oba spola,65 - 74,4.0
2021,I kvartal,%,M,15 - 89,50.0
2021,I kvartal,%,M,15 - 24,26.0
2021,I kvartal,%,M,25 - 49,76.0
2021,I kvartal,%,M,50 - 64,52.0
2021,I kvartal,%,M,65+,5.0
2021,I kvartal,%,M,15 - 64,60.0
2021,I kvartal,%,M,20 - 64,64.0
2021,I kvartal,%,M,25 - 34,72.0
2021,I kvartal,%,M,15 - 74,53.0
2021,I kvartal,%,M,65 - 74,5.0
2021,I kvartal,%,Ž,15 - 89,27.0
2021,I kvartal,%,Ž,15 - 24,13.0
2021,I kvartal,%,Ž,25 - 49,47.0
2021,I kvartal,%,Ž,50 - 64,26.0
2021,I kvartal,%,Ž,65+,2.0
2021,I kvartal,%,Ž,15 - 64,35.0
2021,I kvartal,%,Ž,20 - 64,37.0
2021,I kvartal,%,Ž,25 - 34,43.0
2021,I kvartal,%,Ž,15 - 74,30.0
2021,I kvartal,%,Ž,65 - 74,3.0
2021,II kvartal,%,Oba spola,15 - 89,39.0
2021,II kvartal,%,Oba spola,15 - 24,19.0
2021,II kvartal,%,Oba spola,25 - 49,63.0
2021,II kvartal,%,Oba spola,50 - 64,40.0
2021,II kvartal,%,Oba spola,65+,4.0
2021,II kvartal,%,Oba spola,15 - 64,48.0
2021,II kvartal,%,Oba spola,20 - 64,52.0
2021,II kvartal,%,Oba spola,25 - 34,58.0
2021,II kvartal,%,Oba spola,15 - 74,42.0
2021,II kvartal,%,Oba spola,65 - 74,5.0
2021,II kvartal,%,M,15 - 89,50.0
2021,II kvartal,%,M,15 - 24,25.0
2021,II kvartal,%,M,25 - 49,76.0
2021,II kvartal,%,M,50 - 64,53.0
2021,II kvartal,%,M,65+,5.0
2021,II kvartal,%,M,15 - 64,60.0
2021,II kvartal,%,M,20 - 64,65.0
2021,II kvartal,%,M,25 - 34,71.0
2021,II kvartal,%,M,15 - 74,53.0
2021,II kvartal,%,M,65 - 74,6.0
2021,II kvartal,%,Ž,15 - 89,29.0
2021,II kvartal,%,Ž,15 - 24,13.0
2021,II kvartal,%,Ž,25 - 49,49.0
2021,II kvartal,%,Ž,50 - 64,28.0
2021,II kvartal,%,Ž,65+,3.0
2021,II kvartal,%,Ž,15 - 64,36.0
2021,II kvartal,%,Ž,20 - 64,39.0
2021,II kvartal,%,Ž,25 - 34,45.0
2021,II kvartal,%,Ž,15 - 74,31.0
2021,II kvartal,%,Ž,65 - 74,4.0
2021,III kvartal,%,Oba spola,15 - 89,40.0
2021,III kvartal,%,Oba spola,15 - 24,20.0
2021,III kvartal,%,Oba spola,25 - 49,64.0
2021,III kvartal,%,Oba spola,50 - 64,43.0
2021,III kvartal,%,Oba spola,65+,3.0
2021,III kvartal,%,Oba spola,15 - 64,50.0
2021,III kvartal,%,Oba spola,20 - 64,54.0
2021,III kvartal,%,Oba spola,25 - 34,61.0
2021,III kvartal,%,Oba spola,15 - 74,43.0
2021,III kvartal,%,Oba spola,65 - 74,4.0
2021,III kvartal,%,M,15 - 89,52.0
2021,III kvartal,%,M,15 - 24,26.0
2021,III kvartal,%,M,25 - 49,78.0
2021,III kvartal,%,M,50 - 64,57.0
2021,III kvartal,%,M,65+,4.0
2021,III kvartal,%,M,15 - 64,62.0
2021,III kvartal,%,M,20 - 64,67.0
2021,III kvartal,%,M,25 - 34,73.0
2021,III kvartal,%,M,15 - 74,55.0
2021,III kvartal,%,M,65 - 74,6.0
2021,III kvartal,%,Ž,15 - 89,29.0
2021,III kvartal,%,Ž,15 - 24,13.0
2021,III kvartal,%,Ž,25 - 49,50.0
2021,III kvartal,%,Ž,50 - 64,29.0
2021,III kvartal,%,Ž,65+,3.0
2021,III kvartal,%,Ž,15 - 64,37.0
