Year,Kvartal,UNIT_MEASURE,status in employment,Spol,Value
2021,I kvartal,%,employees_T,85.4,
2021,I kvartal,%,self_employed_T,12.2,
2021,I kvartal,%,unpaid_family_workers_T,2.5,
2021,II kvartal,%,employees_T,84.7,
2021,II kvartal,%,self_employed_T,13.6,
2021,II kvartal,%,unpaid_family_workers_T,1.6,
2021,III kvartal,%,employees_T,84.5,
2021,III kvartal,%,self_employed_T,13.7,
2021,III kvartal,%,unpaid_family_workers_T,1.7,
2021,IV kvartal,%,employees_T,85.9,
2021,IV kvartal,%,self_employed_T,12.7,
2021,IV kvartal,%,unpaid_family_workers_T,1.5,
2022,I kvartal,%,employees_T,87.4,
2022,I kvartal,%,self_employed_T,11.3,
2022,I kvartal,%,unpaid_family_workers_T,1.3,
2022,II kvartal,%,employees_T,87.4,
2022,II kvartal,%,self_employed_T,11.4,
2022,II kvartal,%,unpaid_family_workers_T,1.2,
2021,I kvartal,%,Zaposlenici,M,84.9
2021,I kvartal,%,Samozaposlenici,M,13.6
2021,I kvartal,%,Neplaćeni pomažući članovi,M,1.5
2021,II kvartal,%,Zaposlenici,M,84.1
2021,II kvartal,%,Samozaposlenici,M,15.1
2021,II kvartal,%,Neplaćeni pomažući članovi,M,0.8
2021,III kvartal,%,Zaposlenici,M,84.2
2021,III kvartal,%,Samozaposlenici,M,15.0
2021,III kvartal,%,Neplaćeni pomažući članovi,M,0.8
2021,IV kvartal,%,Zaposlenici,M,85.1
2021,IV kvartal,%,Samozaposlenici,M,14.4
2021,IV kvartal,%,Neplaćeni pomažući članovi,M,0.6
2022,I kvartal,%,Zaposlenici,M,86.0
2022,I kvartal,%,Samozaposlenici,M,13.3
2022,I kvartal,%,Neplaćeni pomažući članovi,M,0.7
2022,II kvartal,%,Zaposlenici,M,86.2
2022,II kvartal,%,Samozaposlenici,M,13.2
2022,II kvartal,%,Neplaćeni pomažući članovi,M,0.6
2021,I kvartal,%,Zaposlenici,Ž,86.2
2021,I kvartal,%,Samozaposlenici,Ž,9.7
2021,I kvartal,%,Neplaćeni pomažući članovi,Ž,4.2
2021,II kvartal,%,Zaposlenici,Ž,85.8
2021,II kvartal,%,Samozaposlenici,Ž,11.1
2021,II kvartal,%,Neplaćeni pomažući članovi,Ž,3.0
2021,III kvartal,%,Zaposlenici,Ž,85.1
2021,III kvartal,%,Samozaposlenici,Ž,11.6
2021,III kvartal,%,Neplaćeni pomažući članovi,Ž,3.4
2021,IV kvartal,%,Zaposlenici,Ž,87.2
2021,IV kvartal,%,Samozaposlenici,Ž,9.8
2021,IV kvartal,%,Neplaćeni pomažući članovi,Ž,3.0
2022,I kvartal,%,Zaposlenici,Ž,89.6
2022,I kvartal,%,Samozaposlenici,Ž,8.0
2022,I kvartal,%,Neplaćeni pomažući članovi,Ž,2.5
2022,II kvartal,%,Zaposlenici,Ž,89.6
2022,II kvartal,%,Samozaposlenici,Ž,8.3
2022,II kvartal,%,Neplaćeni pomažući članovi,Ž,2.1
