Year,UNIT_MEASURE,Vrsta korisnika,Spol,Value
2015,Broj,Oba spola,Oba spola,561284
2015,Broj,Oba spola,M,280867
2015,Broj,Oba spola,Ž,280417
2015,Broj,Maloljetni korisnici,Oba spola,143552
2015,Broj,Maloljetni korisnici,M,74753
2015,Broj,Maloljetni korisnici,Ž,68799
2015,Broj,Odrasli korisnici,Oba spola,417732
2015,Broj,Odrasli korisnici,M,206114
2015,Broj,Odrasli korisnici,Ž,211618
2016,Broj,Oba spola,Oba spola,542736
2016,Broj,Oba spola,M,268561
2016,Broj,Oba spola,Ž,274175
2016,Broj,Maloljetni korisnici,Oba spola,133504
2016,Broj,Maloljetni korisnici,M,70405
2016,Broj,Maloljetni korisnici,Ž,63099
2016,Broj,Odrasli korisnici,Oba spola,409232
2016,Broj,Odrasli korisnici,M,198156
2016,Broj,Odrasli korisnici,Ž,211076
2017,Broj,Oba spola,Oba spola,541572
2017,Broj,Oba spola,M,280855
2017,Broj,Oba spola,Ž,260717
2017,Broj,Maloljetni korisnici,Oba spola,127682
2017,Broj,Maloljetni korisnici,M,67353
2017,Broj,Maloljetni korisnici,Ž,60329
2017,Broj,Odrasli korisnici,Oba spola,413890
2017,Broj,Odrasli korisnici,M,213502
2017,Broj,Odrasli korisnici,Ž,200388
2018,Broj,Oba spola,Oba spola,549546
2018,Broj,Oba spola,M,283301
2018,Broj,Oba spola,Ž,266245
2018,Broj,Maloljetni korisnici,Oba spola,129673
2018,Broj,Maloljetni korisnici,M,69291
2018,Broj,Maloljetni korisnici,Ž,60382
2018,Broj,Odrasli korisnici,Oba spola,419873
2018,Broj,Odrasli korisnici,M,214010
2018,Broj,Odrasli korisnici,Ž,205863
2019,Broj,Oba spola,Oba spola,540302
2019,Broj,Oba spola,M,279848
2019,Broj,Oba spola,Ž,260454
2019,Broj,Maloljetni korisnici,Oba spola,126324
2019,Broj,Maloljetni korisnici,M,67023
2019,Broj,Maloljetni korisnici,Ž,59301
2019,Broj,Odrasli korisnici,Oba spola,413978
2019,Broj,Odrasli korisnici,M,212825
2019,Broj,Odrasli korisnici,Ž,201153
2020,Broj,Oba spola,Oba spola,546605
2020,Broj,Oba spola,M,279742
2020,Broj,Oba spola,Ž,266863
2020,Broj,Maloljetni korisnici,Oba spola,119875
2020,Broj,Maloljetni korisnici,M,64126
2020,Broj,Maloljetni korisnici,Ž,55749
2020,Broj,Odrasli korisnici,Oba spola,426730
2020,Broj,Odrasli korisnici,M,215616
2020,Broj,Odrasli korisnici,Ž,211114
