Year,UNIT_MEASURE,Vrsta ustanove,Spol,Value
2015,Broj,Oba spola,Oba spola,7871
2015,Broj,Oba spola,M,3645
2015,Broj,Oba spola,Ž,4226
2015,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,997
2015,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,527
2015,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,470
2015,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,1742
2015,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1041
2015,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,701
2015,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,282
2015,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,201
2015,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,81
2015,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,4850
2015,Broj,Ustanove socijalne zaštite za odrasle,M,1876
2015,Broj,Ustanove socijalne zaštite za odrasle,Ž,2974
2016,Broj,Oba spola,Oba spola,9249
2016,Broj,Oba spola,M,4455
2016,Broj,Oba spola,Ž,4794
2016,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,970
2016,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,487
2016,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,483
2016,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2742
2016,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1668
2016,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1074
2016,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,213
2016,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,141
2016,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,72
2016,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,5324
2016,Broj,Ustanove socijalne zaštite za odrasle,M,2159
2016,Broj,Ustanove socijalne zaštite za odrasle,Ž,3165
2017,Broj,Oba spola,Oba spola,9800
2017,Broj,Oba spola,M,4489
2017,Broj,Oba spola,Ž,5311
2017,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,1070
2017,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,538
2017,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,532
2017,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2748
2017,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1643
2017,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1105
2017,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,204
2017,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,121
2017,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,83
2017,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,5778
2017,Broj,Ustanove socijalne zaštite za odrasle,M,2187
2017,Broj,Ustanove socijalne zaštite za odrasle,Ž,3591
2018,Broj,Oba spola,Oba spola,10232
2018,Broj,Oba spola,M,4710
2018,Broj,Oba spola,Ž,5522
2018,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,965
2018,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,476
2018,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,489
2018,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2776
2018,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1682
2018,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1094
2018,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,207
2018,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,116
2018,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,91
2018,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,6284
2018,Broj,Ustanove socijalne zaštite za odrasle,M,2436
2018,Broj,Ustanove socijalne zaštite za odrasle,Ž,3848
2019,Broj,Oba spola,Oba spola,11443
2019,Broj,Oba spola,M,4968
2019,Broj,Oba spola,Ž,6475
2019,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,1121
2019,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,607
2019,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,514
2019,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2586
2019,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1538
2019,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1048
2019,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,283
2019,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,168
2019,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,115
2019,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,7453
2019,Broj,Ustanove socijalne zaštite za odrasle,M,2655
2019,Broj,Ustanove socijalne zaštite za odrasle,Ž,4798
2020,Broj,Oba spola,Oba spola,10902
2020,Broj,Oba spola,M,4687
2020,Broj,Oba spola,Ž,6215
2020,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,1103
2020,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,590
2020,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,513
2020,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2434
2020,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1448
2020,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,986
2020,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,282
2020,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,182
2020,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,100
2020,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,7083
2020,Broj,Ustanove socijalne zaštite za odrasle,M,2467
2020,Broj,Ustanove socijalne zaštite za odrasle,Ž,4616
2021,Broj,Oba spola,Oba spola,11502
2021,Broj,Oba spola,M,4869
2021,Broj,Oba spola,Ž,6633
2021,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,1112
2021,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,576
2021,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,536
2021,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2540
2021,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1526
2021,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1014
2021,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,249
2021,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,154
2021,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,95
2021,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,7601
2021,Broj,Ustanove socijalne zaštite za odrasle,M,2613
2021,Broj,Ustanove socijalne zaštite za odrasle,Ž,4988
2022,Broj,Oba spola,Oba spola,12362
2022,Broj,Oba spola,M,5218
2022,Broj,Oba spola,Ž,7144
2022,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,1013
2022,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,521
2022,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,492
