Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,17293
2012,Broj,Oba spola,18817
2013,Broj,Oba spola,19880
2014,Broj,Oba spola,21490
2015,Broj,Oba spola,22901
2016,Broj,Oba spola,24918
2017,Broj,Oba spola,25889
2018,Broj,Oba spola,28511
2019,Broj,Oba spola,30587
2020,Broj,Oba spola,27698
2021,Broj,Oba spola,33200
2022,Broj,Oba spola,38762
2023,Broj,Oba spola,41214
2024,Broj,Oba spola,45772
2025/2026,Broj,Oba spola,48246
2011,Broj,M,9082
2012,Broj,M,9859
2013,Broj,M,10497
2014,Broj,M,11200
2015,Broj,M,11918
2016,Broj,M,13086
2017,Broj,M,13436
2018,Broj,M,14855
2019,Broj,M,15857
2020,Broj,M,14477
2021,Broj,M,17259
2022,Broj,M,20504
2023,Broj,M,21466
2024,Broj,M,23641
2025/2026,Broj,M,25154
2011,Broj,Ž,8211
2012,Broj,Ž,8958
2013,Broj,Ž,9383
2014,Broj,Ž,10290
2015,Broj,Ž,10983
2016,Broj,Ž,11832
2017,Broj,Ž,12453
2018,Broj,Ž,13656
2019,Broj,Ž,14730
2020,Broj,Ž,13221
2021,Broj,Ž,15941
2022,Broj,Ž,18258
2023,Broj,Ž,19748
2024,Broj,Ž,22131
2025/2026,Broj,Ž,23092
