Year,UNIT_MEASURE,Starosna dob,Spol,Value
2016,Broj,25 - 64,Oba spola,6.9
2016,Broj,25 - 64,M,7.1
2016,Broj,25 - 64,Ž,6.7
2016,Broj,25 - 34,Oba spola,16.6
2016,Broj,25 - 34,M,16.4
2016,Broj,25 - 34,Ž,16.8
2016,Broj,35 - 44,Oba spola,9.3
2016,Broj,35 - 44,M,9.7
2016,Broj,35 - 44,Ž,8.8
2016,Broj,35 - 54,Oba spola,7.3
2016,Broj,35 - 54,M,7.6
2016,Broj,35 - 54,Ž,6.9
2016,Broj,45 - 54,Oba spola,5.9
2016,Broj,45 - 54,M,6.2
2016,Broj,45 - 54,Ž,5.6
2016,Broj,55 - 64,Oba spola,2.6
2016,Broj,55 - 64,M,3.0
2016,Broj,55 - 64,Ž,2.2
