Year,Spol,Starosna dob,UNIT_MEASURE,Value
2010,Oba spola,15-24,Broj,28.0
2011,Oba spola,15-24,Broj,27.7
2012,Oba spola,15-24,Broj,28.4
2013,Oba spola,15-24,Broj,25.8
2014,Oba spola,15-24,Broj,26.1
2015,Oba spola,15-24,Broj,27.7
2016,Oba spola,15-24,Broj,26.4
2017,Oba spola,15-24,Broj,24.3
2018,Oba spola,15-24,Broj,21.6
2019,Oba spola,15-24,Broj,21.0
2020,Oba spola,15-24,Broj,21.6
2015,Oba spola,25-29,Broj,44.6
2016,Oba spola,25-29,Broj,42.6
2017,Oba spola,25-29,Broj,39.5
2018,Oba spola,25-29,Broj,35.9
2019,Oba spola,25-29,Broj,36.2
2020,Oba spola,25-29,Broj,34.3
2015,Oba spola,15-29,Broj,32.8
2016,Oba spola,15-29,Broj,31.4
2017,Oba spola,15-29,Broj,28.8
2018,Oba spola,15-29,Broj,25.5
2019,Oba spola,15-29,Broj,25.0
2020,Oba spola,15-29,Broj,25.9
2010,M,15-24,Broj,28.1
2011,M,15-24,Broj,29.2
2012,M,15-24,Broj,30.5
2013,M,15-24,Broj,27.4
2014,M,15-24,Broj,27.9
2015,M,15-24,Broj,29.2
2016,M,15-24,Broj,28.0
2017,M,15-24,Broj,24.5
2018,M,15-24,Broj,22.1
2019,M,15-24,Broj,20.7
2020,M,15-24,Broj,20.3
2015,M,25-29,Broj,39.6
2016,M,25-29,Broj,35.7
2017,M,25-29,Broj,33.2
2018,M,25-29,Broj,28.7
2019,M,25-29,Broj,28.0
2020,M,25-29,Broj,25.2
2015,M,15-29,Broj,32.4
2016,M,15-29,Broj,30.4
2017,M,15-29,Broj,27.0
2018,M,15-29,Broj,24.0
2019,M,15-29,Broj,22.6
2020,M,15-29,Broj,22.0
2010,Ž,15-24,Broj,28.0
2011,Ž,15-24,Broj,26.1
2012,Ž,15-24,Broj,26.2
2013,Ž,15-24,Broj,24.1
2014,Ž,15-24,Broj,24.0
2015,Ž,15-24,Broj,26.0
2016,Ž,15-24,Broj,24.7
2017,Ž,15-24,Broj,24.0
2018,Ž,15-24,Broj,21.1
2019,Ž,15-24,Broj,21.4
2020,Ž,15-24,Broj,23.0
2015,Ž,25-29,Broj,50.7
2016,Ž,25-29,Broj,50.6
2017,Ž,25-29,Broj,47.0
2018,Ž,25-29,Broj,45.8
2019,Ž,25-29,Broj,46.6
2020,Ž,25-29,Broj,43.9
2015,Ž,15-29,Broj,33.3
2016,Ž,15-29,Broj,32.5
2017,Ž,15-29,Broj,30.8
2018,Ž,15-29,Broj,27.3
2019,Ž,15-29,Broj,27.9
2020,Ž,15-29,Broj,30.1
