Year,UNIT_MEASURE,Vrsta ustanove,Value
2011,Broj,Oba spola,
2012,Broj,Oba spola,
2013,Broj,Oba spola,
2014,Broj,Oba spola,
2015,Broj,Oba spola,
2016,Broj,Oba spola,
2017,Broj,Oba spola,
2018,Broj,Oba spola,
2019,Broj,Oba spola,
2020,Broj,Oba spola,
2011,Broj,Javna,
2012,Broj,Javna,
2013,Broj,Javna,
2014,Broj,Javna,
2015,Broj,Javna,
2016,Broj,Javna,
2017,Broj,Javna,
2018,Broj,Javna,
2019,Broj,Javna,
2020,Broj,Javna,
2011,Broj,Privatna,
2012,Broj,Privatna,
2013,Broj,Privatna,
2014,Broj,Privatna,
2015,Broj,Privatna,
2016,Broj,Privatna,
2017,Broj,Privatna,
2018,Broj,Privatna,
2019,Broj,Privatna,
2020,Broj,Privatna,
