Year,UNIT_MEASURE,Radni status,Spol,Value
2015,%,Zaposlenici,Oba spola,75.8
2016,%,Zaposlenici,Oba spola,75.6
2017,%,Zaposlenici,Oba spola,75.4
2018,%,Zaposlenici,Oba spola,78.6
2019,%,Zaposlenici,Oba spola,75.1
2020,%,Zaposlenici,Oba spola,81.6
2015,%,Samozaposlenici,Oba spola,20.7
2016,%,Samozaposlenici,Oba spola,21.1
2017,%,Samozaposlenici,Oba spola,20.6
2018,%,Samozaposlenici,Oba spola,17.6
2019,%,Samozaposlenici,Oba spola,21.9
2020,%,Samozaposlenici,Oba spola,15.0
2015,%,Neplaćeni pomažući članovi,Oba spola,3.5
2016,%,Neplaćeni pomažući članovi,Oba spola,3.3
2017,%,Neplaćeni pomažući članovi,Oba spola,3.9
2018,%,Neplaćeni pomažući članovi,Oba spola,3.7
2019,%,Neplaćeni pomažući članovi,Oba spola,3.0
2020,%,Neplaćeni pomažući članovi,Oba spola,3.4
2015,%,Zaposlenici,M,74.3
2016,%,Zaposlenici,M,74.7
2017,%,Zaposlenici,M,75.6
2018,%,Zaposlenici,M,78.5
2019,%,Zaposlenici,M,75.8
2020,%,Zaposlenici,M,82.2
2015,%,Samozaposlenici,M,23.9
2016,%,Samozaposlenici,M,23.6
2017,%,Samozaposlenici,M,22.6
2018,%,Samozaposlenici,M,19.6
2019,%,Samozaposlenici,M,22.8
2020,%,Samozaposlenici,M,16.4
2015,%,Neplaćeni pomažući članovi,M,1.7
2016,%,Neplaćeni pomažući članovi,M,1.7
2017,%,Neplaćeni pomažući članovi,M,1.9
2018,%,Neplaćeni pomažući članovi,M,1.9
2019,%,Neplaćeni pomažući članovi,M,1.4
2020,%,Neplaćeni pomažući članovi,M,1.4
2015,%,Zaposlenici,Ž,78.2
2016,%,Zaposlenici,Ž,77.2
2017,%,Zaposlenici,Ž,75.2
2018,%,Zaposlenici,Ž,78.9
2019,%,Zaposlenici,Ž,74.0
2020,%,Zaposlenici,Ž,80.6
2015,%,Samozaposlenici,Ž,15.2
2016,%,Samozaposlenici,Ž,16.5
2017,%,Samozaposlenici,Ž,17.4
2018,%,Samozaposlenici,Ž,14.3
2019,%,Samozaposlenici,Ž,20.4
2020,%,Samozaposlenici,Ž,12.7
2015,%,Neplaćeni pomažući članovi,Ž,6.6
2016,%,Neplaćeni pomažući članovi,Ž,6.3
2017,%,Neplaćeni pomažući članovi,Ž,7.4
2018,%,Neplaćeni pomažući članovi,Ž,6.8
2019,%,Neplaćeni pomažući članovi,Ž,5.6
2020,%,Neplaćeni pomažući članovi,Ž,6.7
