Year,UNIT_MEASURE,Spol,Starosna dob,Value
I kvartal,%,Oba spola,15 - 74,19.0
I kvartal,%,Oba spola,15 - 24,40.0
I kvartal,%,Oba spola,25 - 49,17.0
I kvartal,%,Oba spola,50 - 64,15.0
I kvartal,%,Oba spola,65+,21.0
I kvartal,%,Oba spola,15 - 64,19.0
I kvartal,%,Oba spola,20 - 64,19.0
I kvartal,%,Oba spola,25 - 34,22.0
I kvartal,%,Oba spola,15 - 74,19.0
I kvartal,%,Oba spola,65 - 74,21.0
I kvartal,%,M,15 - 74,16.0
I kvartal,%,M,15 - 24,36.0
I kvartal,%,M,25 - 49,13.0
I kvartal,%,M,50 - 64,13.0
I kvartal,%,M,65+,18.0
I kvartal,%,M,15 - 64,16.0
I kvartal,%,M,20 - 64,15.0
I kvartal,%,M,25 - 34,17.0
I kvartal,%,M,15 - 74,16.0
I kvartal,%,M,65 - 74,18.0
I kvartal,%,Ž,15 - 74,25.0
I kvartal,%,Ž,15 - 24,48.0
I kvartal,%,Ž,25 - 49,23.0
I kvartal,%,Ž,50 - 64,19.0
I kvartal,%,Ž,65+,25.0
I kvartal,%,Ž,15 - 64,25.0
I kvartal,%,Ž,20 - 64,24.0
I kvartal,%,Ž,25 - 34,29.0
I kvartal,%,Ž,15 - 74,25.0
I kvartal,%,Ž,65 - 74,25.0
II kvartal,%,Oba spola,15 - 74,18.0
II kvartal,%,Oba spola,15 - 24,40.0
II kvartal,%,Oba spola,25 - 49,17.0
II kvartal,%,Oba spola,50 - 64,13.0
II kvartal,%,Oba spola,15 - 64,18.0
II kvartal,%,Oba spola,20 - 64,18.0
II kvartal,%,Oba spola,25 - 34,22.0
II kvartal,%,Oba spola,15 - 74,18.0
II kvartal,%,M,15 - 74,15.0
II kvartal,%,M,15 - 24,36.0
II kvartal,%,M,25 - 49,14.0
II kvartal,%,M,50 - 64,12.0
II kvartal,%,M,15 - 64,15.0
II kvartal,%,M,20 - 64,15.0
II kvartal,%,M,25 - 34,18.0
II kvartal,%,M,15 - 74,15.0
II kvartal,%,Ž,15 - 74,23.0
II kvartal,%,Ž,15 - 24,47.0
II kvartal,%,Ž,25 - 49,23.0
II kvartal,%,Ž,50 - 64,13.0
II kvartal,%,Ž,15 - 64,23.0
II kvartal,%,Ž,20 - 64,23.0
II kvartal,%,Ž,25 - 34,28.0
II kvartal,%,Ž,15 - 74,23.0
III kvartal,%,Oba spola,15 - 74,16.0
III kvartal,%,Oba spola,15 - 24,38.0
III kvartal,%,Oba spola,25 - 49,16.0
III kvartal,%,Oba spola,50 - 64,11.0
III kvartal,%,Oba spola,15 - 64,17.0
III kvartal,%,Oba spola,20 - 64,16.0
III kvartal,%,Oba spola,25 - 34,19.0
III kvartal,%,Oba spola,15 - 74,16.0
III kvartal,%,M,15 - 74,14.0
III kvartal,%,M,15 - 24,33.0
III kvartal,%,M,25 - 49,13.0
III kvartal,%,M,50 - 64,9.0
III kvartal,%,M,15 - 64,14.0
III kvartal,%,M,20 - 64,13.0
III kvartal,%,M,25 - 34,17.0
III kvartal,%,M,15 - 74,14.0
III kvartal,%,Ž,15 - 74,21.0
III kvartal,%,Ž,15 - 24,45.0
III kvartal,%,Ž,25 - 49,20.0
III kvartal,%,Ž,50 - 64,14.0
III kvartal,%,Ž,15 - 64,21.0
III kvartal,%,Ž,20 - 64,21.0
III kvartal,%,Ž,25 - 34,22.0
III kvartal,%,Ž,15 - 74,21.0
IV kvartal,%,Oba spola,15 - 74,16.0
IV kvartal,%,Oba spola,15 - 24,35.0
IV kvartal,%,Oba spola,25 - 49,15.0
IV kvartal,%,Oba spola,50 - 64,12.0
IV kvartal,%,Oba spola,15 - 64,16.0
IV kvartal,%,Oba spola,20 - 64,16.0
IV kvartal,%,Oba spola,25 - 34,19.0
IV kvartal,%,Oba spola,15 - 74,16.0
IV kvartal,%,M,15 - 74,13.0
IV kvartal,%,M,15 - 24,33.0
IV kvartal,%,M,25 - 49,12.0
IV kvartal,%,M,50 - 64,10.0
IV kvartal,%,M,15 - 64,13.0
IV kvartal,%,M,20 - 64,13.0
IV kvartal,%,M,25 - 34,16.0
IV kvartal,%,M,15 - 74,13.0
IV kvartal,%,Ž,15 - 74,20.0
IV kvartal,%,Ž,15 - 24,38.0
IV kvartal,%,Ž,25 - 49,20.0
IV kvartal,%,Ž,50 - 64,16.0
IV kvartal,%,Ž,15 - 64,20.0
IV kvartal,%,Ž,20 - 64,20.0
IV kvartal,%,Ž,25 - 34,23.0
IV kvartal,%,Ž,15 - 74,20.0
I kvartal,%,Oba spola,15 - 74,17.0
