Year,Value,UNIT_MEASURE
1996,1.647,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
1997,1.684,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
1998,1.558,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
1999,1.362,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2000,1.3,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2001,1.4,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2002,1.2,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2003,1.215,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2004,1.217,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2005,1.2,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2006,1.176,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2007,1.258,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2008,1.285,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2009,1.303,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2010,1.266,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2011,1.205,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2012,1.349,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2013,1.276,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2014,1.258,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2015,1.242,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2016,1.258,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2017,1.259,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2018,1.252,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
2019,1.204,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49)
