Year,AGE,UNIT_MEASURE,Value
1997,13 - 14,NUMBER,11
1997,15 - 19,NUMBER,3128
1998,13 - 14,NUMBER,2
1998,15 - 19,NUMBER,2395
1999,13 - 14,NUMBER,0
1999,15 - 19,NUMBER,2073
2000,13 - 14,NUMBER,3
2000,15 - 19,NUMBER,1806
2001,13 - 14,NUMBER,13
2001,15 - 19,NUMBER,1679
2002,13 - 14,NUMBER,10
2002,15 - 19,NUMBER,1561
2003,13 - 14,NUMBER,9
2003,15 - 19,NUMBER,1457
2004,13 - 14,NUMBER,7
2004,15 - 19,NUMBER,1396
2005,13 - 14,NUMBER,2
2005,15 - 19,NUMBER,1296
2006,13 - 14,NUMBER,4
2006,15 - 19,NUMBER,1399
2007,13 - 14,NUMBER,2
2007,15 - 19,NUMBER,1357
2008,13 - 14,NUMBER,2
2008,15 - 19,NUMBER,1507
2009,13 - 14,NUMBER,4
2009,15 - 19,NUMBER,1411
2010,13 - 14,NUMBER,5
2010,15 - 19,NUMBER,1285
2011,13 - 14,NUMBER,5
2011,15 - 19,NUMBER,1136
2012,13 - 14,NUMBER,2
2012,15 - 19,NUMBER,1040
2013,13 - 14,NUMBER,4
2013,15 - 19,NUMBER,950
2014,13 - 14,NUMBER,3
2014,15 - 19,NUMBER,932
2015,13 - 14,NUMBER,3
2015,15 - 19,NUMBER,948
2016,13 - 14,NUMBER,3
2016,15 - 19,NUMBER,906
2017,13 - 14,NUMBER,6
2017,15 - 19,NUMBER,734
2018,13 - 14,NUMBER,4
2018,15 - 19,NUMBER,643
2019,13 - 14,NUMBER,1
2019,15 - 19,NUMBER,580
