Year,SEX,UNIT_MEASURE,Value
1997,M,Age,
1998,M,Age,
1999,M,Age,
2000,M,Age,
2001,M,Age,
2002,M,Age,
2003,M,Age,
2004,M,Age,
2005,M,Age,
2006,M,Age,
2007,M,Age,
2008,M,Age,
2009,M,Age,
2010,M,Age,
2011,M,Age,
2012,M,Age,
2013,M,Age,
2014,M,Age,
2015,M,Age,
2016,M,Age,
2017,M,Age,
2018,M,Age,
2019,M,Age,
2020,M,Age,
1997,F,Age,
1998,F,Age,
1999,F,Age,
2000,F,Age,
2001,F,Age,
2002,F,Age,
2003,F,Age,
2004,F,Age,
2005,F,Age,
2006,F,Age,
2007,F,Age,
2008,F,Age,
2009,F,Age,
2010,F,Age,
2011,F,Age,
2012,F,Age,
2013,F,Age,
2014,F,Age,
2015,F,Age,
2016,F,Age,
2017,F,Age,
2018,F,Age,
2019,F,Age,
2020,F,Age,
