Year,UNIT_MEASURE,Value
1971,number_per_1000,9.40
1981,number_per_1000,8.90
1991,number_per_1000,6.50
1996,number_per_1000,5.80
1997,number_per_1000,6.20
1998,number_per_1000,6.10
1999,number_per_1000,6.00
2000,number_per_1000,5.80
2001,number_per_1000,5.30
2002,number_per_1000,5.30
2003,number_per_1000,5.40
2004,number_per_1000,5.80
2005,number_per_1000,5.60
2006,number_per_1000,5.60
2007,number_per_1000,6.12
2008,number_per_1000,5.77
2009,number_per_1000,5.37
2010,number_per_1000,5.08
2011,number_per_1000,4.99
2012,number_per_1000,4.75
2013,number_per_1000,5.00
2014,number_per_1000,5.30
2015,number_per_1000,5.60
2016,number_per_1000,5.50
2017,number_per_1000,5.70
2018,number_per_1000,5.70
2019,number_per_1000,5.40
