Year,UNIT_MEASURE,SEX,AGE,Value
2020,NUMBER,_T,_T,2171831
2020,NUMBER,_T,0,19018
2020,NUMBER,_T,1,17158
2020,NUMBER,_T,2,18210
2020,NUMBER,_T,3,18801
2020,NUMBER,_T,4,19359
2020,NUMBER,_T,5,19046
2020,NUMBER,_T,6,19595
2020,NUMBER,_T,7,21365
2020,NUMBER,_T,8,22600
2020,NUMBER,_T,9,22615
2020,NUMBER,_T,10,23549
2020,NUMBER,_T,11,23966
2020,NUMBER,_T,12,23778
2020,NUMBER,_T,13,22821
2020,NUMBER,_T,14,22877
2020,NUMBER,_T,15,23044
2020,NUMBER,_T,16,22959
2020,NUMBER,_T,17,23645
2020,NUMBER,_T,18,23653
2020,NUMBER,_T,19,24378
2020,NUMBER,_T,20,24944
2020,NUMBER,_T,21,26328
2020,NUMBER,_T,22,29155
2020,NUMBER,_T,23,33673
2020,NUMBER,_T,24,33741
2020,NUMBER,_T,25,32555
2020,NUMBER,_T,26,26099
2020,NUMBER,_T,27,24337
2020,NUMBER,_T,28,28551
2020,NUMBER,_T,29,31084
2020,NUMBER,_T,30,30962
2020,NUMBER,_T,31,30840
2020,NUMBER,_T,32,31942
2020,NUMBER,_T,33,31571
2020,NUMBER,_T,34,31558
2020,NUMBER,_T,35,31640
2020,NUMBER,_T,36,32721
2020,NUMBER,_T,37,31500
2020,NUMBER,_T,38,31408
2020,NUMBER,_T,39,31872
2020,NUMBER,_T,40,31156
2020,NUMBER,_T,41,30745
2020,NUMBER,_T,42,30798
2020,NUMBER,_T,43,30741
2020,NUMBER,_T,44,31570
2020,NUMBER,_T,45,30617
2020,NUMBER,_T,46,30276
2020,NUMBER,_T,47,29934
2020,NUMBER,_T,48,31041
2020,NUMBER,_T,49,30318
2020,NUMBER,_T,50,28957
2020,NUMBER,_T,51,31002
2020,NUMBER,_T,52,31221
2020,NUMBER,_T,53,32103
2020,NUMBER,_T,54,32824
2020,NUMBER,_T,55,33135
2020,NUMBER,_T,56,32824
2020,NUMBER,_T,57,33094
2020,NUMBER,_T,58,34040
2020,NUMBER,_T,59,33448
2020,NUMBER,_T,60,32811
2020,NUMBER,_T,61,32633
2020,NUMBER,_T,62,30538
2020,NUMBER,_T,63,28782
2020,NUMBER,_T,64,28986
2020,NUMBER,_T,65,28807
2020,NUMBER,_T,66,27159
2020,NUMBER,_T,67,26631
2020,NUMBER,_T,68,24003
2020,NUMBER,_T,69,21469
2020,NUMBER,_T,70,21110
2020,NUMBER,_T,71,19905
2020,NUMBER,_T,72,17368
2020,NUMBER,_T,73,17971
2020,NUMBER,_T,74,13496
2020,NUMBER,_T,75,12154
2020,NUMBER,_T,76,11073
2020,NUMBER,_T,77,10749
2020,NUMBER,_T,78,11526
2020,NUMBER,_T,79,11587
2020,NUMBER,_T,80,11732
2020,NUMBER,_T,81,10111
2020,NUMBER,_T,82,9250
2020,NUMBER,_T,83,8025
2020,NUMBER,_T,84,7094
2020,NUMBER,_T,85,6045
2020,NUMBER,_T,86,5338
2020,NUMBER,_T,87,4200
2020,NUMBER,_T,88,3237
2020,NUMBER,_T,89,2528
2020,NUMBER,_T,90,1915
2020,NUMBER,_T,91,1422
2020,NUMBER,_T,92,1042
2020,NUMBER,_T,93,747
2020,NUMBER,_T,94,516
2020,NUMBER,_T,95,363
2020,NUMBER,_T,96,252
2020,NUMBER,_T,97,174
2020,NUMBER,_T,98,116
2020,NUMBER,_T,99,75
2020,NUMBER,_T,100,48
2020,NUMBER,_T,101,37
2020,NUMBER,_T,102,21
2020,NUMBER,_T,103,11
2020,NUMBER,_T,104,6
2020,NUMBER,_T,105,3
2020,NUMBER,_T,106,2
2020,NUMBER,_T,107,1
2020,NUMBER,_T,108,1
2020,NUMBER,_T,109,0
2020,NUMBER,_T,110,0
2020,NUMBER,_T,111,0
2020,NUMBER,_T,112,0
2020,NUMBER,_T,113,0
2020,NUMBER,_T,114,0
2020,NUMBER,_T,115,0
2020,NUMBER,_T,116,0
2020,NUMBER,_T,117,0
2020,NUMBER,_T,118,0
2020,NUMBER,_T,119,0
2020,NUMBER,_T,120+,0
2025,NUMBER,_T,_T,2084413
2025,NUMBER,_T,0,17062
2025,NUMBER,_T,1,17292
2025,NUMBER,_T,2,17548
2025,NUMBER,_T,3,17813
2025,NUMBER,_T,4,18077
2025,NUMBER,_T,5,18367
2025,NUMBER,_T,6,16714
2025,NUMBER,_T,7,17884
2025,NUMBER,_T,8,18535
2025,NUMBER,_T,9,19139
2025,NUMBER,_T,10,18855
2025,NUMBER,_T,11,19386
2025,NUMBER,_T,12,21096
2025,NUMBER,_T,13,22280
2025,NUMBER,_T,14,22267
2025,NUMBER,_T,15,23165
2025,NUMBER,_T,16,23512
2025,NUMBER,_T,17,23198
2025,NUMBER,_T,18,22031
2025,NUMBER,_T,19,21751
2025,NUMBER,_T,20,21475
2025,NUMBER,_T,21,20907
2025,NUMBER,_T,22,21138
2025,NUMBER,_T,23,20788
2025,NUMBER,_T,24,21245
2025,NUMBER,_T,25,21606
2025,NUMBER,_T,26,22747
2025,NUMBER,_T,27,25142
2025,NUMBER,_T,28,29289
2025,NUMBER,_T,29,29477
2025,NUMBER,_T,30,28970
2025,NUMBER,_T,31,23428
2025,NUMBER,_T,32,22130
2025,NUMBER,_T,33,26243
2025,NUMBER,_T,34,28661
2025,NUMBER,_T,35,28629
2025,NUMBER,_T,36,28629
2025,NUMBER,_T,37,29805
2025,NUMBER,_T,38,29535
2025,NUMBER,_T,39,29639
2025,NUMBER,_T,40,29795
2025,NUMBER,_T,41,30945
2025,NUMBER,_T,42,29847
2025,NUMBER,_T,43,29853
2025,NUMBER,_T,44,30393
2025,NUMBER,_T,45,29788
2025,NUMBER,_T,46,29477
2025,NUMBER,_T,47,29607
2025,NUMBER,_T,48,29613
2025,NUMBER,_T,49,30496
2025,NUMBER,_T,50,29648
2025,NUMBER,_T,51,29411
2025,NUMBER,_T,52,29135
2025,NUMBER,_T,53,30260
2025,NUMBER,_T,54,29606
2025,NUMBER,_T,55,28316
2025,NUMBER,_T,56,30310
2025,NUMBER,_T,57,30514
2025,NUMBER,_T,58,31359
2025,NUMBER,_T,59,32040
2025,NUMBER,_T,60,32322
2025,NUMBER,_T,61,31993
2025,NUMBER,_T,62,32198
2025,NUMBER,_T,63,33026
2025,NUMBER,_T,64,32356
2025,NUMBER,_T,65,31627
2025,NUMBER,_T,66,31270
