Year,UNIT_MEASURE,SEX,BIRTH,Value
2020,NUMBER,_T,LIVE_BIRTH,19253
2025,NUMBER,_T,LIVE_BIRTH,17269
2030,NUMBER,_T,LIVE_BIRTH,15153
2035,NUMBER,_T,LIVE_BIRTH,13262
2040,NUMBER,_T,LIVE_BIRTH,11914
2045,NUMBER,_T,LIVE_BIRTH,10783
2050,NUMBER,_T,LIVE_BIRTH,9784
2055,NUMBER,_T,LIVE_BIRTH,8880
2060,NUMBER,_T,LIVE_BIRTH,8008
2065,NUMBER,_T,LIVE_BIRTH,7181
2070,NUMBER,_T,LIVE_BIRTH,6473
2020,NUMBER,_T,DEATHS,21672
2025,NUMBER,_T,DEATHS,22703
2030,NUMBER,_T,DEATHS,23900
2035,NUMBER,_T,DEATHS,25261
2040,NUMBER,_T,DEATHS,26552
2045,NUMBER,_T,DEATHS,27387
2050,NUMBER,_T,DEATHS,27496
2055,NUMBER,_T,DEATHS,26977
2060,NUMBER,_T,DEATHS,25937
2065,NUMBER,_T,DEATHS,24580
2070,NUMBER,_T,DEATHS,23072
2020,NUMBER,M,LIVE_BIRTH,9915
2025,NUMBER,M,LIVE_BIRTH,8894
2030,NUMBER,M,LIVE_BIRTH,7804
2035,NUMBER,M,LIVE_BIRTH,6830
2040,NUMBER,M,LIVE_BIRTH,6136
2045,NUMBER,M,LIVE_BIRTH,5553
2050,NUMBER,M,LIVE_BIRTH,5039
2055,NUMBER,M,LIVE_BIRTH,4573
2060,NUMBER,M,LIVE_BIRTH,4124
2065,NUMBER,M,LIVE_BIRTH,3698
2070,NUMBER,M,LIVE_BIRTH,3334
2020,NUMBER,M,DEATHS,10894
2025,NUMBER,M,DEATHS,11432
2030,NUMBER,M,DEATHS,12015
2035,NUMBER,M,DEATHS,12659
2040,NUMBER,M,DEATHS,13212
2045,NUMBER,M,DEATHS,13489
2050,NUMBER,M,DEATHS,13406
2055,NUMBER,M,DEATHS,13037
2060,NUMBER,M,DEATHS,12439
2065,NUMBER,M,DEATHS,11649
2070,NUMBER,M,DEATHS,10783
2020,NUMBER,F,LIVE_BIRTH,9338
2025,NUMBER,F,LIVE_BIRTH,8375
2030,NUMBER,F,LIVE_BIRTH,7349
2035,NUMBER,F,LIVE_BIRTH,6432
2040,NUMBER,F,LIVE_BIRTH,5778
2045,NUMBER,F,LIVE_BIRTH,5230
2050,NUMBER,F,LIVE_BIRTH,4745
2055,NUMBER,F,LIVE_BIRTH,4307
2060,NUMBER,F,LIVE_BIRTH,3884
2065,NUMBER,F,LIVE_BIRTH,3483
2070,NUMBER,F,LIVE_BIRTH,3139
2020,NUMBER,F,DEATHS,10778
2025,NUMBER,F,DEATHS,11271
2030,NUMBER,F,DEATHS,11886
2035,NUMBER,F,DEATHS,12602
2040,NUMBER,F,DEATHS,13341
2045,NUMBER,F,DEATHS,13899
2050,NUMBER,F,DEATHS,14091
2055,NUMBER,F,DEATHS,13940
2060,NUMBER,F,DEATHS,13498
2065,NUMBER,F,DEATHS,12931
2070,NUMBER,F,DEATHS,12289
