Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2020,2020,M,0-4,-47858
2020,2020,M,5-9,-53894
2020,2020,M,41913,-60102
2020,2020,M,15-19,-60391
2020,2020,M,20-24,-75377
2020,2020,M,25-29,-72508
2020,2020,M,30-34,-80022
2020,2020,M,35-39,-80613
2020,2020,M,40-44,-77626
2020,2020,M,45-49,-75250
2020,2020,M,50-54,-76879
2020,2020,M,55-59,-80915
2020,2020,M,60-64,-73304
2020,2020,M,65-69,-58969
2020,2020,M,70-74,-38922
2020,2020,M,75-79,-23207
2020,2020,M,80-84,-17958
2020,2020,M,85-89,-7714
2020,2020,M,90-94,-2028
2020,2020,M,95-99,-364
2020,2020,M,100-104,-52
2020,2020,M,105-109,-3
2020,2020,M,110-114,0
2020,2020,M,115-119,0
2020,2020,M,120+,0
2020,2025,M,0-4,-45201
2020,2025,M,44809,-46763
2020,2025,M,41913,-53028
2020,2025,M,15-19,-58129
2020,2025,M,20-24,-53220
2020,2025,M,25-29,-63652
2020,2025,M,30-34,-63915
2020,2025,M,35-39,-72564
2020,2025,M,40-44,-74628
2020,2025,M,45-49,-73363
2020,2025,M,50-54,-72211
2020,2025,M,55-59,-74268
2020,2025,M,60-64,-77883
2020,2025,M,65-69,-68957
2020,2025,M,70-74,-52276
2020,2025,M,75-79,-31237
2020,2025,M,80-84,-16252
2020,2025,M,85-89,-10161
2020,2025,M,90-94,-3265
2020,2025,M,95-99,-582
2020,2025,M,100-104,-64
2020,2025,M,105-109,-5
2020,2025,M,110-114,0
2020,2025,M,115-119,0
2020,2025,M,120+,0
2020,2030,M,0-4,-39902
2020,2030,M,44809,-44045
2020,2030,M,41913,-46023
2020,2030,M,15-19,-51175
2020,2030,M,20-24,-51084
2020,2030,M,25-29,-45627
2020,2030,M,30-34,-56235
2020,2030,M,35-39,-58239
2020,2030,M,40-44,-67074
2020,2030,M,45-49,-70268
2020,2030,M,50-54,-70148
2020,2030,M,55-59,-69741
2020,2030,M,60-64,-71691
2020,2030,M,65-69,-73244
2020,2030,M,70-74,-61385
2020,2030,M,75-79,-42515
2020,2030,M,80-84,-22565
2020,2030,M,85-89,-9621
2020,2030,M,90-94,-4598
2020,2030,M,95-99,-1030
2020,2030,M,100-104,-115
2020,2030,M,105-109,-7
2020,2030,M,110-114,0
2020,2030,M,115-119,0
2020,2030,M,120+,0
2020,2035,M,0-4,-34888
2020,2035,M,44809,-38877
2020,2035,M,41913,-43243
2020,2035,M,15-19,-44478
2020,2035,M,20-24,-44799
2020,2035,M,25-29,-43488
2020,2035,M,30-34,-40824
2020,2035,M,35-39,-51317
2020,2035,M,40-44,-54086
2020,2035,M,45-49,-63128
2020,2035,M,50-54,-67057
2020,2035,M,55-59,-67655
2020,2035,M,60-64,-67458
2020,2035,M,65-69,-67774
2020,2035,M,70-74,-65610
2020,2035,M,75-79,-50590
2020,2035,M,80-84,-31379
2020,2035,M,85-89,-13998
2020,2035,M,90-94,-4588
2020,2035,M,95-99,-1561
2020,2035,M,100-104,-223
2020,2035,M,105-109,-14
2020,2035,M,110-114,0
2020,2035,M,115-119,0
2020,2035,M,120+,0
2020,2040,M,0-4,-31030
2020,2040,M,44809,-33995
2020,2040,M,41913,-38163
2020,2040,M,15-19,-41696
2020,2040,M,20-24,-39068
2020,2040,M,25-29,-38104
2020,2040,M,30-34,-38657
2020,2040,M,35-39,-37685
2020,2040,M,40-44,-47714
2020,2040,M,45-49,-51122
