Year,UNIT_MEASURE,ADMIN_AREA,SEX,AGE,Value
2013,NUMBER,republika_srpska,_T,0-4,53563
2013,NUMBER,republika_srpska,M,0-4,27499
2013,NUMBER,republika_srpska,F,0-4,26064
2013,NUMBER,grad_banja_luka,_T,0-4,9539
2013,NUMBER,grad_banja_luka,M,0-4,4844
2013,NUMBER,grad_banja_luka,F,0-4,4695
2013,NUMBER,berkovici,_T,0-4,91
2013,NUMBER,berkovici,M,0-4,49
2013,NUMBER,berkovici,F,0-4,42
2013,NUMBER,grad_bijeljina,_T,0-4,4963
2013,NUMBER,grad_bijeljina,M,0-4,2590
2013,NUMBER,grad_bijeljina,F,0-4,2373
2013,NUMBER,bileca,_T,0-4,489
2013,NUMBER,bileca,M,0-4,258
2013,NUMBER,bileca,F,0-4,231
2013,NUMBER,bratunac,_T,0-4,888
2013,NUMBER,bratunac,M,0-4,476
2013,NUMBER,bratunac,F,0-4,412
2013,NUMBER,brod,_T,0-4,718
2013,NUMBER,brod,M,0-4,377
2013,NUMBER,brod,F,0-4,341
2013,NUMBER,visegrad,_T,0-4,323
2013,NUMBER,visegrad,M,0-4,153
2013,NUMBER,visegrad,F,0-4,170
2013,NUMBER,vlasenica,_T,0-4,486
2013,NUMBER,vlasenica,M,0-4,260
2013,NUMBER,vlasenica,F,0-4,226
2013,NUMBER,vukosavlje,_T,0-4,195
2013,NUMBER,vukosavlje,M,0-4,97
2013,NUMBER,vukosavlje,F,0-4,98
2013,NUMBER,gacko,_T,0-4,430
2013,NUMBER,gacko,M,0-4,210
2013,NUMBER,gacko,F,0-4,220
2013,NUMBER,grad_gradiska,_T,0-4,2077
2013,NUMBER,grad_gradiska,M,0-4,1047
2013,NUMBER,grad_gradiska,F,0-4,1030
2013,NUMBER,grad_derventa,_T,0-4,1115
2013,NUMBER,grad_derventa,M,0-4,551
2013,NUMBER,grad_derventa,F,0-4,564
2013,NUMBER,grad_doboj,_T,0-4,3010
2013,NUMBER,grad_doboj,M,0-4,1528
2013,NUMBER,grad_doboj,F,0-4,1482
2013,NUMBER,donji_zabar,_T,0-4,126
2013,NUMBER,donji_zabar,M,0-4,60
2013,NUMBER,donji_zabar,F,0-4,66
2013,NUMBER,grad_zvornik,_T,0-4,2851
2013,NUMBER,grad_zvornik,M,0-4,1442
2013,NUMBER,grad_zvornik,F,0-4,1409
2013,NUMBER,istocni_drvar,_T,0-4,0
2013,NUMBER,istocni_drvar,M,0-4,0
2013,NUMBER,istocni_drvar,F,0-4,0
2013,NUMBER,istocni_mostar,_T,0-4,7
2013,NUMBER,istocni_mostar,M,0-4,4
2013,NUMBER,istocni_mostar,F,0-4,3
2013,NUMBER,grad_istocno_sarajevo,_T,0-4,2763
2013,NUMBER,grad_istocno_sarajevo,M,0-4,1404
2013,NUMBER,grad_istocno_sarajevo,F,0-4,1359
2013,NUMBER,istocna_ilidza,_T,0-4,650
2013,NUMBER,istocna_ilidza,M,0-4,327
2013,NUMBER,istocna_ilidza,F,0-4,323
2013,NUMBER,istocno_novo_sarajevo,_T,0-4,607
2013,NUMBER,istocno_novo_sarajevo,M,0-4,296
2013,NUMBER,istocno_novo_sarajevo,F,0-4,311
2013,NUMBER,istocni_stari_grad,_T,0-4,41
2013,NUMBER,istocni_stari_grad,M,0-4,26
2013,NUMBER,istocni_stari_grad,F,0-4,15
2013,NUMBER,pale,_T,0-4,895
2013,NUMBER,pale,M,0-4,463
2013,NUMBER,pale,F,0-4,432
2013,NUMBER,sokolac,_T,0-4,508
2013,NUMBER,sokolac,M,0-4,266
2013,NUMBER,sokolac,F,0-4,242
2013,NUMBER,trnovo,_T,0-4,62
2013,NUMBER,trnovo,M,0-4,26
2013,NUMBER,trnovo,F,0-4,36
2013,NUMBER,jezero,_T,0-4,39
2013,NUMBER,jezero,M,0-4,20
2013,NUMBER,jezero,F,0-4,19
2013,NUMBER,kalinovik,_T,0-4,50
2013,NUMBER,kalinovik,M,0-4,25
2013,NUMBER,kalinovik,F,0-4,25
2013,NUMBER,knezevo,_T,0-4,408
2013,NUMBER,knezevo,M,0-4,215
2013,NUMBER,knezevo,F,0-4,193
2013,NUMBER,kostajnica,_T,0-4,213
2013,NUMBER,kostajnica,M,0-4,98
2013,NUMBER,kostajnica,F,0-4,115
2013,NUMBER,kotor_varos,_T,0-4,901
2013,NUMBER,kotor_varos,M,0-4,466
2013,NUMBER,kotor_varos,F,0-4,435
2013,NUMBER,kozarska_dubica,_T,0-4,774
2013,NUMBER,kozarska_dubica,M,0-4,389
2013,NUMBER,kozarska_dubica,F,0-4,385
2013,NUMBER,krupa_na_uni,_T,0-4,50
2013,NUMBER,krupa_na_uni,M,0-4,26
2013,NUMBER,krupa_na_uni,F,0-4,24
2013,NUMBER,kupres,_T,0-4,6
2013,NUMBER,kupres,M,0-4,5
2013,NUMBER,kupres,F,0-4,1
2013,NUMBER,laktasi,_T,0-4,1679
2013,NUMBER,laktasi,M,0-4,854
2013,NUMBER,laktasi,F,0-4,825
2013,NUMBER,lopare,_T,0-4,492
2013,NUMBER,lopare,M,0-4,244
2013,NUMBER,lopare,F,0-4,248
2013,NUMBER,ljubinje,_T,0-4,150
2013,NUMBER,ljubinje,M,0-4,72
2013,NUMBER,ljubinje,F,0-4,78
2013,NUMBER,milici,_T,0-4,462
2013,NUMBER,milici,M,0-4,227
2013,NUMBER,milici,F,0-4,235
2013,NUMBER,modrica,_T,0-4,971
2013,NUMBER,modrica,M,0-4,499
2013,NUMBER,modrica,F,0-4,472
2013,NUMBER,mrkonjic_grad,_T,0-4,671
2013,NUMBER,mrkonjic_grad,M,0-4,340
2013,NUMBER,mrkonjic_grad,F,0-4,331
2013,NUMBER,nevesinje,_T,0-4,559
2013,NUMBER,nevesinje,M,0-4,299
2013,NUMBER,nevesinje,F,0-4,260
2013,NUMBER,novi_grad,_T,0-4,935
2013,NUMBER,novi_grad,M,0-4,476
2013,NUMBER,novi_grad,F,0-4,459
2013,NUMBER,novo_gorazde,_T,0-4,95
2013,NUMBER,novo_gorazde,M,0-4,50
2013,NUMBER,novo_gorazde,F,0-4,45
2013,NUMBER,osmaci,_T,0-4,261
2013,NUMBER,osmaci,M,0-4,139
2013,NUMBER,osmaci,F,0-4,122
2013,NUMBER,ostra_luka,_T,0-4,100
2013,NUMBER,ostra_luka,M,0-4,53
