Year,SEX,UNIT_MEASURE,Ethnicity_national_affiliation,Value
2013,_T,NUMBER,Bosniak,
2013,_T,NUMBER,Serb,
2013,_T,NUMBER,"Croat ",
2013,_T,NUMBER,Bosnian,
2013,_T,NUMBER,Romani,
2013,_T,NUMBER,Muslim,
2013,_T,NUMBER,Bosnian_and_Herzegovinian,
2013,_T,NUMBER,Albanian,
2013,_T,NUMBER,Yugoslav,
2013,_T,NUMBER,Ukrainian,
2013,_T,NUMBER,Montenegrin,
2013,_T,NUMBER,Turk,
2013,_T,NUMBER,Slovenian,
2013,_T,NUMBER,Orthodox,
2013,_T,NUMBER,"Macedonian ",
2013,_T,NUMBER,Others,
2013,_T,NUMBER,Undeclared,
2013,_T,NUMBER,Unknown,
2013,M,NUMBER,Bosniak,
2013,M,NUMBER,Serb,
2013,M,NUMBER,"Croat ",
2013,M,NUMBER,Bosnian,
2013,M,NUMBER,Romani,
2013,M,NUMBER,Muslim,
2013,M,NUMBER,Bosnian_and_Herzegovinian,
2013,M,NUMBER,Albanian,
2013,M,NUMBER,Yugoslav,
2013,M,NUMBER,Ukrainian,
2013,M,NUMBER,Montenegrin,
2013,M,NUMBER,Turk,
2013,M,NUMBER,Slovenian,
2013,M,NUMBER,Orthodox,
2013,M,NUMBER,"Macedonian ",
2013,M,NUMBER,Others,
2013,M,NUMBER,Undeclared,
2013,M,NUMBER,Unknown,
2013,F,NUMBER,Bosniak,
2013,F,NUMBER,Serb,
2013,F,NUMBER,"Croat ",
2013,F,NUMBER,Bosnian,
2013,F,NUMBER,Romani,
2013,F,NUMBER,Muslim,
2013,F,NUMBER,Bosnian_and_Herzegovinian,
2013,F,NUMBER,Albanian,
2013,F,NUMBER,Yugoslav,
2013,F,NUMBER,Ukrainian,
2013,F,NUMBER,Montenegrin,
2013,F,NUMBER,Turk,
2013,F,NUMBER,Slovenian,
2013,F,NUMBER,Orthodox,
2013,F,NUMBER,"Macedonian ",
2013,F,NUMBER,Others,
2013,F,NUMBER,Undeclared,
2013,F,NUMBER,Unknown,
