Year,SEX,UNIT_MEASURE,Religion,Value
2013,_T,NUMBER,Islam,
2013,_T,NUMBER,Orthodox,
2013,_T,NUMBER,Catholic,
2013,_T,NUMBER,Muslim,
2013,_T,NUMBER,Roman_Catholic,
2013,_T,NUMBER,Serbian,
2013,_T,NUMBER,jehovah_s_witnesses,
2013,_T,NUMBER,Greek_Catholic,
2013,_T,NUMBER,Protestant,
2013,_T,NUMBER,Romani,
2013,_T,NUMBER,Christian,
2013,_T,NUMBER,Bosniak,
2013,_T,NUMBER,Croat,
2013,_T,NUMBER,Adventist,
2013,_T,NUMBER,Bosnian,
2013,_T,NUMBER,Agnostic,
2013,_T,NUMBER,Atheist,
2013,_T,NUMBER,Others,
2013,_T,NUMBER,Undeclared,
2013,_T,NUMBER,Unknown,
2013,M,NUMBER,Islam,
2013,M,NUMBER,Orthodox,
2013,M,NUMBER,Catholic,
2013,M,NUMBER,Muslim,
2013,M,NUMBER,Roman_Catholic,
2013,M,NUMBER,Serbian,
2013,M,NUMBER,jehovah_s_witnesses,
2013,M,NUMBER,Greek_Catholic,
2013,M,NUMBER,Protestant,
2013,M,NUMBER,Romani,
2013,M,NUMBER,Christian,
2013,M,NUMBER,Bosniak,
2013,M,NUMBER,Croat,
2013,M,NUMBER,Adventist,
2013,M,NUMBER,Bosnian,
2013,M,NUMBER,Agnostic,
2013,M,NUMBER,Atheist,
2013,M,NUMBER,Others,
2013,M,NUMBER,Undeclared,
2013,M,NUMBER,Unknown,
2013,F,NUMBER,Islam,
2013,F,NUMBER,Orthodox,
2013,F,NUMBER,Catholic,
2013,F,NUMBER,Muslim,
2013,F,NUMBER,Roman_Catholic,
2013,F,NUMBER,Serbian,
2013,F,NUMBER,jehovah_s_witnesses,
2013,F,NUMBER,Greek_Catholic,
2013,F,NUMBER,Protestant,
2013,F,NUMBER,Romani,
2013,F,NUMBER,Christian,
2013,F,NUMBER,Bosniak,
2013,F,NUMBER,Croat,
2013,F,NUMBER,Adventist,
2013,F,NUMBER,Bosnian,
2013,F,NUMBER,Agnostic,
2013,F,NUMBER,Atheist,
2013,F,NUMBER,Others,
2013,F,NUMBER,Undeclared,
2013,F,NUMBER,Unknown,
