Year,SEX,UNIT_MEASURE,Mother_tongue,Value
2013,_T,NUMBER,"Bosnian ",
2013,_T,NUMBER,Serbian,
2013,_T,NUMBER,Croatian,
2013,_T,NUMBER,Serbo_Croatian,
2013,_T,NUMBER,Romani,
2013,_T,NUMBER,Albanian,
2013,_T,NUMBER,Bosnian_Croatian_Serbian,
2013,_T,NUMBER,Turkish,
2013,_T,NUMBER,Croato_Serbian,
2013,_T,NUMBER,Bosniak,
2013,_T,NUMBER,Ukranian,
2013,_T,NUMBER,Bosnian_Serbian_Croatian,
2013,_T,NUMBER,Bosnian_Croatian,
2013,_T,NUMBER,Bosnian_Herzegovinian,
2013,_T,NUMBER,German,
2013,_T,NUMBER,Other,
2013,_T,NUMBER,Unknown,
2013,M,NUMBER,"Bosnian ",
2013,M,NUMBER,Serbian,
2013,M,NUMBER,Croatian,
2013,M,NUMBER,"Serbo_Croatian ",
2013,M,NUMBER,Romani,
2013,M,NUMBER,Albanian,
2013,M,NUMBER,Bosnian_Croatian_Serbian,
2013,M,NUMBER,Turkish,
2013,M,NUMBER,Croato_Serbian,
2013,M,NUMBER,Bosniak,
2013,M,NUMBER,Ukranian,
2013,M,NUMBER,Bosnian_Serbian_Croatian,
2013,M,NUMBER,Bosnian_Croatian,
2013,M,NUMBER,Bosnian_Herzegovinian,
2013,M,NUMBER,German,
2013,M,NUMBER,Other,
2013,M,NUMBER,Unknown,
2013,F,NUMBER,"Bosnian ",
2013,F,NUMBER,Serbian,
2013,F,NUMBER,Croatian,
2013,F,NUMBER,"Serbo_Croatian ",
2013,F,NUMBER,Romani,
2013,F,NUMBER,Albanian,
2013,F,NUMBER,Bosnian_Croatian_Serbian,
2013,F,NUMBER,Turkish,
2013,F,NUMBER,Croato_Serbian,
2013,F,NUMBER,Bosniak,
2013,F,NUMBER,Ukranian,
2013,F,NUMBER,Bosnian_Serbian_Croatian,
2013,F,NUMBER,Bosnian_Croatian,
2013,F,NUMBER,Bosnian_Herzegovinian,
2013,F,NUMBER,German,
2013,F,NUMBER,Other,
2013,F,NUMBER,Unknown,
