Year,SEX,Type_of_disability,AGE,UNIT_MEASURE,Value
2013,_T,Seeing,0-14,NUMBER,1084
2013,_T,Hearing,0-14,NUMBER,262
2013,_T,walking_or_climbing_up_the_stairs,0-14,NUMBER,671
2013,_T,remembering_or_concentration,0-14,NUMBER,200
2013,_T,self_care,0-14,NUMBER,164
2013,_T,Communication,0-14,NUMBER,318
2013,_T,multiple_disabilities,0-14,NUMBER,1826
2013,_T,Seeing,15-19,NUMBER,862
2013,_T,Hearing,15-19,NUMBER,191
2013,_T,walking_or_climbing_up_the_stairs,15-19,NUMBER,478
2013,_T,remembering_or_concentration,15-19,NUMBER,129
2013,_T,self_care,15-19,NUMBER,32
2013,_T,Communication,15-19,NUMBER,112
2013,_T,multiple_disabilities,15-19,NUMBER,1082
2013,_T,Seeing,20-29,NUMBER,1819
2013,_T,Hearing,20-29,NUMBER,370
2013,_T,walking_or_climbing_up_the_stairs,20-29,NUMBER,1350
2013,_T,remembering_or_concentration,20-29,NUMBER,380
2013,_T,self_care,20-29,NUMBER,72
2013,_T,Communication,20-29,NUMBER,208
2013,_T,multiple_disabilities,20-29,NUMBER,2199
2013,_T,Seeing,30-49,NUMBER,7841
2013,_T,Hearing,30-49,NUMBER,2460
2013,_T,walking_or_climbing_up_the_stairs,30-49,NUMBER,15862
2013,_T,remembering_or_concentration,30-49,NUMBER,2337
2013,_T,self_care,30-49,NUMBER,319
2013,_T,Communication,30-49,NUMBER,683
2013,_T,multiple_disabilities,30-49,NUMBER,10694
2013,_T,Seeing,50-59,NUMBER,12870
2013,_T,Hearing,50-59,NUMBER,3498
2013,_T,walking_or_climbing_up_the_stairs,50-59,NUMBER,21484
2013,_T,remembering_or_concentration,50-59,NUMBER,2035
2013,_T,self_care,50-59,NUMBER,259
2013,_T,Communication,50-59,NUMBER,488
2013,_T,multiple_disabilities,50-59,NUMBER,16861
2013,_T,Seeing,60-64,NUMBER,7189
2013,_T,Hearing,60-64,NUMBER,2289
2013,_T,walking_or_climbing_up_the_stairs,60-64,NUMBER,12727
2013,_T,remembering_or_concentration,60-64,NUMBER,870
2013,_T,self_care,60-64,NUMBER,100
2013,_T,Communication,60-64,NUMBER,259
2013,_T,multiple_disabilities,60-64,NUMBER,11125
2013,_T,Seeing,60-64,NUMBER,20636
2013,_T,Hearing,60-64,NUMBER,12505
2013,_T,walking_or_climbing_up_the_stairs,60-64,NUMBER,44406
2013,_T,remembering_or_concentration,60-64,NUMBER,2836
2013,_T,self_care,60-64,NUMBER,587
2013,_T,Communication,60-64,NUMBER,586
2013,_T,multiple_disabilities,60-64,NUMBER,66443
2013,_T,Seeing,65+,NUMBER,20636
2013,_T,Hearing,65+,NUMBER,12505
2013,_T,walking_or_climbing_up_the_stairs,65+,NUMBER,44406
2013,_T,remembering_or_concentration,65+,NUMBER,2836
2013,_T,self_care,65+,NUMBER,587
2013,_T,Communication,65+,NUMBER,586
2013,_T,multiple_disabilities,65+,NUMBER,66443
2013,M,Seeing,0-14,NUMBER,571
2013,M,Hearing,0-14,NUMBER,146
2013,M,walking_or_climbing_up_the_stairs,0-14,NUMBER,370
2013,M,remembering_or_concentration,0-14,NUMBER,123
2013,M,self_care,0-14,NUMBER,104
2013,M,Communication,0-14,NUMBER,215
2013,M,multiple_disabilities,0-14,NUMBER,1077
2013,M,Seeing,15-19,NUMBER,430
2013,M,Hearing,15-19,NUMBER,101
2013,M,walking_or_climbing_up_the_stairs,15-19,NUMBER,268
2013,M,remembering_or_concentration,15-19,NUMBER,95
2013,M,self_care,15-19,NUMBER,19
2013,M,Communication,15-19,NUMBER,75
2013,M,multiple_disabilities,15-19,NUMBER,653
2013,M,Seeing,20-29,NUMBER,976
2013,M,Hearing,20-29,NUMBER,223
2013,M,walking_or_climbing_up_the_stairs,20-29,NUMBER,883
2013,M,remembering_or_concentration,20-29,NUMBER,256
2013,M,self_care,20-29,NUMBER,44
2013,M,Communication,20-29,NUMBER,133
2013,M,multiple_disabilities,20-29,NUMBER,1306
2013,M,Seeing,30-49,NUMBER,4313
2013,M,Hearing,30-49,NUMBER,1722
2013,M,walking_or_climbing_up_the_stairs,30-49,NUMBER,10912
2013,M,remembering_or_concentration,30-49,NUMBER,1488
2013,M,self_care,30-49,NUMBER,216
2013,M,Communication,30-49,NUMBER,442
2013,M,multiple_disabilities,30-49,NUMBER,6669
2013,M,Seeing,50-59,NUMBER,6088
2013,M,Hearing,50-59,NUMBER,2282
2013,M,walking_or_climbing_up_the_stairs,50-59,NUMBER,11557
2013,M,remembering_or_concentration,50-59,NUMBER,1170
2013,M,self_care,50-59,NUMBER,179
2013,M,Communication,50-59,NUMBER,338
2013,M,multiple_disabilities,50-59,NUMBER,9039
2013,M,Seeing,60-64,NUMBER,3155
2013,M,Hearing,60-64,NUMBER,1432
2013,M,walking_or_climbing_up_the_stairs,60-64,NUMBER,5672
2013,M,remembering_or_concentration,60-64,NUMBER,440
2013,M,self_care,60-64,NUMBER,57
2013,M,Communication,60-64,NUMBER,198
2013,M,multiple_disabilities,60-64,NUMBER,5203
2013,M,Seeing,65+,NUMBER,8036
2013,M,Hearing,65+,NUMBER,6620
2013,M,walking_or_climbing_up_the_stairs,65+,NUMBER,13529
2013,M,remembering_or_concentration,65+,NUMBER,1092
2013,M,self_care,65+,NUMBER,266
2013,M,Communication,65+,NUMBER,360
2013,M,multiple_disabilities,65+,NUMBER,22432
2013,F,Seeing,0-14,NUMBER,513
2013,F,Hearing,0-14,NUMBER,116
2013,F,walking_or_climbing_up_the_stairs,0-14,NUMBER,301
2013,F,remembering_or_concentration,0-14,NUMBER,77
2013,F,self_care,0-14,NUMBER,60
2013,F,Communication,0-14,NUMBER,103
2013,F,multiple_disabilities,0-14,NUMBER,749
2013,F,Seeing,15-19,NUMBER,432
2013,F,Hearing,15-19,NUMBER,90
2013,F,walking_or_climbing_up_the_stairs,15-19,NUMBER,210
2013,F,remembering_or_concentration,15-19,NUMBER,34
2013,F,self_care,15-19,NUMBER,13
2013,F,Communication,15-19,NUMBER,37
2013,F,multiple_disabilities,15-19,NUMBER,429
2013,F,Seeing,20-29,NUMBER,843
2013,F,Hearing,20-29,NUMBER,147
2013,F,walking_or_climbing_up_the_stairs,20-29,NUMBER,467
2013,F,remembering_or_concentration,20-29,NUMBER,124
2013,F,self_care,20-29,NUMBER,28
2013,F,Communication,20-29,NUMBER,75
2013,F,multiple_disabilities,20-29,NUMBER,893
2013,F,Seeing,30-49,NUMBER,3528
2013,F,Hearing,30-49,NUMBER,738
2013,F,walking_or_climbing_up_the_stairs,30-49,NUMBER,4950
2013,F,remembering_or_concentration,30-49,NUMBER,849
2013,F,self_care,30-49,NUMBER,103
2013,F,Communication,30-49,NUMBER,241
2013,F,multiple_disabilities,30-49,NUMBER,4025
2013,F,Seeing,50-59,NUMBER,6782
2013,F,Hearing,50-59,NUMBER,1216
2013,F,walking_or_climbing_up_the_stairs,50-59,NUMBER,9927
2013,F,remembering_or_concentration,50-59,NUMBER,865
2013,F,self_care,50-59,NUMBER,80
2013,F,Communication,50-59,NUMBER,150
2013,F,multiple_disabilities,50-59,NUMBER,7822
2013,F,Seeing,60-64,NUMBER,4034
2013,F,Hearing,60-64,NUMBER,857
2013,F,walking_or_climbing_up_the_stairs,60-64,NUMBER,7055
2013,F,remembering_or_concentration,60-64,NUMBER,430
2013,F,self_care,60-64,NUMBER,43
2013,F,Communication,60-64,NUMBER,61
2013,F,multiple_disabilities,60-64,NUMBER,5922
2013,F,Seeing,65+,NUMBER,12600
2013,F,Hearing,65+,NUMBER,5885
2013,F,walking_or_climbing_up_the_stairs,65+,NUMBER,30877
2013,F,remembering_or_concentration,65+,NUMBER,1744
2013,F,self_care,65+,NUMBER,321
2013,F,Communication,65+,NUMBER,226
2013,F,multiple_disabilities,65+,NUMBER,44011
