Year,UNIT_MEASURE,Type_of_user,SEX,Value
2015,NUMBER,total,_T,561284
2015,NUMBER,total,M,280867
2015,NUMBER,total,F,280417
2015,NUMBER,minor_beneficiaries,_T,143552
2015,NUMBER,minor_beneficiaries,M,74753
2015,NUMBER,minor_beneficiaries,F,68799
2015,NUMBER,adult_beneficiaries,_T,417732
2015,NUMBER,adult_beneficiaries,M,206114
2015,NUMBER,adult_beneficiaries,F,211618
2016,NUMBER,total,_T,542736
2016,NUMBER,total,M,268561
2016,NUMBER,total,F,274175
2016,NUMBER,minor_beneficiaries,_T,133504
2016,NUMBER,minor_beneficiaries,M,70405
2016,NUMBER,minor_beneficiaries,F,63099
2016,NUMBER,adult_beneficiaries,_T,409232
2016,NUMBER,adult_beneficiaries,M,198156
2016,NUMBER,adult_beneficiaries,F,211076
2017,NUMBER,total,_T,541572
2017,NUMBER,total,M,280855
2017,NUMBER,total,F,260717
2017,NUMBER,minor_beneficiaries,_T,127682
2017,NUMBER,minor_beneficiaries,M,67353
2017,NUMBER,minor_beneficiaries,F,60329
2017,NUMBER,adult_beneficiaries,_T,413890
2017,NUMBER,adult_beneficiaries,M,213502
2017,NUMBER,adult_beneficiaries,F,200388
2018,NUMBER,total,_T,549546
2018,NUMBER,total,M,283301
2018,NUMBER,total,F,266245
2018,NUMBER,minor_beneficiaries,_T,129673
2018,NUMBER,minor_beneficiaries,M,69291
2018,NUMBER,minor_beneficiaries,F,60382
2018,NUMBER,adult_beneficiaries,_T,419873
2018,NUMBER,adult_beneficiaries,M,214010
2018,NUMBER,adult_beneficiaries,F,205863
2019,NUMBER,total,_T,540302
2019,NUMBER,total,M,279848
2019,NUMBER,total,F,260454
2019,NUMBER,minor_beneficiaries,_T,126324
2019,NUMBER,minor_beneficiaries,M,67023
2019,NUMBER,minor_beneficiaries,F,59301
2019,NUMBER,adult_beneficiaries,_T,413978
2019,NUMBER,adult_beneficiaries,M,212825
2019,NUMBER,adult_beneficiaries,F,201153
2020,NUMBER,total,_T,546605
2020,NUMBER,total,M,279742
2020,NUMBER,total,F,266863
2020,NUMBER,minor_beneficiaries,_T,119875
2020,NUMBER,minor_beneficiaries,M,64126
2020,NUMBER,minor_beneficiaries,F,55749
2020,NUMBER,adult_beneficiaries,_T,426730
2020,NUMBER,adult_beneficiaries,M,215616
2020,NUMBER,adult_beneficiaries,F,211114
2021,NUMBER,total,_T,521218
2021,NUMBER,total,M,265266
2021,NUMBER,total,F,255952
2021,NUMBER,minor_beneficiaries,_T,110813
2021,NUMBER,minor_beneficiaries,M,58644
2021,NUMBER,minor_beneficiaries,F,52169
2021,NUMBER,adult_beneficiaries,_T,410405
2021,NUMBER,adult_beneficiaries,M,206622
2021,NUMBER,adult_beneficiaries,F,203783
2022,NUMBER,total,_T,510036
2022,NUMBER,total,M,255391
2022,NUMBER,total,F,254645
2022,NUMBER,minor_beneficiaries,_T,107850
2022,NUMBER,minor_beneficiaries,M,56436
2022,NUMBER,minor_beneficiaries,F,51414
2022,NUMBER,adult_beneficiaries,_T,402186
2022,NUMBER,adult_beneficiaries,M,198955
2022,NUMBER,adult_beneficiaries,F,203231
2023,NUMBER,total,_T,500769
2023,NUMBER,total,M,248101
2023,NUMBER,total,F,252668
2023,NUMBER,minor_beneficiaries,_T,107256
2023,NUMBER,minor_beneficiaries,M,56227
2023,NUMBER,minor_beneficiaries,F,51029
2023,NUMBER,adult_beneficiaries,_T,393513
2023,NUMBER,adult_beneficiaries,M,191874
2023,NUMBER,adult_beneficiaries,F,201639
2024,NUMBER,total,_T,510120
2024,NUMBER,total,M,256001
2024,NUMBER,total,F,254119






