Year,UNIT_MEASURE,type_of_institution,Value
2011,NUMBER,_T,227
2012,NUMBER,_T,246
2013,NUMBER,_T,261
2014,NUMBER,_T,292
2015,NUMBER,_T,320
2016,NUMBER,_T,335
2017,NUMBER,_T,335
2018,NUMBER,_T,362
2019,NUMBER,_T,390
2020,NUMBER,_T,399
2021,NUMBER,_T,427
2022,NUMBER,_T,465
2011,NUMBER,public,176
2012,NUMBER,public,180
2013,NUMBER,public,180
2014,NUMBER,public,181
2015,NUMBER,public,192
2016,NUMBER,public,198
2017,NUMBER,public,200
2018,NUMBER,public,205
2019,NUMBER,public,209
2020,NUMBER,public,215
2021,NUMBER,public,227
2022,NUMBER,public,229
2011,NUMBER,private,51
2012,NUMBER,private,66
2013,NUMBER,private,81
2014,NUMBER,private,111
2015,NUMBER,private,128
2016,NUMBER,private,137
2017,NUMBER,private,135
2018,NUMBER,private,157
2019,NUMBER,private,181
2020,NUMBER,private,184
2021,NUMBER,private,200
2022,NUMBER,private,236
