Year,UNIT_MEASURE,school_year_end,SEX,Value
2010,NUMBER,2010/2011,_T,50567
2011,NUMBER,2011/2012,_T,41834
2012,NUMBER,2012/2013,_T,33672
2013,NUMBER,2013/2014,_T,36993
2014,NUMBER,2014/2015,_T,36434
2015,NUMBER,2015/2016,_T,36126
2016,NUMBER,2016/2017,_T,35694
2017,NUMBER,2017/2018,_T,32144
2018,NUMBER,2018/2019,_T,31728
2019,NUMBER,2019/2020,_T,30463
2010,NUMBER,2010/2011,M,25977
2011,NUMBER,2011/2012,M,21761
2012,NUMBER,2012/2013,M,17181
2013,NUMBER,2013/2014,M,18730
2014,NUMBER,2014/2015,M,18662
2015,NUMBER,2015/2016,M,18441
2016,NUMBER,2016/2017,M,18266
2017,NUMBER,2017/2018,M,16159
2018,NUMBER,2018/2019,M,16244
2019,NUMBER,2019/2020,M,15564
2010,NUMBER,2010/2011,F,24590
2011,NUMBER,2011/2012,F,20073
2012,NUMBER,2012/2013,F,16491
2013,NUMBER,2013/2014,F,18263
2014,NUMBER,2014/2015,F,17772
2015,NUMBER,2015/2016,F,17685
2016,NUMBER,2016/2017,F,17428
2017,NUMBER,2017/2018,F,15985
2018,NUMBER,2018/2019,F,15484
2019,NUMBER,2019/2020,F,14899
