Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,163284
2012,NUMBER,_T,166662
2013,NUMBER,_T,156350
2014,NUMBER,_T,143881
2015,NUMBER,_T,133228
2016,NUMBER,_T,126824
2017,NUMBER,_T,124148
2018,NUMBER,_T,117475
2019,NUMBER,_T,112796
2020,NUMBER,_T,110404
2021,NUMBER,_T,108257
2022,NUMBER,_T,107936
2011,NUMBER,M,82745
2012,NUMBER,M,84420
2013,NUMBER,M,78882
2014,NUMBER,M,72095
2015,NUMBER,M,66708
2016,NUMBER,M,63232
2017,NUMBER,M,61934
2018,NUMBER,M,58821
2019,NUMBER,M,56328
2020,NUMBER,M,55068
2021,NUMBER,M,53916
2022,NUMBER,M,53454
2011,NUMBER,F,80539
2012,NUMBER,F,82242
2013,NUMBER,F,77468
2014,NUMBER,F,71786
2015,NUMBER,F,66520
2016,NUMBER,F,63592
2017,NUMBER,F,62214
2018,NUMBER,F,58654
2019,NUMBER,F,56468
2020,NUMBER,F,55336
2021,NUMBER,F,54341
2022,NUMBER,F,54482
