Year,UNIT_MEASURE,school_year_end,Type_of_school,SEX,Value
2010,NUMBER,2010/2011,_T,_T,35349
2011,NUMBER,2011/2012,_T,_T,34791
2012,NUMBER,2012/2013,_T,_T,40630
2013,NUMBER,2013/2014,_T,_T,43991
2014,NUMBER,2014/2015,_T,_T,43318
2015,NUMBER,2015/2016,_T,_T,35897
2016,NUMBER,2016/2017,_T,_T,31761
2017,NUMBER,2017/2018,_T,_T,32963
2018,NUMBER,2018/2019,_T,_T,32540
2019,NUMBER,2019/2020,_T,_T,31140
2010,NUMBER,2010/2011,gymnasium,_T,8863
2011,NUMBER,2011/2012,gymnasium,_T,8101
2012,NUMBER,2012/2013,gymnasium,_T,9732
2013,NUMBER,2013/2014,gymnasium,_T,10855
2014,NUMBER,2014/2015,gymnasium,_T,11920
2015,NUMBER,2015/2016,gymnasium,_T,9210
2016,NUMBER,2016/2017,gymnasium,_T,7893
2017,NUMBER,2017/2018,gymnasium,_T,7799
2018,NUMBER,2018/2019,gymnasium,_T,7462
2019,NUMBER,2019/2020,gymnasium,_T,7010
2010,NUMBER,2010/2011,technical_schools,_T,17510
2011,NUMBER,2011/2012,technical_schools,_T,16553
2012,NUMBER,2012/2013,technical_schools,_T,19679
2013,NUMBER,2013/2014,technical_schools,_T,21299
2014,NUMBER,2014/2015,technical_schools,_T,21426
2015,NUMBER,2015/2016,technical_schools,_T,18617
2016,NUMBER,2016/2017,technical_schools,_T,15815
2017,NUMBER,2017/2018,technical_schools,_T,16988
2018,NUMBER,2018/2019,technical_schools,_T,17092
2019,NUMBER,2019/2020,technical_schools,_T,16116
2010,NUMBER,2010/2011,art_schools,_T,276
2011,NUMBER,2011/2012,art_schools,_T,293
2012,NUMBER,2012/2013,art_schools,_T,316
2013,NUMBER,2013/2014,art_schools,_T,318
2014,NUMBER,2014/2015,art_schools,_T,357
2015,NUMBER,2015/2016,art_schools,_T,288
2016,NUMBER,2016/2017,art_schools,_T,214
2017,NUMBER,2017/2018,art_schools,_T,302
2018,NUMBER,2018/2019,art_schools,_T,281
2019,NUMBER,2019/2020,art_schools,_T,241
2010,NUMBER,2010/2011,religion_schools,_T,447
2011,NUMBER,2011/2012,religion_schools,_T,356
2012,NUMBER,2012/2013,religion_schools,_T,460
2013,NUMBER,2013/2014,religion_schools,_T,517
2014,NUMBER,2014/2015,religion_schools,_T,602
2015,NUMBER,2015/2016,religion_schools,_T,503
2016,NUMBER,2016/2017,religion_schools,_T,476
2017,NUMBER,2017/2018,religion_schools,_T,530
2018,NUMBER,2018/2019,religion_schools,_T,553
2019,NUMBER,2019/2020,religion_schools,_T,518
2010,NUMBER,2010/2011,vocational_schools,_T,8154
2011,NUMBER,2011/2012,vocational_schools,_T,9386
2012,NUMBER,2012/2013,vocational_schools,_T,10331
2013,NUMBER,2013/2014,vocational_schools,_T,10806
2014,NUMBER,2014/2015,vocational_schools,_T,8890
2015,NUMBER,2015/2016,vocational_schools,_T,7161
2016,NUMBER,2016/2017,vocational_schools,_T,7260
2017,NUMBER,2017/2018,vocational_schools,_T,7224
2018,NUMBER,2018/2019,vocational_schools,_T,7018
2019,NUMBER,2019/2020,vocational_schools,_T,7149
2010,NUMBER,2010/2011,high_schools_for_children_with_special_needs,_T,99
2011,NUMBER,2011/2012,high_schools_for_children_with_special_needs,_T,102
2012,NUMBER,2012/2013,high_schools_for_children_with_special_needs,_T,112
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,_T,196
2014,NUMBER,2014/2015,high_schools_for_children_with_special_needs,_T,123
2015,NUMBER,2015/2016,high_schools_for_children_with_special_needs,_T,118
2016,NUMBER,2016/2017,high_schools_for_children_with_special_needs,_T,103
2017,NUMBER,2017/2018,high_schools_for_children_with_special_needs,_T,120
2018,NUMBER,2018/2019,high_schools_for_children_with_special_needs,_T,134
2019,NUMBER,2019/2020,high_schools_for_children_with_special_needs,_T,106
2010,NUMBER,2010/2011,_T,M,18022
2011,NUMBER,2011/2012,_T,M,18153
2012,NUMBER,2012/2013,_T,M,20895
2013,NUMBER,2013/2014,_T,M,22589
2014,NUMBER,2014/2015,_T,M,22230
2015,NUMBER,2015/2016,_T,M,18464
2016,NUMBER,2016/2017,_T,M,16307
2017,NUMBER,2017/2018,_T,M,16580
2018,NUMBER,2018/2019,_T,M,16519
2019,NUMBER,2019/2020,_T,M,15982
2010,NUMBER,2010/2011,gymnasium,M,3246
2011,NUMBER,2011/2012,gymnasium,M,3021
2012,NUMBER,2012/2013,gymnasium,M,3642
2013,NUMBER,2013/2014,gymnasium,M,3946
2014,NUMBER,2014/2015,gymnasium,M,4428
2015,NUMBER,2015/2016,gymnasium,M,3412
2016,NUMBER,2016/2017,gymnasium,M,2895
2017,NUMBER,2017/2018,gymnasium,M,2869
2018,NUMBER,2018/2019,gymnasium,M,2819
2019,NUMBER,2019/2020,gymnasium,M,2538
2010,NUMBER,2010/2011,technical_schools,M,8794
2011,NUMBER,2011/2012,technical_schools,M,8333
2012,NUMBER,2012/2013,technical_schools,M,9735
2013,NUMBER,2013/2014,technical_schools,M,10569
2014,NUMBER,2014/2015,technical_schools,M,10911
2015,NUMBER,2015/2016,technical_schools,M,9580
2016,NUMBER,2016/2017,technical_schools,M,7882
2017,NUMBER,2017/2018,technical_schools,M,8200
2018,NUMBER,2018/2019,technical_schools,M,8309
2019,NUMBER,2019/2020,technical_schools,M,7844
2010,NUMBER,2010/2011,art_schools,M,113
2011,NUMBER,2011/2012,art_schools,M,120
2012,NUMBER,2012/2013,art_schools,M,137
2013,NUMBER,2013/2014,art_schools,M,133
2014,NUMBER,2014/2015,art_schools,M,161
2015,NUMBER,2015/2016,art_schools,M,111
2016,NUMBER,2016/2017,art_schools,M,80
2017,NUMBER,2017/2018,art_schools,M,108
2018,NUMBER,2018/2019,art_schools,M,111
2019,NUMBER,2019/2020,art_schools,M,80
2010,NUMBER,2010/2011,religion_schools,M,228
2011,NUMBER,2011/2012,religion_schools,M,176
2012,NUMBER,2012/2013,religion_schools,M,209
2013,NUMBER,2013/2014,religion_schools,M,260
2014,NUMBER,2014/2015,religion_schools,M,296
2015,NUMBER,2015/2016,religion_schools,M,242
2016,NUMBER,2016/2017,religion_schools,M,241
2017,NUMBER,2017/2018,religion_schools,M,253
2018,NUMBER,2018/2019,religion_schools,M,251
2019,NUMBER,2019/2020,religion_schools,M,259
2010,NUMBER,2010/2011,vocational_schools,M,5576
2011,NUMBER,2011/2012,vocational_schools,M,6443
2012,NUMBER,2012/2013,vocational_schools,M,7094
2013,NUMBER,2013/2014,vocational_schools,M,7549
2014,NUMBER,2014/2015,vocational_schools,M,6355
2015,NUMBER,2015/2016,vocational_schools,M,5047
2016,NUMBER,2016/2017,vocational_schools,M,5142
2017,NUMBER,2017/2018,vocational_schools,M,5068
2018,NUMBER,2018/2019,vocational_schools,M,4947
2019,NUMBER,2019/2020,vocational_schools,M,5195
2010,NUMBER,2010/2011,high_schools_for_children_with_special_needs,M,65
2011,NUMBER,2011/2012,high_schools_for_children_with_special_needs,M,60
2012,NUMBER,2012/2013,high_schools_for_children_with_special_needs,M,78
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,M,132
2014,NUMBER,2014/2015,high_schools_for_children_with_special_needs,M,79
2015,NUMBER,2015/2016,high_schools_for_children_with_special_needs,M,72
2016,NUMBER,2016/2017,high_schools_for_children_with_special_needs,M,67
2017,NUMBER,2017/2018,high_schools_for_children_with_special_needs,M,82
2018,NUMBER,2018/2019,high_schools_for_children_with_special_needs,M,82
2019,NUMBER,2019/2020,high_schools_for_children_with_special_needs,M,66
2010,NUMBER,2010/2011,_T,F,17327
2011,NUMBER,2011/2012,_T,F,16638
2012,NUMBER,2012/2013,_T,F,19735
2013,NUMBER,2013/2014,_T,F,21402
2014,NUMBER,2014/2015,_T,F,21088
2015,NUMBER,2015/2016,_T,F,17433
2016,NUMBER,2016/2017,_T,F,15454
2017,NUMBER,2017/2018,_T,F,16383
2018,NUMBER,2018/2019,_T,F,16021
2019,NUMBER,2019/2020,_T,F,15158
2010,NUMBER,2010/2011,gymnasium,F,5617
