Year,UNIT_MEASURE,AGE,SEX,Value
2016,NUMBER,total,_T,6.9
2016,NUMBER,total,M,7.1
2016,NUMBER,total,F,6.7
2016,NUMBER,25 - 34,_T,16.6
2016,NUMBER,26 - 34,M,16.4
2016,NUMBER,27 - 34,F,16.8
2016,NUMBER,35 - 44,_T,9.3
2016,NUMBER,36 - 44,M,9.7
2016,NUMBER,37 - 44,F,8.8
2016,NUMBER,35 - 54,_T,7.3
2016,NUMBER,36 - 54,M,7.6
2016,NUMBER,37 - 54,F,6.9
2016,NUMBER,45 - 54,_T,5.9
2016,NUMBER,46 - 54,M,6.2
2016,NUMBER,47 - 54,F,5.6
2016,NUMBER,55 - 64,_T,2.6
2016,NUMBER,56 - 64,M,3
2016,NUMBER,57 - 64,F,2.2
