Year,SEX,AGE,UNIT_MEASURE,Value
2010,_T,15-24,%,28.0
2011,_T,15-24,%,27.7
2012,_T,15-24,%,28.4
2013,_T,15-24,%,25.8
2014,_T,15-24,%,26.1
2015,_T,15-24,%,27.7
2016,_T,15-24,%,26.4
2017,_T,15-24,%,24.3
2018,_T,15-24,%,21.6
2019,_T,15-24,%,21.0
2020,_T,15-24,%,21.6
2021,_T,15-24,%,19.9
2015,_T,25-29,%,44.6
2016,_T,25-29,%,42.6
2017,_T,25-29,%,39.5
2018,_T,25-29,%,35.9
2019,_T,25-29,%,36.2
2020,_T,25-29,%,34.3
2021,_T,25-29,%,34.7
2015,_T,15-29,%,32.8
2016,_T,15-29,%,31.4
2017,_T,15-29,%,28.8
2018,_T,15-29,%,25.5
2019,_T,15-29,%,25.0
2020,_T,15-29,%,25.9
2021,_T,15-29,%,25.1
2010,M,15-24,%,28.1
2011,M,15-24,%,29.2
2012,M,15-24,%,30.5
2013,M,15-24,%,27.4
2014,M,15-24,%,27.9
2015,M,15-24,%,29.2
2016,M,15-24,%,28.0
2017,M,15-24,%,24.5
2018,M,15-24,%,22.1
2019,M,15-24,%,20.7
2020,M,15-24,%,20.3
2021,M,15-24,%,19.5
2015,M,25-29,%,39.6
2016,M,25-29,%,35.7
2017,M,25-29,%,33.2
2018,M,25-29,%,28.7
2019,M,25-29,%,28.0
2020,M,25-29,%,25.2
2021,M,25-29,%,25.5
2015,M,15-29,%,32.4
2016,M,15-29,%,30.4
2017,M,15-29,%,27.0
2018,M,15-29,%,24.0
2019,M,15-29,%,22.6
2020,M,15-29,%,22.0
2021,M,15-29,%,21.6
2010,F,15-24,%,28.0
2011,F,15-24,%,26.1
2012,F,15-24,%,26.2
2013,F,15-24,%,24.1
2014,F,15-24,%,24.0
2015,F,15-24,%,26.0
2016,F,15-24,%,24.7
2017,F,15-24,%,24.0
2018,F,15-24,%,21.1
2019,F,15-24,%,21.4
2020,F,15-24,%,23.0
2021,F,15-24,%,20.4
2015,F,25-29,%,50.7
2016,F,25-29,%,50.6
2017,F,25-29,%,47.0
2018,F,25-29,%,45.8
2019,F,25-29,%,46.6
2020,F,25-29,%,43.9
2021,F,25-29,%,44.5
2015,F,15-29,%,33.3
2016,F,15-29,%,32.5
2017,F,15-29,%,30.8
2018,F,15-29,%,27.3
2019,F,15-29,%,27.9
2020,F,15-29,%,30.1
2021,F,15-29,%,28.8
,,,,
