Year,UNIT_MEASURE,status_in_employment,SEX,Value
2015,%,employees,_T,75.8
2016,%,employees,_T,75.6
2017,%,employees,_T,75.4
2018,%,employees,_T,78.6
2019,%,employees,_T,75.1
2020,%,employees,_T,81.6
2021,%,employees,_T,85.1
2022,%,employees,_T,86.9
2015,%,self_employed,_T,20.7
2016,%,self_employed,_T,21.1
2017,%,self_employed,_T,20.6
2018,%,self_employed,_T,17.6
2019,%,self_employed,_T,21.9
2020,%,self_employed,_T,15
2021,%,self_employed,_T,13.1
2022,%,self_employed,_T,11.7
2015,%,unpaid_family_workers,_T,3.5
2016,%,unpaid_family_workers,_T,3.3
2017,%,unpaid_family_workers,_T,3.9
2018,%,unpaid_family_workers,_T,3.7
2019,%,unpaid_family_workers,_T,3
2020,%,unpaid_family_workers,_T,3.4
2021,%,unpaid_family_workers,_T,1.8
2022,%,unpaid_family_workers,_T,1.4
2015,%,employees,M,74.3
2016,%,employees,M,74.7
2017,%,employees,M,75.6
2018,%,employees,M,78.5
2019,%,employees,M,75.8
2020,%,employees,M,82.2
2021,%,employees,M,84.6
2022,%,employees,M,85.5
2015,%,self_employed,M,23.9
2016,%,self_employed,M,23.6
2017,%,self_employed,M,22.6
2018,%,self_employed,M,19.6
2019,%,self_employed,M,22.8
2020,%,self_employed,M,16.4
2021,%,self_employed,M,14.5
2022,%,self_employed,M,13.8
2015,%,unpaid_family_workers,M,1.7
2016,%,unpaid_family_workers,M,1.7
2017,%,unpaid_family_workers,M,1.9
2018,%,unpaid_family_workers,M,1.9
2019,%,unpaid_family_workers,M,1.4
2020,%,unpaid_family_workers,M,1.4
2021,%,unpaid_family_workers,M,0.9
2022,%,unpaid_family_workers,M,0.7
2015,%,employees,F,78.2
2016,%,employees,F,77.2
2017,%,employees,F,75.2
2018,%,employees,F,78.9
2019,%,employees,F,74
2020,%,employees,F,80.6
2021,%,employees,F,86.1
2022,%,employees,F,89.3
2015,%,self_employed,F,15.2
2016,%,self_employed,F,16.5
2017,%,self_employed,F,17.4
2018,%,self_employed,F,14.3
2019,%,self_employed,F,20.4
2020,%,self_employed,F,12.7
2021,%,self_employed,F,10.5
2022,%,self_employed,F,8.1
2015,%,unpaid_family_workers,F,6.6
2016,%,unpaid_family_workers,F,6.3
2017,%,unpaid_family_workers,F,7.4
2018,%,unpaid_family_workers,F,6.8
2019,%,unpaid_family_workers,F,5.6
2020,%,unpaid_family_workers,F,6.7
2021,%,unpaid_family_workers,F,3.4
2022,%,unpaid_family_workers,F,2.6
