Year,UNIT_MEASURE,Sex,Value
2003,Number,Both sexes,5559
2004,Number,Both sexes,5680
2005,Number,Both sexes,5773
2006,Number,Both sexes,5932
2007,Number,Both sexes,6182
2008,Number,Both sexes,6275
2009,Number,Both sexes,6493
2010,Number,Both sexes,6665
2011,Number,Both sexes,6881
2012,Number,Both sexes,7026
2013,Number,Both sexes,7211
2014,Number,Both sexes,7272
2015,Number,Both sexes,7413
2016,Number,Both sexes,7453
2017,Number,Both sexes,7415
2018,Number,Both sexes,7599
2019,Number,Both sexes,7791
2003,Number,M,2453
2004,Number,M,2463
2005,Number,M,2458
2006,Number,M,2470
2007,Number,M,2558
2008,Number,M,2539
2009,Number,M,2641
2010,Number,M,2628
2011,Number,M,2699
2012,Number,M,2732
2013,Number,M,2804
2014,Number,M,2865
2015,Number,M,2859
2016,Number,M,2856
2017,Number,M,2829
2018,Number,M,2865
2019,Number,M,2898
2003,Number,F,3106
2004,Number,F,3217
2005,Number,F,3315
2006,Number,F,3462
2007,Number,F,3624
2008,Number,F,3736
2009,Number,F,3852
2010,Number,F,4037
2011,Number,F,4182
2012,Number,F,4294
2013,Number,F,4407
2014,Number,F,4561
2015,Number,F,4554
2016,Number,F,4597
2017,Number,F,4586
2018,Number,F,4734
2019,Number,F,4893
