Year,UNIT_MEASURE,Type of education,Sex,Value
2014,Number,Total,Both sexes,791
2014,Number,Education,Both sexes,0
2014,Number,Arts and humanities,Both sexes,21
2014,Number,"Social sciences, journalism and information",Both sexes,0
2014,Number,Business administration and the law,Both sexes,128
2014,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2014,Number,Information and communication technologies,Both sexes,0
2014,Number,"Engineering, manufacturing and construction",Both sexes,1
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,48
2014,Number,Health and social protection,Both sexes,593
2014,Number,Services,Both sexes,0
2014,Number,Unknown,Both sexes,0
2015,Number,Total,Both sexes,825
2015,Number,Education,Both sexes,0
2015,Number,Arts and humanities,Both sexes,22
2015,Number,"Social sciences, journalism and information",Both sexes,0
2015,Number,Business administration and the law,Both sexes,120
2015,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2015,Number,Information and communication technologies,Both sexes,0
2015,Number,"Engineering, manufacturing and construction",Both sexes,0
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,0
2015,Number,Health and social protection,Both sexes,683
2015,Number,Services,Both sexes,0
2015,Number,Unknown,Both sexes,0
2016,Number,Total,Both sexes,859
2016,Number,Education,Both sexes,0
2016,Number,Arts and humanities,Both sexes,26
2016,Number,"Social sciences, journalism and information",Both sexes,0
2016,Number,Business administration and the law,Both sexes,111
2016,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2016,Number,Information and communication technologies,Both sexes,0
2016,Number,"Engineering, manufacturing and construction",Both sexes,1
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,29
2016,Number,Health and social protection,Both sexes,692
2016,Number,Services,Both sexes,0
2016,Number,Unknown,Both sexes,0
2017,Number,Total,Both sexes,874
2017,Number,Education,Both sexes,0
2017,Number,Arts and humanities,Both sexes,34
2017,Number,"Social sciences, journalism and information",Both sexes,0
2017,Number,Business administration and the law,Both sexes,19
2017,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2017,Number,Information and communication technologies,Both sexes,0
2017,Number,"Engineering, manufacturing and construction",Both sexes,0
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,56
2017,Number,Health and social protection,Both sexes,765
2017,Number,Services,Both sexes,0
2017,Number,Unknown,Both sexes,0
2018,Number,Total,Both sexes,826
2018,Number,Education,Both sexes,0
2018,Number,Arts and humanities,Both sexes,25
2018,Number,"Social sciences, journalism and information",Both sexes,0
2018,Number,Business administration and the law,Both sexes,42
2018,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2018,Number,Information and communication technologies,Both sexes,0
2018,Number,"Engineering, manufacturing and construction",Both sexes,0
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,70
2018,Number,Health and social protection,Both sexes,689
2018,Number,Services,Both sexes,0
2018,Number,Unknown,Both sexes,0
