Year,Sex,Age,UNIT_MEASURE,Value
2010,Both sexes,15-24,Number,28.0
2011,Both sexes,15-24,Number,27.7
2012,Both sexes,15-24,Number,28.4
2013,Both sexes,15-24,Number,25.8
2014,Both sexes,15-24,Number,26.1
2015,Both sexes,15-24,Number,27.7
2016,Both sexes,15-24,Number,26.4
2017,Both sexes,15-24,Number,24.3
2018,Both sexes,15-24,Number,21.6
2019,Both sexes,15-24,Number,21.0
2020,Both sexes,15-24,Number,21.6
2015,Both sexes,25-29,Number,44.6
2016,Both sexes,25-29,Number,42.6
2017,Both sexes,25-29,Number,39.5
2018,Both sexes,25-29,Number,35.9
2019,Both sexes,25-29,Number,36.2
2020,Both sexes,25-29,Number,34.3
2015,Both sexes,15-29,Number,32.8
2016,Both sexes,15-29,Number,31.4
2017,Both sexes,15-29,Number,28.8
2018,Both sexes,15-29,Number,25.5
2019,Both sexes,15-29,Number,25.0
2020,Both sexes,15-29,Number,25.9
2010,M,15-24,Number,28.1
2011,M,15-24,Number,29.2
2012,M,15-24,Number,30.5
2013,M,15-24,Number,27.4
2014,M,15-24,Number,27.9
2015,M,15-24,Number,29.2
2016,M,15-24,Number,28.0
2017,M,15-24,Number,24.5
2018,M,15-24,Number,22.1
2019,M,15-24,Number,20.7
2020,M,15-24,Number,20.3
2015,M,25-29,Number,39.6
2016,M,25-29,Number,35.7
2017,M,25-29,Number,33.2
2018,M,25-29,Number,28.7
2019,M,25-29,Number,28.0
2020,M,25-29,Number,25.2
2015,M,15-29,Number,32.4
2016,M,15-29,Number,30.4
2017,M,15-29,Number,27.0
2018,M,15-29,Number,24.0
2019,M,15-29,Number,22.6
2020,M,15-29,Number,22.0
2010,F,15-24,Number,28.0
2011,F,15-24,Number,26.1
2012,F,15-24,Number,26.2
2013,F,15-24,Number,24.1
2014,F,15-24,Number,24.0
2015,F,15-24,Number,26.0
2016,F,15-24,Number,24.7
2017,F,15-24,Number,24.0
2018,F,15-24,Number,21.1
2019,F,15-24,Number,21.4
2020,F,15-24,Number,23.0
2015,F,25-29,Number,50.7
2016,F,25-29,Number,50.6
2017,F,25-29,Number,47.0
2018,F,25-29,Number,45.8
2019,F,25-29,Number,46.6
2020,F,25-29,Number,43.9
2015,F,15-29,Number,33.3
2016,F,15-29,Number,32.5
2017,F,15-29,Number,30.8
2018,F,15-29,Number,27.3
2019,F,15-29,Number,27.9
2020,F,15-29,Number,30.1
