Year,UNIT_MEASURE,Sex,Age,Municipality,Value
2013,Number,Both sexes,Total,Banja Luka,185042
2013,Number,M,Total,Banja Luka,89148
2013,Number,F,Total,Banja Luka,95894
2013,Number,Both sexes,Total,Banovici,22773
2013,Number,M,Total,Banovici,11392
2013,Number,F,Total,Banovici,11381
2013,Number,Both sexes,Total,Berkovici,2114
2013,Number,M,Total,Berkovici,1059
2013,Number,F,Total,Berkovici,1055
2013,Number,Both sexes,Total,Bihac,56261
2013,Number,M,Total,Bihac,27041
2013,Number,F,Total,Bihac,29220
2013,Number,Both sexes,Total,Bijeljina,107715
2013,Number,M,Total,Bijeljina,52827
2013,Number,F,Total,Bijeljina,54888
2013,Number,Both sexes,Total,Bileca,10807
2013,Number,M,Total,Bileca,5454
2013,Number,F,Total,Bileca,5353
2013,Number,Both sexes,Total,Bosanska Krupa,25545
2013,Number,M,Total,Bosanska Krupa,12548
2013,Number,F,Total,Bosanska Krupa,12997
2013,Number,Both sexes,Total,Bosanski Petrovac,7328
2013,Number,M,Total,Bosanski Petrovac,3678
2013,Number,F,Total,Bosanski Petrovac,3650
2013,Number,Both sexes,Total,Bosansko Grahovo,2449
2013,Number,M,Total,Bosansko Grahovo,1287
2013,Number,F,Total,Bosansko Grahovo,1162
2013,Number,Both sexes,Total,Bratunac,20340
2013,Number,M,Total,Bratunac,10091
2013,Number,F,Total,Bratunac,10249
2013,Number,Both sexes,Total,Brcko,83516
2013,Number,M,Total,Brcko,41250
2013,Number,F,Total,Brcko,42266
2013,Number,Both sexes,Total,Breza,14168
2013,Number,M,Total,Breza,6952
2013,Number,F,Total,Breza,7216
2013,Number,Both sexes,Total,Brod,16619
2013,Number,M,Total,Brod,8143
2013,Number,F,Total,Brod,8476
2013,Number,Both sexes,Total,Bugojno,31470
2013,Number,M,Total,Bugojno,15635
2013,Number,F,Total,Bugojno,15835
2013,Number,Both sexes,Total,Busovaca,17910
2013,Number,M,Total,Busovaca,9134
2013,Number,F,Total,Busovaca,8776
2013,Number,Both sexes,Total,Buzim,19340
2013,Number,M,Total,Buzim,9885
2013,Number,F,Total,Buzim,9455
2013,Number,Both sexes,Total,Cazin,66149
2013,Number,M,Total,Cazin,33072
2013,Number,F,Total,Cazin,33077
2013,Number,Both sexes,Total,Sarajevo-Centar,55181
2013,Number,M,Total,Sarajevo-Centar,25369
2013,Number,F,Total,Sarajevo-Centar,29812
2013,Number,Both sexes,Total,Cajnice,4895
2013,Number,M,Total,Cajnice,2474
2013,Number,F,Total,Cajnice,2421
2013,Number,Both sexes,Total,Capljina,26157
2013,Number,M,Total,Capljina,12947
2013,Number,F,Total,Capljina,13210
2013,Number,Both sexes,Total,Celic,10502
2013,Number,M,Total,Celic,5256
2013,Number,F,Total,Celic,5246
2013,Number,Both sexes,Total,Celinac,15548
2013,Number,M,Total,Celinac,7728
2013,Number,F,Total,Celinac,7820
2013,Number,Both sexes,Total,Citluk,18140
2013,Number,M,Total,Citluk,8937
2013,Number,F,Total,Citluk,9203
2013,Number,Both sexes,Total,Derventa,27404
2013,Number,M,Total,Derventa,13397
2013,Number,F,Total,Derventa,14007
2013,Number,Both sexes,Total,Doboj,71441
2013,Number,M,Total,Doboj,34916
2013,Number,F,Total,Doboj,36525
2013,Number,Both sexes,Total,Doboj-East,10248
2013,Number,M,Total,Doboj-East,5061
2013,Number,F,Total,Doboj-East,5187
2013,Number,Both sexes,Total,Doboj-South,4137
2013,Number,M,Total,Doboj-South,2065
2013,Number,F,Total,Doboj-South,2072
2013,Number,Both sexes,Total,Dobretici,1629
2013,Number,M,Total,Dobretici,905
2013,Number,F,Total,Dobretici,724
2013,Number,Both sexes,Total,Domaljevac-Samac,4771
2013,Number,M,Total,Domaljevac-Samac,2373
2013,Number,F,Total,Domaljevac-Samac,2398
2013,Number,Both sexes,Total,Donji Vakuf,13985
2013,Number,M,Total,Donji Vakuf,6922
2013,Number,F,Total,Donji Vakuf,7063
2013,Number,Both sexes,Total,Donji Zabar,3809
2013,Number,M,Total,Donji Zabar,1920
2013,Number,F,Total,Donji Zabar,1889
2013,Number,Both sexes,Total,Drvar,7036
2013,Number,M,Total,Drvar,3473
2013,Number,F,Total,Drvar,3563
2013,Number,Both sexes,Total,Foca-FBiH,1933
2013,Number,M,Total,Foca-FBiH,998
2013,Number,F,Total,Foca-FBiH,935
2013,Number,Both sexes,Total,Foca-RS,18288
2013,Number,M,Total,Foca-RS,9236
2013,Number,F,Total,Foca-RS,9052
2013,Number,Both sexes,Total,Fojnica,12356
2013,Number,M,Total,Fojnica,6197
2013,Number,F,Total,Fojnica,6159
2013,Number,Both sexes,Total,Gacko,8990
2013,Number,M,Total,Gacko,4556
2013,Number,F,Total,Gacko,4434
2013,Number,Both sexes,Total,Glamoc,3860
2013,Number,M,Total,Glamoc,1963
2013,Number,F,Total,Glamoc,1897
2013,Number,Both sexes,Total,Gorazde,20897
2013,Number,M,Total,Gorazde,10163
2013,Number,F,Total,Gorazde,10734
2013,Number,Both sexes,Total,Gornji Vakuf-Uskoplje,20933
2013,Number,M,Total,Gornji Vakuf-Uskoplje,10532
2013,Number,F,Total,Gornji Vakuf-Uskoplje,10401
2013,Number,Both sexes,Total,Gracanica,45220
2013,Number,M,Total,Gracanica,21641
2013,Number,F,Total,Gracanica,23579
2013,Number,Both sexes,Total,Gradacac,39340
2013,Number,M,Total,Gradacac,19234
2013,Number,F,Total,Gradacac,20106
2013,Number,Both sexes,Total,Gradiska,51727
2013,Number,M,Total,Gradiska,25271
2013,Number,F,Total,Gradiska,26456
2013,Number,Both sexes,Total,Grude,17308
2013,Number,M,Total,Grude,8621
2013,Number,F,Total,Grude,8687
2013,Number,Both sexes,Total,Sarajevo-Hadzici,23891
2013,Number,M,Total,Sarajevo-Hadzici,11914
2013,Number,F,Total,Sarajevo-Hadzici,11977
2013,Number,Both sexes,Total,Han Pijesak,3530
2013,Number,M,Total,Han Pijesak,1667
2013,Number,F,Total,Han Pijesak,1863
2013,Number,Both sexes,Total,Sarajevo-Ilidza,66730
2013,Number,M,Total,Sarajevo-Ilidza,32359
2013,Number,F,Total,Sarajevo-Ilidza,34371
2013,Number,Both sexes,Total,Sarajevo-Ilijas,19603
2013,Number,M,Total,Sarajevo-Ilijas,9381
2013,Number,F,Total,Sarajevo-Ilijas,10222
2013,Number,Both sexes,Total,East Ilidza,14763
2013,Number,M,Total,East Ilidza,7069
2013,Number,F,Total,East Ilidza,7694
2013,Number,Both sexes,Total,East Drvar,79
2013,Number,M,Total,East Drvar,53
2013,Number,F,Total,East Drvar,26
2013,Number,Both sexes,Total,East Mostar,257
2013,Number,M,Total,East Mostar,142
2013,Number,F,Total,East Mostar,115
2013,Number,Both sexes,Total,East Stari Grad,1131
2013,Number,M,Total,East Stari Grad,560
2013,Number,F,Total,East Stari Grad,571
2013,Number,Both sexes,Total,East Novo Sarajevo,10642
