Year,UNIT_MEASURE,Type of beneficiary,Sex,Value
2015,Number,Total,Both sexes,561284
2015,Number,Total,M,280867
2015,Number,Total,F,280417
2015,Number,Minor beneficiaries,Both sexes,143552
2015,Number,Minor beneficiaries,M,74753
2015,Number,Minor beneficiaries,F,68799
2015,Number,Adult beneficiaries,Both sexes,417732
2015,Number,Adult beneficiaries,M,206114
2015,Number,Adult beneficiaries,F,211618
2016,Number,Total,Both sexes,542736
2016,Number,Total,M,268561
2016,Number,Total,F,274175
2016,Number,Minor beneficiaries,Both sexes,133504
2016,Number,Minor beneficiaries,M,70405
2016,Number,Minor beneficiaries,F,63099
2016,Number,Adult beneficiaries,Both sexes,409232
2016,Number,Adult beneficiaries,M,198156
2016,Number,Adult beneficiaries,F,211076
2017,Number,Total,Both sexes,541572
2017,Number,Total,M,280855
2017,Number,Total,F,260717
2017,Number,Minor beneficiaries,Both sexes,127682
2017,Number,Minor beneficiaries,M,67353
2017,Number,Minor beneficiaries,F,60329
2017,Number,Adult beneficiaries,Both sexes,413890
2017,Number,Adult beneficiaries,M,213502
2017,Number,Adult beneficiaries,F,200388
2018,Number,Total,Both sexes,549546
2018,Number,Total,M,283301
2018,Number,Total,F,266245
2018,Number,Minor beneficiaries,Both sexes,129673
2018,Number,Minor beneficiaries,M,69291
2018,Number,Minor beneficiaries,F,60382
2018,Number,Adult beneficiaries,Both sexes,419873
2018,Number,Adult beneficiaries,M,214010
2018,Number,Adult beneficiaries,F,205863
2019,Number,Total,Both sexes,540302
2019,Number,Total,M,279848
2019,Number,Total,F,260454
2019,Number,Minor beneficiaries,Both sexes,126324
2019,Number,Minor beneficiaries,M,67023
2019,Number,Minor beneficiaries,F,59301
2019,Number,Adult beneficiaries,Both sexes,413978
2019,Number,Adult beneficiaries,M,212825
2019,Number,Adult beneficiaries,F,201153
2020,Number,Total,Both sexes,546605
2020,Number,Total,M,279742
2020,Number,Total,F,266863
2020,Number,Minor beneficiaries,Both sexes,119875
2020,Number,Minor beneficiaries,M,64126
2020,Number,Minor beneficiaries,F,55749
2020,Number,Adult beneficiaries,Both sexes,426730
2020,Number,Adult beneficiaries,M,215616
2020,Number,Adult beneficiaries,F,211114
2021,Number,Total,Both sexes,521218
2021,Number,Total,M,265266
2021,Number,Total,F,255952
2021,Number,Minor beneficiaries,Both sexes,110813
2021,Number,Minor beneficiaries,M,58644
2021,Number,Minor beneficiaries,F,52169
2021,Number,Adult beneficiaries,Both sexes,410405
2021,Number,Adult beneficiaries,M,206622
2021,Number,Adult beneficiaries,F,203783
2022,Number,Total,Both sexes,510036
2022,Number,Total,M,255391
2022,Number,Total,F,254645
2022,Number,Minor beneficiaries,Both sexes,107850
2022,Number,Minor beneficiaries,M,56436
2022,Number,Minor beneficiaries,F,51414
2022,Number,Adult beneficiaries,Both sexes,402186
2022,Number,Adult beneficiaries,M,198955
2022,Number,Adult beneficiaries,F,203231
2023,Number,Total,Both sexes,500769
2023,Number,Total,M,248101
2023,Number,Total,F,252668
2023,Number,Minor beneficiaries,Both sexes,107256
2023,Number,Minor beneficiaries,M,56227
2023,Number,Minor beneficiaries,F,51029
2023,Number,Adult beneficiaries,Both sexes,393513
2023,Number,Adult beneficiaries,M,191874
2023,Number,Adult beneficiaries,F,201639
2024,Number,Total,Both sexes,510120
2024,Number,Total,M,256001
2024,Number,Total,F,254119
