Year,UNIT_MEASURE,Type of institution,Value
2011,Number,Both sexes,227
2012,Number,Both sexes,246
2013,Number,Both sexes,261
2014,Number,Both sexes,292
2015,Number,Both sexes,320
2016,Number,Both sexes,335
2017,Number,Both sexes,335
2018,Number,Both sexes,362
2019,Number,Both sexes,390
2020,Number,Both sexes,399
2021,Number,Both sexes,427
2022,Number,Both sexes,465
2023,Number,Both sexes,493
2024,Number,Both sexes,529
2011,Number,Public,176
2012,Number,Public,180
2013,Number,Public,180
2014,Number,Public,181
2015,Number,Public,192
2016,Number,Public,198
2017,Number,Public,200
2018,Number,Public,205
2019,Number,Public,209
2020,Number,Public,215
2021,Number,Public,227
2022,Number,Public,229
2023,Number,Public,250
2024,Number,Public,253
2011,Number,Private,51
2012,Number,Private,66
2013,Number,Private,81
2014,Number,Private,111
2015,Number,Private,128
2016,Number,Private,137
2017,Number,Private,135
2018,Number,Private,157
2019,Number,Private,181
2020,Number,Private,184
2021,Number,Private,200
2022,Number,Private,236
2023,Number,Private,243
2024,Number,Private,276
