Year,UNIT_MEASURE,Type of school,Sex,Value
2011,Number,Both sexes,Both sexes,35349
2012,Number,Both sexes,Both sexes,34791
2013,Number,Both sexes,Both sexes,40630
2014,Number,Both sexes,Both sexes,43991
2015,Number,Both sexes,Both sexes,43318
2016,Number,Both sexes,Both sexes,35897
2017,Number,Both sexes,Both sexes,31761
2018,Number,Both sexes,Both sexes,32963
2019,Number,Both sexes,Both sexes,32540
2020,Number,Both sexes,Both sexes,31140
2011,Number,Gymnasium,Both sexes,8863
2012,Number,Gymnasium,Both sexes,8101
2013,Number,Gymnasium,Both sexes,9732
2014,Number,Gymnasium,Both sexes,10855
2015,Number,Gymnasium,Both sexes,11920
2016,Number,Gymnasium,Both sexes,9210
2017,Number,Gymnasium,Both sexes,7893
2018,Number,Gymnasium,Both sexes,7799
2019,Number,Gymnasium,Both sexes,7462
2020,Number,Gymnasium,Both sexes,7010
2011,Number,Technical schools,Both sexes,17510
2012,Number,Technical schools,Both sexes,16553
2013,Number,Technical schools,Both sexes,19679
2014,Number,Technical schools,Both sexes,21299
2015,Number,Technical schools,Both sexes,21426
2016,Number,Technical schools,Both sexes,18617
2017,Number,Technical schools,Both sexes,15815
2018,Number,Technical schools,Both sexes,16988
2019,Number,Technical schools,Both sexes,17092
2020,Number,Technical schools,Both sexes,16116
2011,Number,Art schools,Both sexes,276
2012,Number,Art schools,Both sexes,293
2013,Number,Art schools,Both sexes,316
2014,Number,Art schools,Both sexes,318
2015,Number,Art schools,Both sexes,357
2016,Number,Art schools,Both sexes,288
2017,Number,Art schools,Both sexes,214
2018,Number,Art schools,Both sexes,302
2019,Number,Art schools,Both sexes,281
2020,Number,Art schools,Both sexes,241
2011,Number,Religion schools,Both sexes,447
2012,Number,Religion schools,Both sexes,356
2013,Number,Religion schools,Both sexes,460
2014,Number,Religion schools,Both sexes,517
2015,Number,Religion schools,Both sexes,602
2016,Number,Religion schools,Both sexes,503
2017,Number,Religion schools,Both sexes,476
2018,Number,Religion schools,Both sexes,530
2019,Number,Religion schools,Both sexes,553
2020,Number,Religion schools,Both sexes,518
2011,Number,Vocational schools,Both sexes,8154
2012,Number,Vocational schools,Both sexes,9386
2013,Number,Vocational schools,Both sexes,10331
2014,Number,Vocational schools,Both sexes,10806
2015,Number,Vocational schools,Both sexes,8890
2016,Number,Vocational schools,Both sexes,7161
2017,Number,Vocational schools,Both sexes,7260
2018,Number,Vocational schools,Both sexes,7224
2019,Number,Vocational schools,Both sexes,7018
2020,Number,Vocational schools,Both sexes,7149
2011,Number,High schools for children with special needs,Both sexes,99
2012,Number,High schools for children with special needs,Both sexes,102
2013,Number,High schools for children with special needs,Both sexes,112
2014,Number,High schools for children with special needs,Both sexes,196
2015,Number,High schools for children with special needs,Both sexes,123
2016,Number,High schools for children with special needs,Both sexes,118
2017,Number,High schools for children with special needs,Both sexes,103
2018,Number,High schools for children with special needs,Both sexes,120
2019,Number,High schools for children with special needs,Both sexes,134
2020,Number,High schools for children with special needs,Both sexes,106
2011,Number,Both sexes,M,18022
2012,Number,Both sexes,M,18153
2013,Number,Both sexes,M,20895
2014,Number,Both sexes,M,22589
2015,Number,Both sexes,M,22230
2016,Number,Both sexes,M,18464
2017,Number,Both sexes,M,16307
2018,Number,Both sexes,M,16580
2019,Number,Both sexes,M,16519
2020,Number,Both sexes,M,15982
2011,Number,Gymnasium,M,3246
2012,Number,Gymnasium,M,3021
2013,Number,Gymnasium,M,3642
2014,Number,Gymnasium,M,3946
2015,Number,Gymnasium,M,4428
2016,Number,Gymnasium,M,3412
2017,Number,Gymnasium,M,2895
2018,Number,Gymnasium,M,2869
2019,Number,Gymnasium,M,2819
2020,Number,Gymnasium,M,2538
2011,Number,Technical schools,M,8794
2012,Number,Technical schools,M,8333
2013,Number,Technical schools,M,9735
2014,Number,Technical schools,M,10569
