Year,UNIT_MEASURE,Age,Sex,Value
2016,Number,25 - 64,Both sexes,6.9
2016,Number,25 - 64,M,7.1
2016,Number,25 - 64,F,6.7
2016,Number,25 - 34,Both sexes,16.6
2016,Number,25 - 34,M,16.4
2016,Number,25 - 34,F,16.8
2016,Number,35 - 44,Both sexes,9.3
2016,Number,35 - 44,M,9.7
2016,Number,35 - 44,F,8.8
2016,Number,35 - 54,Both sexes,7.3
2016,Number,35 - 54,M,7.6
2016,Number,35 - 54,F,6.9
2016,Number,45 - 54,Both sexes,5.9
2016,Number,45 - 54,M,6.2
2016,Number,45 - 54,F,5.6
2016,Number,55 - 64,Both sexes,2.6
2016,Number,55 - 64,M,3.0
2016,Number,55 - 64,F,2.2
