Year,UNIT_MEASURE,Status in employment,Sex,Value
2015,%,Employees,Both sexes,75.8
2016,%,Employees,Both sexes,75.6
2017,%,Employees,Both sexes,75.4
2018,%,Employees,Both sexes,78.6
2019,%,Employees,Both sexes,75.1
2020,%,Employees,Both sexes,81.6
2015,%,Self-employed,Both sexes,20.7
2016,%,Self-employed,Both sexes,21.1
2017,%,Self-employed,Both sexes,20.6
2018,%,Self-employed,Both sexes,17.6
2019,%,Self-employed,Both sexes,21.9
2020,%,Self-employed,Both sexes,15.0
2015,%,Unpaid family workers,Both sexes,3.5
2016,%,Unpaid family workers,Both sexes,3.3
2017,%,Unpaid family workers,Both sexes,3.9
2018,%,Unpaid family workers,Both sexes,3.7
2019,%,Unpaid family workers,Both sexes,3.0
2020,%,Unpaid family workers,Both sexes,3.4
2015,%,Employees,M,74.3
2016,%,Employees,M,74.7
2017,%,Employees,M,75.6
2018,%,Employees,M,78.5
2019,%,Employees,M,75.8
2020,%,Employees,M,82.2
2015,%,Self-employed,M,23.9
2016,%,Self-employed,M,23.6
2017,%,Self-employed,M,22.6
2018,%,Self-employed,M,19.6
2019,%,Self-employed,M,22.8
2020,%,Self-employed,M,16.4
2015,%,Unpaid family workers,M,1.7
2016,%,Unpaid family workers,M,1.7
2017,%,Unpaid family workers,M,1.9
2018,%,Unpaid family workers,M,1.9
2019,%,Unpaid family workers,M,1.4
2020,%,Unpaid family workers,M,1.4
2015,%,Employees,F,78.2
2016,%,Employees,F,77.2
2017,%,Employees,F,75.2
2018,%,Employees,F,78.9
2019,%,Employees,F,74.0
2020,%,Employees,F,80.6
2015,%,Self-employed,F,15.2
2016,%,Self-employed,F,16.5
2017,%,Self-employed,F,17.4
2018,%,Self-employed,F,14.3
2019,%,Self-employed,F,20.4
2020,%,Self-employed,F,12.7
2015,%,Unpaid family workers,F,6.6
2016,%,Unpaid family workers,F,6.3
2017,%,Unpaid family workers,F,7.4
2018,%,Unpaid family workers,F,6.8
2019,%,Unpaid family workers,F,5.6
2020,%,Unpaid family workers,F,6.7
