Year,Quarter,UNIT_MEASURE,Sex,Age,Value
2021,Q1,%,Both sexes,15 - 74,19.0
2021,Q1,%,Both sexes,15 - 24,40.0
2021,Q1,%,Both sexes,25 - 49,17.0
2021,Q1,%,Both sexes,50 - 64,15.0
2021,Q1,%,Both sexes,65+,21.0
2021,Q1,%,Both sexes,15 - 64,19.0
2021,Q1,%,Both sexes,20 - 64,19.0
2021,Q1,%,Both sexes,25 - 34,22.0
2021,Q1,%,Both sexes,15 - 74,19.0
2021,Q1,%,Both sexes,65 - 74,21.0
2021,Q1,%,M,15 - 74,16.0
2021,Q1,%,M,15 - 24,36.0
2021,Q1,%,M,25 - 49,13.0
2021,Q1,%,M,50 - 64,13.0
2021,Q1,%,M,65+,18.0
2021,Q1,%,M,15 - 64,16.0
2021,Q1,%,M,20 - 64,15.0
2021,Q1,%,M,25 - 34,17.0
2021,Q1,%,M,15 - 74,16.0
2021,Q1,%,M,65 - 74,18.0
2021,Q1,%,F,15 - 74,25.0
2021,Q1,%,F,15 - 24,48.0
2021,Q1,%,F,25 - 49,23.0
2021,Q1,%,F,50 - 64,19.0
2021,Q1,%,F,65+,25.0
2021,Q1,%,F,15 - 64,25.0
2021,Q1,%,F,20 - 64,24.0
2021,Q1,%,F,25 - 34,29.0
2021,Q1,%,F,15 - 74,25.0
2021,Q1,%,F,65 - 74,25.0
2021,Q2,%,Both sexes,15 - 74,18.0
2021,Q2,%,Both sexes,15 - 24,40.0
2021,Q2,%,Both sexes,25 - 49,17.0
2021,Q2,%,Both sexes,50 - 64,13.0
2021,Q2,%,Both sexes,15 - 64,18.0
2021,Q2,%,Both sexes,20 - 64,18.0
2021,Q2,%,Both sexes,25 - 34,22.0
2021,Q2,%,Both sexes,15 - 74,18.0
2021,Q2,%,M,15 - 74,15.0
2021,Q2,%,M,15 - 24,36.0
2021,Q2,%,M,25 - 49,14.0
2021,Q2,%,M,50 - 64,12.0
2021,Q2,%,M,15 - 64,15.0
2021,Q2,%,M,20 - 64,15.0
2021,Q2,%,M,25 - 34,18.0
2021,Q2,%,M,15 - 74,15.0
2021,Q2,%,F,15 - 74,23.0
2021,Q2,%,F,15 - 24,47.0
2021,Q2,%,F,25 - 49,23.0
2021,Q2,%,F,50 - 64,13.0
2021,Q2,%,F,15 - 64,23.0
2021,Q2,%,F,20 - 64,23.0
2021,Q2,%,F,25 - 34,28.0
2021,Q2,%,F,15 - 74,23.0
2021,Q3,%,Both sexes,15 - 74,16.0
2021,Q3,%,Both sexes,15 - 24,38.0
2021,Q3,%,Both sexes,25 - 49,16.0
2021,Q3,%,Both sexes,50 - 64,11.0
2021,Q3,%,Both sexes,15 - 64,17.0
2021,Q3,%,Both sexes,20 - 64,16.0
2021,Q3,%,Both sexes,25 - 34,19.0
2021,Q3,%,Both sexes,15 - 74,16.0
2021,Q3,%,M,15 - 74,14.0
2021,Q3,%,M,15 - 24,33.0
2021,Q3,%,M,25 - 49,13.0
2021,Q3,%,M,50 - 64,9.0
2021,Q3,%,M,15 - 64,14.0
2021,Q3,%,M,20 - 64,13.0
2021,Q3,%,M,25 - 34,17.0
2021,Q3,%,M,15 - 74,14.0
