Year,Value,UNIT_MEASURE
1997,6752,BAM
1998,7650,BAM
1999,8604,BAM
2000,9611,BAM
2001,10480,BAM
2002,11651,BAM
2003,12303,BAM
2004,13497,BAM
2005,17649,BAM
2006,20056,BAM
2007,22548,BAM
2008,25519,BAM
2009,24799,BAM
2010,25365,BAM
2011,26231,BAM
2012,26223,BAM
2013,26779,BAM
2014,27358,BAM
2015,28929,BAM
2016,30265,BAM
2017,31803,BAM
2018,33942,BAM
2019,35785,BAM
2020,34727,BAM
2021,39145,BAM
2022,45618,BAM
2023,49920,BAM
1997,3424,EUR
1998,3879,EUR
1999,4399,EUR
2000,4914,EUR
2001,5358,EUR
2002,5957,EUR
2003,6291,EUR
2004,6901,EUR
2005,9025,EUR
2006,10255,EUR
2007,11529,EUR
2008,13048,EUR
2009,12679,EUR
2010,12969,EUR
2011,13412,EUR
2012,13408,EUR
2013,13692,EUR
2014,13989,EUR
2015,14791,EUR
2016,15475,EUR
2017,16261,EUR
2018,17354,EUR
2019,18297,EUR
2020,17756,EUR
2021,20015,EUR
2022,23324,EUR
2023,25524,EUR
1997,3894,USD
1998,4343,USD
1999,4691,USD
2000,4536,USD
2001,4795,USD
2002,5610,USD
2003,7097,USD
2004,8567,USD
2005,11221,USD
2006,12865,USD
2007,15773,USD
2008,19093,USD
2009,17628,USD
2010,17174,USD
2011,18655,USD
2012,17222,USD
2013,18173,USD
2014,18566,USD
2015,16413,USD
2016,17118,USD
2017,18325,USD
2018,20478,USD
2019,20481,USD
2020,20230,USD
2021,23669,USD
2022,24523,USD
2023,27594,USD
