Year,UNIT_MEASURE,Vrsta ustanove,Spol,Value
2015,Broj,Oba spola,Oba spola,7871
2015,Broj,Oba spola,M,3645
2015,Broj,Oba spola,Ž,4226
2015,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,997
2015,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,527
2015,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,470
2015,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,1742
2015,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1041
2015,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,701
2015,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,282
2015,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,201
2015,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,81
2015,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,4850
2015,Broj,Ustanove socijalne skrbi za odrasle,M,1876
2015,Broj,Ustanove socijalne skrbi za odrasle,Ž,2974
2016,Broj,Oba spola,Oba spola,9249
2016,Broj,Oba spola,M,4455
2016,Broj,Oba spola,Ž,4794
2016,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,970
2016,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,487
2016,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,483
2016,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2742
2016,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1668
2016,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1074
2016,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,213
2016,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,141
2016,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,72
2016,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,5324
2016,Broj,Ustanove socijalne skrbi za odrasle,M,2159
2016,Broj,Ustanove socijalne skrbi za odrasle,Ž,3165
2017,Broj,Oba spola,Oba spola,9800
2017,Broj,Oba spola,M,4489
2017,Broj,Oba spola,Ž,5311
2017,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,1070
2017,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,538
2017,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,532
2017,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2748
2017,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1643
2017,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1105
2017,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,204
2017,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,121
2017,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,83
2017,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,5778
2017,Broj,Ustanove socijalne skrbi za odrasle,M,2187
2017,Broj,Ustanove socijalne skrbi za odrasle,Ž,3591
2018,Broj,Oba spola,Oba spola,10232
2018,Broj,Oba spola,M,4710
2018,Broj,Oba spola,Ž,5522
2018,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,965
2018,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,476
2018,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,489
2018,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2776
2018,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1682
2018,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1094
2018,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,207
2018,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,116
2018,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,91
2018,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,6284
2018,Broj,Ustanove socijalne skrbi za odrasle,M,2436
2018,Broj,Ustanove socijalne skrbi za odrasle,Ž,3848
2019,Broj,Oba spola,Oba spola,11443
2019,Broj,Oba spola,M,4968
2019,Broj,Oba spola,Ž,6475
2019,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,1121
2019,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,607
2019,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,514
2019,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2586
2019,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1538
2019,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,1048
2019,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,283
2019,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,168
2019,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,115
2019,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,7453
2019,Broj,Ustanove socijalne skrbi za odrasle,M,2655
2019,Broj,Ustanove socijalne skrbi za odrasle,Ž,4798
2020,Broj,Oba spola,Oba spola,10902
2020,Broj,Oba spola,M,4687
2020,Broj,Oba spola,Ž,6215
2020,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Oba spola,1103
2020,Broj,Domovi za djecu i mlade bez roditeljske skrbi,M,590
2020,Broj,Domovi za djecu i mlade bez roditeljske skrbi,Ž,513
2020,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2434
2020,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1448
2020,Broj,"Ustanove socijalne skrbi za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,986
2020,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Oba spola,282
2020,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,M,182
2020,Broj,Ustanove socijalne skrbi za odrasle osobe s invaliditetom,Ž,100
2020,Broj,Ustanove socijalne skrbi za odrasle,Oba spola,7083
2020,Broj,Ustanove socijalne skrbi za odrasle,M,2467
2020,Broj,Ustanove socijalne skrbi za odrasle,Ž,4616
