Year,UNIT_MEASURE,Vrsta ustanove,Value
2011,Broj,Oba spola,227
2012,Broj,Oba spola,246
2013,Broj,Oba spola,261
2014,Broj,Oba spola,292
2015,Broj,Oba spola,320
2016,Broj,Oba spola,335
2017,Broj,Oba spola,335
2018,Broj,Oba spola,362
2019,Broj,Oba spola,390
2020,Broj,Oba spola,399
2021,Broj,Oba spola,427
2022,Broj,Oba spola,465
2023,Broj,Oba spola,493
2024,Broj,Oba spola,529
2011,Broj,Javna,176
2012,Broj,Javna,180
2013,Broj,Javna,180
2014,Broj,Javna,181
2015,Broj,Javna,192
2016,Broj,Javna,198
2017,Broj,Javna,200
2018,Broj,Javna,205
2019,Broj,Javna,209
2020,Broj,Javna,215
2021,Broj,Javna,227
2022,Broj,Javna,229
2023,Broj,Javna,250
2024,Broj,Javna,253
2011,Broj,Privatna,51
2012,Broj,Privatna,66
2013,Broj,Privatna,81
2014,Broj,Privatna,111
2015,Broj,Privatna,128
2016,Broj,Privatna,137
2017,Broj,Privatna,135
2018,Broj,Privatna,157
2019,Broj,Privatna,181
2020,Broj,Privatna,184
2021,Broj,Privatna,200
2022,Broj,Privatna,236
2023,Broj,Privatna,243
2024,Broj,Privatna,276
