Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,3366
2014,Broj,Obrazovanje,Oba spola,432
2014,Broj,Umjetnost i humanističke znanosti,Oba spola,296
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,635
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,538
2014,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,132
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,126
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,505
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,205
2014,Broj,Zdravstvo i socijalna skrb,Oba spola,337
2014,Broj,Usluge,Oba spola,114
2014,Broj,Nepoznato,Oba spola,46
2014,Broj,Ukupno,M,1330
2014,Broj,Obrazovanje,M,125
2014,Broj,Umjetnost i humanističke znanosti,M,73
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",M,261
2014,Broj,"Poslovanje, administracija i pravo",M,200
2014,Broj,"Prirodne znanosti, matematika i statistika",M,58
2014,Broj,Informacijske i komunikacijske tehnologije,M,72
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,289
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,85
2014,Broj,Zdravstvo i socijalna skrb,M,83
2014,Broj,Usluge,M,71
2014,Broj,Nepoznato,M,13
2014,Broj,Ukupno,Ž,2036
2014,Broj,Obrazovanje,Ž,307
2014,Broj,Umjetnost i humanističke znanosti,Ž,223
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,374
2014,Broj,"Poslovanje, administracija i pravo",Ž,338
2014,Broj,"Prirodne znanosti, matematika i statistika",Ž,74
2014,Broj,Informacijske i komunikacijske tehnologije,Ž,54
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,216
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,120
2014,Broj,Zdravstvo i socijalna skrb,Ž,254
2014,Broj,Usluge,Ž,43
2014,Broj,Nepoznato,Ž,33
2015,Broj,Ukupno,Oba spola,3636
2015,Broj,Obrazovanje,Oba spola,388
2015,Broj,Umjetnost i humanističke znanosti,Oba spola,338
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,397
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,658
2015,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,294
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,99
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,572
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,212
2015,Broj,Zdravstvo i socijalna skrb,Oba spola,422
2015,Broj,Usluge,Oba spola,189
2015,Broj,Nepoznato,Oba spola,67
2015,Broj,Ukupno,M,1468
2015,Broj,Obrazovanje,M,88
2015,Broj,Umjetnost i humanističke znanosti,M,102
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",M,172
2015,Broj,"Poslovanje, administracija i pravo",M,244
2015,Broj,"Prirodne znanosti, matematika i statistika",M,83
2015,Broj,Informacijske i komunikacijske tehnologije,M,67
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,357
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,95
2015,Broj,Zdravstvo i socijalna skrb,M,105
2015,Broj,Usluge,M,113
2015,Broj,Nepoznato,M,42
2015,Broj,Ukupno,Ž,2168
2015,Broj,Obrazovanje,Ž,300
2015,Broj,Umjetnost i humanističke znanosti,Ž,236
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,225
2015,Broj,"Poslovanje, administracija i pravo",Ž,414
2015,Broj,"Prirodne znanosti, matematika i statistika",Ž,211
2015,Broj,Informacijske i komunikacijske tehnologije,Ž,32
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,215
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,117
2015,Broj,Zdravstvo i socijalna skrb,Ž,317
2015,Broj,Usluge,Ž,76
2015,Broj,Nepoznato,Ž,25
2016,Broj,Ukupno,Oba spola,3836
2016,Broj,Obrazovanje,Oba spola,391
2016,Broj,Umjetnost i humanističke znanosti,Oba spola,342
2016,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,706
