Year,UNIT_MEASURE,Spol,Value
2014,Broj,Oba spola,717
2015,Broj,Oba spola,846
2016,Broj,Oba spola,913
2017,Broj,Oba spola,856
2018,Broj,Oba spola,981
2019,Broj,Oba spola,1022
2020,Broj,Oba spola,1208
2021,Broj,Oba spola,1297
2022,Broj,Oba spola,1263
2023,Broj,Oba spola,1313
2014,Broj,M,396
2015,Broj,M,491
2016,Broj,M,486
2017,Broj,M,482
2018,Broj,M,508
2019,Broj,M,492
2020,Broj,M,606
2021,Broj,M,614
2022,Broj,M,589
2023,Broj,M,605
2014,Broj,Ž,321
2015,Broj,Ž,355
2016,Broj,Ž,427
2017,Broj,Ž,374
2018,Broj,Ž,473
2019,Broj,Ž,530
2020,Broj,Ž,602
2021,Broj,Ž,683
2022,Broj,Ž,674
2023,Broj,Ž,708
