Year,Spol,UNIT_MEASURE,Najviši dostignuti stupanj obrazovanja,Value
2013,Oba spola,Broj,Neobrazovan,146078
2013,Oba spola,Broj,Nezavršeno osnovno obrazovanje,274036
2013,Oba spola,Broj,Osnovna škola,640726
2013,Oba spola,Broj,Secondary_school,1525161
2013,Oba spola,Broj,Specijalizacija nakon završene srednje škole,21613
2013,Oba spola,Broj,Srednja škola i prva godina fakulteta,94204
2013,Oba spola,Broj,Napredne škole/fakultet/akademija/univerzitet,285622
2013,M,Broj,Neobrazovan,24021
2013,M,Broj,Nezavršeno osnovno obrazovanje,83216
2013,M,Broj,Osnovna škola,274258
2013,M,Broj,Secondary_school,864823
2013,M,Broj,Specijalizacija nakon završene srednje škole,17877
2013,M,Broj,Srednja škola i prva godina fakulteta,51556
2013,M,Broj,Napredne škole/fakultet/akademija/univerzitet,137543
2013,Ž,Broj,Neobrazovan,122057
2013,Ž,Broj,Nezavršeno osnovno obrazovanje,190820
2013,Ž,Broj,Osnovna škola,366468
2013,Ž,Broj,Secondary_school,660338
2013,Ž,Broj,Specijalizacija nakon završene srednje škole,3736
2013,Ž,Broj,Srednja škola i prva godina fakulteta,42648
2013,Ž,Broj,Napredne škole/fakultet/akademija/univerzitet,148079
