Year,Vrsta invaliditeta,Spol,Starosna dob,UNIT_MEASURE,Value
2013,Poteškoće sa vidom,Oba spola,0-14,Broj,1084
2013,Poteškoće sa sluhom,Oba spola,0-14,Broj,262
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,0-14,Broj,671
2013,Poteškoće sa pamćenjem,Oba spola,0-14,Broj,200
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,0-14,Broj,164
2013,Poteškoće sa komunikacijom,Oba spola,0-14,Broj,318
2013,Višestruke poteškoće,Oba spola,0-14,Broj,1826
2013,Poteškoće sa vidom,Oba spola,15-19,Broj,862
2013,Poteškoće sa sluhom,Oba spola,15-19,Broj,191
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,15-19,Broj,478
2013,Poteškoće sa pamćenjem,Oba spola,15-19,Broj,129
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,15-19,Broj,32
2013,Poteškoće sa komunikacijom,Oba spola,15-19,Broj,112
2013,Višestruke poteškoće,Oba spola,15-19,Broj,1082
2013,Poteškoće sa vidom,Oba spola,20-29,Broj,1819
2013,Poteškoće sa sluhom,Oba spola,20-29,Broj,370
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,20-29,Broj,1350
2013,Poteškoće sa pamćenjem,Oba spola,20-29,Broj,380
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,20-29,Broj,72
2013,Poteškoće sa komunikacijom,Oba spola,20-29,Broj,208
2013,Višestruke poteškoće,Oba spola,20-29,Broj,2199
2013,Poteškoće sa vidom,Oba spola,30-49,Broj,7841
2013,Poteškoće sa sluhom,Oba spola,30-49,Broj,2460
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,30-49,Broj,15862
2013,Poteškoće sa pamćenjem,Oba spola,30-49,Broj,2337
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,30-49,Broj,319
2013,Poteškoće sa komunikacijom,Oba spola,30-49,Broj,683
2013,Višestruke poteškoće,Oba spola,30-49,Broj,10694
2013,Poteškoće sa vidom,Oba spola,50-59,Broj,12870
2013,Poteškoće sa sluhom,Oba spola,50-59,Broj,3498
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,50-59,Broj,21484
2013,Poteškoće sa pamćenjem,Oba spola,50-59,Broj,2035
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,50-59,Broj,259
2013,Poteškoće sa komunikacijom,Oba spola,50-59,Broj,488
2013,Višestruke poteškoće,Oba spola,50-59,Broj,16861
2013,Poteškoće sa vidom,Oba spola,60-64,Broj,7189
2013,Poteškoće sa sluhom,Oba spola,60-64,Broj,2289
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,60-64,Broj,12727
2013,Poteškoće sa pamćenjem,Oba spola,60-64,Broj,870
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,60-64,Broj,100
2013,Poteškoće sa komunikacijom,Oba spola,60-64,Broj,259
2013,Višestruke poteškoće,Oba spola,60-64,Broj,11125
2013,Poteškoće sa vidom,Oba spola,60-64,Broj,20636
2013,Poteškoće sa sluhom,Oba spola,60-64,Broj,12505
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,60-64,Broj,44406
2013,Poteškoće sa pamćenjem,Oba spola,60-64,Broj,2836
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,60-64,Broj,587
2013,Poteškoće sa komunikacijom,Oba spola,60-64,Broj,586
2013,Višestruke poteškoće,Oba spola,60-64,Broj,66443
2013,Poteškoće sa vidom,Oba spola,65+,Broj,20636
2013,Poteškoće sa sluhom,Oba spola,65+,Broj,12505
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Oba spola,65+,Broj,44406
2013,Poteškoće sa pamćenjem,Oba spola,65+,Broj,2836
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Oba spola,65+,Broj,587
2013,Poteškoće sa komunikacijom,Oba spola,65+,Broj,586
2013,Višestruke poteškoće,Oba spola,65+,Broj,66443
2013,Poteškoće sa vidom,M,0-14,Broj,571
2013,Poteškoće sa sluhom,M,0-14,Broj,146
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,0-14,Broj,370
2013,Poteškoće sa pamćenjem,M,0-14,Broj,123
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,0-14,Broj,104
2013,Poteškoće sa komunikacijom,M,0-14,Broj,215
2013,Višestruke poteškoće,M,0-14,Broj,1077
2013,Poteškoće sa vidom,M,15-19,Broj,430
2013,Poteškoće sa sluhom,M,15-19,Broj,101
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,15-19,Broj,268
2013,Poteškoće sa pamćenjem,M,15-19,Broj,95
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,15-19,Broj,19
2013,Poteškoće sa komunikacijom,M,15-19,Broj,75
2013,Višestruke poteškoće,M,15-19,Broj,653
2013,Poteškoće sa vidom,M,20-29,Broj,976
2013,Poteškoće sa sluhom,M,20-29,Broj,223
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,20-29,Broj,883
2013,Poteškoće sa pamćenjem,M,20-29,Broj,256
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,20-29,Broj,44
2013,Poteškoće sa komunikacijom,M,20-29,Broj,133
2013,Višestruke poteškoće,M,20-29,Broj,1306
2013,Poteškoće sa vidom,M,30-49,Broj,4313
2013,Poteškoće sa sluhom,M,30-49,Broj,1722
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,30-49,Broj,10912
2013,Poteškoće sa pamćenjem,M,30-49,Broj,1488
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,30-49,Broj,216
2013,Poteškoće sa komunikacijom,M,30-49,Broj,442
2013,Višestruke poteškoće,M,30-49,Broj,6669
2013,Poteškoće sa vidom,M,50-59,Broj,6088
2013,Poteškoće sa sluhom,M,50-59,Broj,2282
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,50-59,Broj,11557
2013,Poteškoće sa pamćenjem,M,50-59,Broj,1170
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,50-59,Broj,179
2013,Poteškoće sa komunikacijom,M,50-59,Broj,338
2013,Višestruke poteškoće,M,50-59,Broj,9039
2013,Poteškoće sa vidom,M,60-64,Broj,3155
2013,Poteškoće sa sluhom,M,60-64,Broj,1432
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,60-64,Broj,5672
2013,Poteškoće sa pamćenjem,M,60-64,Broj,440
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,60-64,Broj,57
