Year,UNIT_MEASURE,Vrsta korisnika,Spol,Value
2015,Broj,Ukupno,Oba spola,561284
2015,Broj,Ukupno,M,280867
2015,Broj,Ukupno,Ž,280417
2015,Broj,Malodobni korisnici,Oba spola,143552
2015,Broj,Malodobni korisnici,M,74753
2015,Broj,Malodobni korisnici,Ž,68799
2015,Broj,Odrasli korisnici,Oba spola,417732
2015,Broj,Odrasli korisnici,M,206114
2015,Broj,Odrasli korisnici,Ž,211618
2016,Broj,Ukupno,Oba spola,542736
2016,Broj,Ukupno,M,268561
2016,Broj,Ukupno,Ž,274175
2016,Broj,Malodobni korisnici,Oba spola,133504
2016,Broj,Malodobni korisnici,M,70405
2016,Broj,Malodobni korisnici,Ž,63099
2016,Broj,Odrasli korisnici,Oba spola,409232
2016,Broj,Odrasli korisnici,M,198156
2016,Broj,Odrasli korisnici,Ž,211076
2017,Broj,Ukupno,Oba spola,541572
2017,Broj,Ukupno,M,280855
2017,Broj,Ukupno,Ž,260717
2017,Broj,Malodobni korisnici,Oba spola,127682
2017,Broj,Malodobni korisnici,M,67353
2017,Broj,Malodobni korisnici,Ž,60329
2017,Broj,Odrasli korisnici,Oba spola,413890
2017,Broj,Odrasli korisnici,M,213502
2017,Broj,Odrasli korisnici,Ž,200388
2018,Broj,Ukupno,Oba spola,549546
2018,Broj,Ukupno,M,283301
2018,Broj,Ukupno,Ž,266245
2018,Broj,Malodobni korisnici,Oba spola,129673
2018,Broj,Malodobni korisnici,M,69291
2018,Broj,Malodobni korisnici,Ž,60382
2018,Broj,Odrasli korisnici,Oba spola,419873
2018,Broj,Odrasli korisnici,M,214010
2018,Broj,Odrasli korisnici,Ž,205863
2019,Broj,Ukupno,Oba spola,540302
2019,Broj,Ukupno,M,279848
2019,Broj,Ukupno,Ž,260454
2019,Broj,Malodobni korisnici,Oba spola,126324
2019,Broj,Malodobni korisnici,M,67023
2019,Broj,Malodobni korisnici,Ž,59301
2019,Broj,Odrasli korisnici,Oba spola,413978
2019,Broj,Odrasli korisnici,M,212825
2019,Broj,Odrasli korisnici,Ž,201153
2020,Broj,Ukupno,Oba spola,546605
2020,Broj,Ukupno,M,279742
2020,Broj,Ukupno,Ž,266863
2020,Broj,Malodobni korisnici,Oba spola,119875
2020,Broj,Malodobni korisnici,M,64126
2020,Broj,Malodobni korisnici,Ž,55749
2020,Broj,Odrasli korisnici,Oba spola,426730
2020,Broj,Odrasli korisnici,M,215616
2020,Broj,Odrasli korisnici,Ž,211114
2021,Broj,Ukupno,Oba spola,521218
2021,Broj,Ukupno,M,265266
2021,Broj,Ukupno,Ž,255952
2021,Broj,Malodobni korisnici,Oba spola,110813
2021,Broj,Malodobni korisnici,M,58644
2021,Broj,Malodobni korisnici,Ž,52169
2021,Broj,Odrasli korisnici,Oba spola,410405
2021,Broj,Odrasli korisnici,M,206622
2021,Broj,Odrasli korisnici,Ž,203783
2022,Broj,Ukupno,Oba spola,510036
2022,Broj,Ukupno,M,255391
2022,Broj,Ukupno,Ž,254645
2022,Broj,Malodobni korisnici,Oba spola,107850
2022,Broj,Malodobni korisnici,M,56436
2022,Broj,Malodobni korisnici,Ž,51414
2022,Broj,Odrasli korisnici,Oba spola,402186
2022,Broj,Odrasli korisnici,M,198955
2022,Broj,Odrasli korisnici,Ž,203231
2023,Broj,Ukupno,Oba spola,500769
2023,Broj,Ukupno,M,248101
2023,Broj,Ukupno,Ž,252668
2023,Broj,Malodobni korisnici,Oba spola,107256
2023,Broj,Malodobni korisnici,M,56227
2023,Broj,Malodobni korisnici,Ž,51029
2023,Broj,Odrasli korisnici,Oba spola,393513
2023,Broj,Odrasli korisnici,M,191874
2023,Broj,Odrasli korisnici,Ž,201639
2024,Broj,Ukupno,Oba spola,510120
2024,Broj,Ukupno,M,256001
2024,Broj,Ukupno,Ž,254119
2024,Broj,Malodobni korisnici,Oba spola,110585
2024,Broj,Malodobni korisnici,M,58474
2024,Broj,Malodobni korisnici,Ž,52111
2024,Broj,Odrasli korisnici,Oba spola,399535
2024,Broj,Odrasli korisnici,M,197527
2024,Broj,Odrasli korisnici,Ž,202008
