Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,2030
2012,Broj,Oba spola,2633
2013,Broj,Oba spola,3380
2014,Broj,Oba spola,3366
2015,Broj,Oba spola,3636
2016,Broj,Oba spola,3836
2017,Broj,Oba spola,3712
2018,Broj,Oba spola,3336
2019,Broj,Oba spola,3388
2020,Broj,Oba spola,3158
2011,Broj,M,834
2012,Broj,M,1090
2013,Broj,M,1385
2014,Broj,M,1330
2015,Broj,M,1468
2016,Broj,M,1497
2017,Broj,M,1426
2018,Broj,M,1284
2019,Broj,M,1268
2020,Broj,M,1118
2011,Broj,Ž,1196
2012,Broj,Ž,1543
2013,Broj,Ž,1995
2014,Broj,Ž,2036
2015,Broj,Ž,2168
2016,Broj,Ž,2339
2017,Broj,Ž,2286
2018,Broj,Ž,2052
2019,Broj,Ž,2120
2020,Broj,Ž,2040
