Year,UNIT_MEASURE,Vrsta ustanove,Value
2011,Broj,Oba spola,1
2012,Broj,Oba spola,1
2013,Broj,Oba spola,1
2014,Broj,Oba spola,1
2015,Broj,Oba spola,1
2016,Broj,Oba spola,1
2017,Broj,Oba spola,1
2018,Broj,Oba spola,1
2019,Broj,Oba spola,1
2020,Broj,Oba spola,1
2011,Broj,Javna,1
2012,Broj,Javna,1
2013,Broj,Javna,1
2014,Broj,Javna,1
2015,Broj,Javna,1
2016,Broj,Javna,1
2017,Broj,Javna,1
2018,Broj,publicv,1
2019,Broj,Javna,1
2020,Broj,Javna,1
2011,Broj,Privatna,1
2012,Broj,Privatna,1
2013,Broj,Privatna,1
2014,Broj,Privatna,1
2015,Broj,Privatna,1
2016,Broj,Privatna,1
2017,Broj,Privatna,1
2018,Broj,Privatna,1
2019,Broj,Privatna,1
2020,Broj,Privatna,1
