Year,Kvartal,UNIT_MEASURE,Spol,Starosna dob,Value
2021,I kvartal,%,Oba spola,15 - 89,47.4
2021,I kvartal,%,Oba spola,15 - 24,32.8
2021,I kvartal,%,Oba spola,25 - 49,74.9
2021,I kvartal,%,Oba spola,50 - 64,45.7
2021,I kvartal,%,Oba spola,65+,4.1
2021,I kvartal,%,Oba spola,15 - 64,58.3
2021,I kvartal,%,Oba spola,20 - 64,62.5
2021,I kvartal,%,Oba spola,25 - 34,74.5
2021,I kvartal,%,Oba spola,15 - 74,51.0
2021,I kvartal,%,Oba spola,65 - 74,5.4
2021,I kvartal,%,M,15 - 89,59.2
2021,I kvartal,%,M,15 - 24,40.2
2021,I kvartal,%,M,25 - 49,87.6
2021,I kvartal,%,M,50 - 64,60.1
2021,I kvartal,%,M,65+,5.3
2021,I kvartal,%,M,15 - 64,70.7
2021,I kvartal,%,M,20 - 64,75.8
2021,I kvartal,%,M,25 - 34,87.2
2021,I kvartal,%,M,15 - 74,62.7
2021,I kvartal,%,M,65 - 74,6.5
2021,I kvartal,%,Ž,15 - 89,36.2
2021,I kvartal,%,Ž,15 - 24,24.9
2021,I kvartal,%,Ž,25 - 49,61.7
2021,I kvartal,%,Ž,50 - 64,32.2
2021,I kvartal,%,Ž,65+,3.2
2021,I kvartal,%,Ž,15 - 64,45.8
2021,I kvartal,%,Ž,20 - 64,49.1
2021,I kvartal,%,Ž,25 - 34,61.0
2021,I kvartal,%,Ž,15 - 74,39.5
2021,I kvartal,%,Ž,65 - 74,4.5
2021,II kvartal,%,Oba spola,15 - 89,47.7
2021,II kvartal,%,Oba spola,15 - 24,32.0
2021,II kvartal,%,Oba spola,25 - 49,75.7
2021,II kvartal,%,Oba spola,50 - 64,46.0
2021,II kvartal,%,Oba spola,65+,4.2
2021,II kvartal,%,Oba spola,15 - 64,58.7
2021,II kvartal,%,Oba spola,20 - 64,63.0
2021,II kvartal,%,Oba spola,25 - 34,74.3
2021,II kvartal,%,Oba spola,15 - 74,51.3
2021,II kvartal,%,Oba spola,65 - 74,5.4
2021,II kvartal,%,M,15 - 89,59.2
