Year,UNIT_MEASURE,Пол,Старосна доб,Oпштина,Value
2013,Број,Оба пола,Total,Бања Лука,185042
2013,Број,M,Total,Бања Лука,89148
2013,Број,Ж,Total,Бања Лука,95894
2013,Број,Оба пола,Total,Бановићи,22773
2013,Број,M,Total,Бановићи,11392
2013,Број,Ж,Total,Бановићи,11381
2013,Број,Оба пола,Total,Берковићи,2114
2013,Број,M,Total,Берковићи,1059
2013,Број,Ж,Total,Берковићи,1055
2013,Број,Оба пола,Total,Бихаћ,56261
2013,Број,M,Total,Бихаћ,27041
2013,Број,Ж,Total,Бихаћ,29220
2013,Број,Оба пола,Total,Бијељина,107715
2013,Број,M,Total,Бијељина,52827
2013,Број,Ж,Total,Бијељина,54888
2013,Број,Оба пола,Total,Билећа,10807
2013,Број,M,Total,Билећа,5454
2013,Број,Ж,Total,Билећа,5353
2013,Број,Оба пола,Total,Босанска Крупа,25545
2013,Број,M,Total,Босанска Крупа,12548
2013,Број,Ж,Total,Босанска Крупа,12997
2013,Број,Оба пола,Total,Босански Петровац,7328
2013,Број,M,Total,Босански Петровац,3678
2013,Број,Ж,Total,Босански Петровац,3650
2013,Број,Оба пола,Total,Босанско Грахово,2449
2013,Број,M,Total,Босанско Грахово,1287
2013,Број,Ж,Total,Босанско Грахово,1162
2013,Број,Оба пола,Total,Братунац,20340
2013,Број,M,Total,Братунац,10091
2013,Број,Ж,Total,Братунац,10249
2013,Број,Оба пола,Total,Брчко,83516
2013,Број,M,Total,Брчко,41250
2013,Број,Ж,Total,Брчко,42266
2013,Број,Оба пола,Total,Бреза,14168
2013,Број,M,Total,Бреза,6952
2013,Број,Ж,Total,Бреза,7216
2013,Број,Оба пола,Total,Брод,16619
2013,Број,M,Total,Брод,8143
2013,Број,Ж,Total,Брод,8476
2013,Број,Оба пола,Total,Бугојно,31470
2013,Број,M,Total,Бугојно,15635
2013,Број,Ж,Total,Бугојно,15835
2013,Број,Оба пола,Total,Бусовача,17910
2013,Број,M,Total,Бусовача,9134
2013,Број,Ж,Total,Бусовача,8776
2013,Број,Оба пола,Total,Бужим,19340
2013,Број,M,Total,Бужим,9885
2013,Број,Ж,Total,Бужим,9455
2013,Број,Оба пола,Total,Цазин,66149
2013,Број,M,Total,Цазин,33072
2013,Број,Ж,Total,Цазин,33077
2013,Број,Оба пола,Total,Сарајево-Центар,55181
2013,Број,M,Total,Сарајево-Центар,25369
2013,Број,Ж,Total,Сарајево-Центар,29812
2013,Број,Оба пола,Total,Чајниче,4895
2013,Број,M,Total,Чајниче,2474
2013,Број,Ж,Total,Чајниче,2421
2013,Број,Оба пола,Total,Чапљина,26157
2013,Број,M,Total,Чапљина,12947
2013,Број,Ж,Total,Чапљина,13210
2013,Број,Оба пола,Total,Челић,10502
2013,Број,M,Total,Челић,5256
2013,Број,Ж,Total,Челић,5246
2013,Број,Оба пола,Total,Челинац,15548
2013,Број,M,Total,Челинац,7728
2013,Број,Ж,Total,Челинац,7820
2013,Број,Оба пола,Total,Читлук,18140
2013,Број,M,Total,Читлук,8937
2013,Број,Ж,Total,Читлук,9203
2013,Број,Оба пола,Total,Дервента,27404
2013,Број,M,Total,Дервента,13397
2013,Број,Ж,Total,Дервента,14007
2013,Број,Оба пола,Total,Добој,71441
2013,Број,M,Total,Добој,34916
2013,Број,Ж,Total,Добој,36525
2013,Број,Оба пола,Total,Добој-Исток,10248
2013,Број,M,Total,Добој-Исток,5061
2013,Број,Ж,Total,Добој-Исток,5187
2013,Број,Оба пола,Total,Добој-Југ,4137
2013,Број,M,Total,Добој-Југ,2065
2013,Број,Ж,Total,Добој-Југ,2072
2013,Број,Оба пола,Total,Добретићи,1629
2013,Број,M,Total,Добретићи,905
2013,Број,Ж,Total,Добретићи,724
2013,Број,Оба пола,Total,Домаљевац-Шамац,4771
2013,Број,M,Total,Домаљевац-Шамац,2373
2013,Број,Ж,Total,Домаљевац-Шамац,2398
2013,Број,Оба пола,Total,Доњи Вакуф,13985
2013,Број,M,Total,Доњи Вакуф,6922
2013,Број,Ж,Total,Доњи Вакуф,7063
2013,Број,Оба пола,Total,Доњи Жабар,3809
2013,Број,M,Total,Доњи Жабар,1920
2013,Број,Ж,Total,Доњи Жабар,1889
2013,Број,Оба пола,Total,Дрвар,7036
2013,Број,M,Total,Дрвар,3473
2013,Број,Ж,Total,Дрвар,3563
2013,Број,Оба пола,Total,Фоча-ФБиХ,1933
2013,Број,M,Total,Фоча-ФБиХ,998
2013,Број,Ж,Total,Фоча-ФБиХ,935
2013,Број,Оба пола,Total,Фоча-РС,18288
2013,Број,M,Total,Фоча-РС,9236
2013,Број,Ж,Total,Фоча-РС,9052
2013,Број,Оба пола,Total,Фојница,12356
2013,Број,M,Total,Фојница,6197
2013,Број,Ж,Total,Фојница,6159
2013,Број,Оба пола,Total,Гацко,8990
2013,Број,M,Total,Гацко,4556
2013,Број,Ж,Total,Гацко,4434
2013,Број,Оба пола,Total,Гламоч,3860
2013,Број,M,Total,Гламоч,1963
2013,Број,Ж,Total,Гламоч,1897
2013,Број,Оба пола,Total,Горажде,20897
2013,Број,M,Total,Горажде,10163
2013,Број,Ж,Total,Горажде,10734
2013,Број,Оба пола,Total,Горњи Вакуф-Ускопље,20933
2013,Број,M,Total,Горњи Вакуф-Ускопље,10532
2013,Број,Ж,Total,Горњи Вакуф-Ускопље,10401
2013,Број,Оба пола,Total,Грачаница,45220
2013,Број,M,Total,Грачаница,21641
2013,Број,Ж,Total,Грачаница,23579
2013,Број,Оба пола,Total,Градачац,39340
2013,Број,M,Total,Градачац,19234
2013,Број,Ж,Total,Градачац,20106
2013,Број,Оба пола,Total,Градишка,51727
2013,Број,M,Total,Градишка,25271
2013,Број,Ж,Total,Градишка,26456
2013,Број,Оба пола,Total,Груде,17308
2013,Број,M,Total,Груде,8621
2013,Број,Ж,Total,Груде,8687
2013,Број,Оба пола,Total,Сарајево-Хаџићи,23891
2013,Број,M,Total,Сарајево-Хаџићи,11914
2013,Број,Ж,Total,Сарајево-Хаџићи,11977
2013,Број,Оба пола,Total,Хан Пијесак,3530
2013,Број,M,Total,Хан Пијесак,1667
2013,Број,Ж,Total,Хан Пијесак,1863
2013,Број,Оба пола,Total,Сарајево-Илиџа,66730
2013,Број,M,Total,Сарајево-Илиџа,32359
2013,Број,Ж,Total,Сарајево-Илиџа,34371
2013,Број,Оба пола,Total,Сарајево-Илијаш,19603
2013,Број,M,Total,Сарајево-Илијаш,9381
2013,Број,Ж,Total,Сарајево-Илијаш,10222
2013,Број,Оба пола,Total,Источна Илиџа,14763
2013,Број,M,Total,Источна Илиџа,7069
2013,Број,Ж,Total,Источна Илиџа,7694
2013,Број,Оба пола,Total,Источни Дрвар,79
2013,Број,M,Total,Источни Дрвар,53
2013,Број,Ж,Total,Источни Дрвар,26
2013,Број,Оба пола,Total,Источни Мостар,257
2013,Број,M,Total,Источни Мостар,142
2013,Број,Ж,Total,Источни Мостар,115
2013,Број,Оба пола,Total,Источни Стари Град,1131
2013,Број,M,Total,Источни Стари Град,560
2013,Број,Ж,Total,Источни Стари Град,571
2013,Број,Оба пола,Total,Источно Ново Сарајево,10642
2013,Број,M,Total,Источно Ново Сарајево,5058
2013,Број,Ж,Total,Источно Ново Сарајево,5584
2013,Број,Оба пола,Total,Јабланица,10111
2013,Број,M,Total,Јабланица,5027
2013,Број,Ж,Total,Јабланица,5084
2013,Број,Оба пола,Total,Јајце,27258
2013,Број,M,Total,Јајце,13856
2013,Број,Ж,Total,Јајце,13402
2013,Број,Оба пола,Total,Језеро,1144
2013,Број,M,Total,Језеро,601
2013,Број,Ж,Total,Језеро,543
2013,Број,Оба пола,Total,Какањ,37441
2013,Број,M,Total,Какањ,18651
2013,Број,Ж,Total,Какањ,18790
2013,Број,Оба пола,Total,Калесија,33053
2013,Број,M,Total,Калесија,16597
2013,Број,Ж,Total,Калесија,16456
2013,Број,Оба пола,Total,Калиновик,2029
2013,Број,M,Total,Калиновик,987
2013,Број,Ж,Total,Калиновик,1042
2013,Број,Оба пола,Total,Кисељак,20722
2013,Број,M,Total,Кисељак,10285
2013,Број,Ж,Total,Кисељак,10437
2013,Број,Оба пола,Total,Кладањ,12348
2013,Број,M,Total,Кладањ,6108
2013,Број,Ж,Total,Кладањ,6240
2013,Број,Оба пола,Total,Кључ,16744
2013,Број,M,Total,Кључ,8365
2013,Број,Ж,Total,Кључ,8379
2013,Број,Оба пола,Total,Кнежево,9793
2013,Број,M,Total,Кнежево,4892
2013,Број,Ж,Total,Кнежево,4901
2013,Број,Оба пола,Total,Коњиц,25148
2013,Број,M,Total,Коњиц,12360
2013,Број,Ж,Total,Коњиц,12788
2013,Број,Оба пола,Total,Костајница,5977
2013,Број,M,Total,Костајница,2967
2013,Број,Ж,Total,Костајница,3010
2013,Број,Оба пола,Total,Котор Варош,19710
2013,Број,M,Total,Котор Варош,9818
2013,Број,Ж,Total,Котор Варош,9892
2013,Број,Оба пола,Total,Козарска Дубица,21524
2013,Број,M,Total,Козарска Дубица,10516
2013,Број,Ж,Total,Козарска Дубица,11008
2013,Број,Оба пола,Total,Крешево,5273
2013,Број,M,Total,Крешево,2597
2013,Број,Ж,Total,Крешево,2676
2013,Број,Оба пола,Total,Крупа на Уни,1597
2013,Број,M,Total,Крупа на Уни,862
2013,Број,Ж,Total,Крупа на Уни,735
2013,Број,Оба пола,Total,Купрес-ФБиХ,5057
2013,Број,M,Total,Купрес-ФБиХ,2541
2013,Број,Ж,Total,Купрес-ФБиХ,2516
2013,Број,Оба пола,Total,Купрес-РС,300
2013,Број,M,Total,Купрес-РС,160
2013,Број,Ж,Total,Купрес-РС,140
2013,Број,Оба пола,Total,Лакташи,34966
2013,Број,M,Total,Лакташи,17320
2013,Број,Ж,Total,Лакташи,17646
2013,Број,Оба пола,Total,Ливно,34133
2013,Број,M,Total,Ливно,17024
2013,Број,Ж,Total,Ливно,17109
2013,Број,Оба пола,Total,Лопаре,15357
2013,Број,M,Total,Лопаре,7749
2013,Број,Ж,Total,Лопаре,7608
2013,Број,Оба пола,Total,Лукавац,44520
2013,Број,M,Total,Лукавац,21786
2013,Број,Ж,Total,Лукавац,22734
2013,Број,Оба пола,Total,Љубиње,3511
2013,Број,M,Total,Љубиње,1725
2013,Број,Ж,Total,Љубиње,1786
2013,Број,Оба пола,Total,Љубушки,28184
2013,Број,M,Total,Љубушки,14022
2013,Број,Ж,Total,Љубушки,14162
2013,Број,Оба пола,Total,Маглај,23146
2013,Број,M,Total,Маглај,11430
2013,Број,Ж,Total,Маглај,11716
2013,Број,Оба пола,Total,Милићи,11441
2013,Број,M,Total,Милићи,5798
2013,Број,Ж,Total,Милићи,5643
2013,Број,Оба пола,Total,Модрича,25720
2013,Број,M,Total,Модрича,12561
2013,Број,Ж,Total,Модрича,13159
2013,Број,Оба пола,Total,Мостар,105797
2013,Број,M,Total,Мостар,51210
2013,Број,Ж,Total,Мостар,54587
2013,Број,Оба пола,Total,Мркоњић Град,16671
2013,Број,M,Total,Мркоњић Град,8096
2013,Број,Ж,Total,Мркоњић Град,8575
2013,Број,Оба пола,Total,Неум,4653
2013,Број,M,Total,Неум,2344
2013,Број,Ж,Total,Неум,2309
2013,Број,Оба пола,Total,Невесиње,12961
2013,Број,M,Total,Невесиње,6462
2013,Број,Ж,Total,Невесиње,6499
2013,Број,Оба пола,Total,Нови Град,27115
2013,Број,M,Total,Нови Град,13594
2013,Број,Ж,Total,Нови Град,13521
2013,Број,Оба пола,Total,Сарајево-Нови Град,118553
2013,Број,M,Total,Сарајево-Нови Град,55735
2013,Број,Ж,Total,Сарајево-Нови Град,62818
2013,Број,Оба пола,Total,Нови Травник,23832
2013,Број,M,Total,Нови Травник,11862
2013,Број,Ж,Total,Нови Травник,11970
2013,Број,Оба пола,Total,Ново Горажде,3117
2013,Број,M,Total,Ново Горажде,1618
2013,Број,Ж,Total,Ново Горажде,1499
2013,Број,Оба пола,Total,Сарајево-Ново Сарајево,64814
2013,Број,M,Total,Сарајево-Ново Сарајево,29580
2013,Број,Ж,Total,Сарајево-Ново Сарајево,35234
2013,Број,Оба пола,Total,Оџак,18821
2013,Број,M,Total,Оџак,9373
2013,Број,Ж,Total,Оџак,9448
2013,Број,Оба пола,Total,Олово,10175
2013,Број,M,Total,Олово,5084
2013,Број,Ж,Total,Олово,5091
2013,Број,Оба пола,Total,Орашје,19861
2013,Број,M,Total,Орашје,10059
2013,Број,Ж,Total,Орашје,9802
2013,Број,Оба пола,Total,Осмаци,6016
2013,Број,M,Total,Осмаци,3065
2013,Број,Ж,Total,Осмаци,2951
2013,Број,Оба пола,Total,Оштра Лука,2786
2013,Број,M,Total,Оштра Лука,1440
2013,Број,Ж,Total,Оштра Лука,1346
2013,Број,Оба пола,Total,Пале-ФБиХ,904
2013,Број,M,Total,Пале-ФБиХ,456
2013,Број,Ж,Total,Пале-ФБиХ,448
2013,Број,Оба пола,Total,Пале-РС,20909
2013,Број,M,Total,Пале-РС,10038
2013,Број,Ж,Total,Пале-РС,10871
2013,Број,Оба пола,Total,Пелагићево,5220
2013,Број,M,Total,Пелагићево,2609
2013,Број,Ж,Total,Пелагићево,2611
2013,Број,Оба пола,Total,Петровац,361
2013,Број,M,Total,Петровац,172
2013,Број,Ж,Total,Петровац,189
2013,Број,Оба пола,Total,Петрово,6474
2013,Број,M,Total,Петрово,3124
2013,Број,Ж,Total,Петрово,3350
2013,Број,Оба пола,Total,Посушје,20477
2013,Број,M,Total,Посушје,10287
2013,Број,Ж,Total,Посушје,10190
2013,Број,Оба пола,Total,Приједор,89397
2013,Број,M,Total,Приједор,43863
2013,Број,Ж,Total,Приједор,45534
2013,Број,Оба пола,Total,Прњавор,35956
2013,Број,M,Total,Прњавор,17572
2013,Број,Ж,Total,Прњавор,18384
2013,Број,Оба пола,Total,Прозор,14280
2013,Број,M,Total,Прозор,7210
2013,Број,Ж,Total,Прозор,7070
2013,Број,Оба пола,Total,Равно,3219
2013,Број,M,Total,Равно,1657
2013,Број,Ж,Total,Равно,1562
