Year,Пол,UNIT_MEASURE,Највиши достигнути степен образовања,Value
2013,Оба пола,Број,Необразован,146078
2013,Оба пола,Број,Незавршено основно образовање,274036
2013,Оба пола,Број,Основна школа,640726
2013,Оба пола,Број,Secondary_school,1525161
2013,Оба пола,Број,Специјализација након завршене средње школе,21613
2013,Оба пола,Број,Средња школа и прва година факултета,94204
2013,Оба пола,Број,Напредне школе/факултет/академија/универзитет,285622
2013,M,Број,Необразован,24021
2013,M,Број,Незавршено основно образовање,83216
2013,M,Број,Основна школа,274258
2013,M,Број,Secondary_school,864823
2013,M,Број,Специјализација након завршене средње школе,17877
2013,M,Број,Средња школа и прва година факултета,51556
2013,M,Број,Напредне школе/факултет/академија/универзитет,137543
2013,Ж,Број,Необразован,122057
2013,Ж,Број,Незавршено основно образовање,190820
2013,Ж,Број,Основна школа,366468
2013,Ж,Број,Secondary_school,660338
2013,Ж,Број,Специјализација након завршене средње школе,3736
2013,Ж,Број,Средња школа и прва година факултета,42648
2013,Ж,Број,Напредне школе/факултет/академија/универзитет,148079
