Year,UNIT_MEASURE,Врста корисника,Пол,Value
2015,Број,Оба пола,Оба пола,561284
2015,Број,Оба пола,M,280867
2015,Број,Оба пола,Ж,280417
2015,Број,Малољетни корисници,Оба пола,143552
2015,Број,Малољетни корисници,M,74753
2015,Број,Малољетни корисници,Ж,68799
2015,Број,Одрасли корисници,Оба пола,417732
2015,Број,Одрасли корисници,M,206114
2015,Број,Одрасли корисници,Ж,211618
2016,Број,Оба пола,Оба пола,542736
2016,Број,Оба пола,M,268561
2016,Број,Оба пола,Ж,274175
2016,Број,Малољетни корисници,Оба пола,133504
2016,Број,Малољетни корисници,M,70405
2016,Број,Малољетни корисници,Ж,63099
2016,Број,Одрасли корисници,Оба пола,409232
2016,Број,Одрасли корисници,M,198156
2016,Број,Одрасли корисници,Ж,211076
2017,Број,Оба пола,Оба пола,541572
2017,Број,Оба пола,M,280855
2017,Број,Оба пола,Ж,260717
2017,Број,Малољетни корисници,Оба пола,127682
2017,Број,Малољетни корисници,M,67353
2017,Број,Малољетни корисници,Ж,60329
2017,Број,Одрасли корисници,Оба пола,413890
2017,Број,Одрасли корисници,M,213502
2017,Број,Одрасли корисници,Ж,200388
2018,Број,Оба пола,Оба пола,549546
2018,Број,Оба пола,M,283301
2018,Број,Оба пола,Ж,266245
2018,Број,Малољетни корисници,Оба пола,129673
2018,Број,Малољетни корисници,M,69291
2018,Број,Малољетни корисници,Ж,60382
2018,Број,Одрасли корисници,Оба пола,419873
2018,Број,Одрасли корисници,M,214010
2018,Број,Одрасли корисници,Ж,205863
2019,Број,Оба пола,Оба пола,540302
2019,Број,Оба пола,M,279848
2019,Број,Оба пола,Ж,260454
2019,Број,Малољетни корисници,Оба пола,126324
2019,Број,Малољетни корисници,M,67023
2019,Број,Малољетни корисници,Ж,59301
2019,Број,Одрасли корисници,Оба пола,413978
2019,Број,Одрасли корисници,M,212825
2019,Број,Одрасли корисници,Ж,201153
2020,Број,Оба пола,Оба пола,546605
2020,Број,Оба пола,M,279742
2020,Број,Оба пола,Ж,266863
2020,Број,Малољетни корисници,Оба пола,119875
2020,Број,Малољетни корисници,M,64126
2020,Број,Малољетни корисници,Ж,55749
2020,Број,Одрасли корисници,Оба пола,426730
2020,Број,Одрасли корисници,M,215616
2020,Број,Одрасли корисници,Ж,211114
