Year,UNIT_MEASURE,Врста установе,Пол,Value
2015,Број,Оба пола,Оба пола,7871
2015,Број,Оба пола,M,3645
2015,Број,Оба пола,Ж,4226
2015,Број,Домови за дјецу и младе без родитељског старања,Оба пола,997
2015,Број,Домови за дјецу и младе без родитељског старања,M,527
2015,Број,Домови за дјецу и младе без родитељског старања,Ж,470
2015,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,1742
2015,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1041
2015,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,701
2015,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,282
2015,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,201
2015,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,81
2015,Број,Установе социјалне заштите за одрасле,Оба пола,4850
2015,Број,Установе социјалне заштите за одрасле,M,1876
2015,Број,Установе социјалне заштите за одрасле,Ж,2974
2016,Број,Оба пола,Оба пола,9249
2016,Број,Оба пола,M,4455
2016,Број,Оба пола,Ж,4794
2016,Број,Домови за дјецу и младе без родитељског старања,Оба пола,970
2016,Број,Домови за дјецу и младе без родитељског старања,M,487
2016,Број,Домови за дјецу и младе без родитељског старања,Ж,483
2016,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,2742
2016,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1668
2016,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,1074
2016,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,213
2016,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,141
2016,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,72
2016,Број,Установе социјалне заштите за одрасле,Оба пола,5324
2016,Број,Установе социјалне заштите за одрасле,M,2159
2016,Број,Установе социјалне заштите за одрасле,Ж,3165
2017,Број,Оба пола,Оба пола,9800
2017,Број,Оба пола,M,4489
2017,Број,Оба пола,Ж,5311
2017,Број,Домови за дјецу и младе без родитељског старања,Оба пола,1070
2017,Број,Домови за дјецу и младе без родитељског старања,M,538
2017,Број,Домови за дјецу и младе без родитељског старања,Ж,532
2017,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,2748
