Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,2861
2012,Број,Оба пола,3156
2013,Број,Оба пола,3228
2014,Број,Оба пола,3534
2015,Број,Оба пола,3780
2016,Број,Оба пола,4453
2017,Број,Оба пола,4884
2018,Број,Оба пола,5663
2019,Број,Оба пола,6076
2020,Број,Оба пола,5751
2011,Број,M,1528
2012,Број,M,1616
2013,Број,M,1719
2014,Број,M,1808
2015,Број,M,2009
2016,Број,M,2403
2017,Број,M,2535
2018,Број,M,2948
2019,Број,M,3137
2020,Број,M,2854
2011,Број,Ж,1333
2012,Број,Ж,1540
2013,Број,Ж,1509
2014,Број,Ж,1726
2015,Број,Ж,1771
2016,Број,Ж,2050
2017,Број,Ж,2349
2018,Број,Ж,2715
2019,Број,Ж,2939
2020,Број,Ж,2897
