Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,11333.0
2014,Број,Образовање,Оба пола,1199.0
2014,Број,Умјетност и хуманистичке науке,Оба пола,1393.0
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,2491.0
2014,Број,"Пословање, администрација, и право",Оба пола,1674.0
2014,Број,"Природне науке, математика, и статистика",Оба пола,593.0
2014,Број,Информационе и комуникационе технологије,Оба пола,286.0
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,1516.0
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,539.0
2014,Број,Здравство и социјална заштита,Оба пола,961.0
2014,Број,Услуге,Оба пола,586.0
2014,Број,Непознато,Оба пола,95.0
2014,Број,Укупно,M,4494.0
2014,Број,Образовање,M,313.0
2014,Број,Умјетност и хуманистичке науке,M,470.0
2014,Број,"Друштвене науке, новинарство и информисање",M,968.0
2014,Број,"Пословање, администрација, и право",M,625.0
2014,Број,"Природне науке, математика, и статистика",M,175.0
2014,Број,Информационе и комуникационе технологије,M,176.0
2014,Број,"Инжењерство, производња и грађевинарство",M,965.0
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,248.0
2014,Број,Здравство и социјална заштита,M,189.0
2014,Број,Услуге,M,334.0
2014,Број,Непознато,M,31.0
2014,Број,Укупно,Ж,6839.0
2014,Број,Образовање,Ж,886.0
2014,Број,Умјетност и хуманистичке науке,Ж,923.0
2014,Број,"Друштвене науке, новинарство и информисање",Ж,1523.0
2014,Број,"Пословање, администрација, и право",Ж,1049.0
2014,Број,"Природне науке, математика, и статистика",Ж,418.0
2014,Број,Информационе и комуникационе технологије,Ж,110.0
2014,Број,"Инжењерство, производња и грађевинарство",Ж,551.0
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,291.0
2014,Број,Здравство и социјална заштита,Ж,772.0
2014,Број,Услуге,Ж,252.0
2014,Број,Непознато,Ж,64.0
2015,Број,Укупно,Оба пола,12062.0
2015,Број,Образовање,Оба пола,910.0
2015,Број,Умјетност и хуманистичке науке,Оба пола,1407.0
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,2674.0
2015,Број,"Пословање, администрација, и право",Оба пола,2158.0
2015,Број,"Природне науке, математика, и статистика",Оба пола,659.0
2015,Број,Информационе и комуникационе технологије,Оба пола,332.0
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,1827.0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,585.0
2015,Број,Здравство и социјална заштита,Оба пола,905.0
2015,Број,Услуге,Оба пола,574.0
2015,Број,Непознато,Оба пола,31.0
2015,Број,Укупно,M,4717.0
2015,Број,Образовање,M,245.0
2015,Број,Умјетност и хуманистичке науке,M,438.0
2015,Број,"Друштвене науке, новинарство и информисање",M,1031.0
2015,Број,"Пословање, администрација, и право",M,723.0
2015,Број,"Природне науке, математика, и статистика",M,182.0
2015,Број,Информационе и комуникационе технологије,M,224.0
2015,Број,"Инжењерство, производња и грађевинарство",M,1128.0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,257.0
2015,Број,Здравство и социјална заштита,M,172.0
2015,Број,Услуге,M,308.0
2015,Број,Непознато,M,9.0
2015,Број,Укупно,Ж,7345.0
2015,Број,Образовање,Ж,665.0
2015,Број,Умјетност и хуманистичке науке,Ж,969.0
2015,Број,"Друштвене науке, новинарство и информисање",Ж,1643.0
2015,Број,"Пословање, администрација, и право",Ж,1435.0
2015,Број,"Природне науке, математика, и статистика",Ж,477.0
2015,Број,Информационе и комуникационе технологије,Ж,108.0
2015,Број,"Инжењерство, производња и грађевинарство",Ж,699.0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,328.0
2015,Број,Здравство и социјална заштита,Ж,733.0
2015,Број,Услуге,Ж,266.0
2015,Број,Непознато,Ж,22.0
2016,Број,Укупно,Оба пола,11604.0
2016,Број,Образовање,Оба пола,900.0
2016,Број,Умјетност и хуманистичке науке,Оба пола,1399.0
2016,Број,"Друштвене науке, новинарство и информисање",Оба пола,1839.0
2016,Број,"Пословање, администрација, и право",Оба пола,2676.0
2016,Број,"Природне науке, математика, и статистика",Оба пола,724.0
2016,Број,Информационе и комуникационе технологије,Оба пола,510.0
2016,Број,"Инжењерство, производња и грађевинарство",Оба пола,1626.0
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,566.0
2016,Број,Здравство и социјална заштита,Оба пола,859.0
2016,Број,Услуге,Оба пола,454.0
2016,Број,Непознато,Оба пола,51.0
2016,Број,Укупно,M,4655.0
2016,Број,Образовање,M,275.0
2016,Број,Умјетност и хуманистичке науке,M,448.0
2016,Број,"Друштвене науке, новинарство и информисање",M,704.0
2016,Број,"Пословање, администрација, и право",M,971.0
2016,Број,"Природне науке, математика, и статистика",M,215.0
2016,Број,Информационе и комуникационе технологије,M,351.0
2016,Број,"Инжењерство, производња и грађевинарство",M,978.0
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,267.0
2016,Број,Здравство и социјална заштита,M,204.0
2016,Број,Услуге,M,218.0
2016,Број,Непознато,M,24.0
2016,Број,Укупно,Ж,6949.0
2016,Број,Образовање,Ж,625.0
2016,Број,Умјетност и хуманистичке науке,Ж,951.0
2016,Број,"Друштвене науке, новинарство и информисање",Ж,1135.0
2016,Број,"Пословање, администрација, и право",Ж,1705.0
2016,Број,"Природне науке, математика, и статистика",Ж,509.0
2016,Број,Информационе и комуникационе технологије,Ж,159.0
2016,Број,"Инжењерство, производња и грађевинарство",Ж,648.0
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,299.0
2016,Број,Здравство и социјална заштита,Ж,655.0
2016,Број,Услуге,Ж,236.0
2016,Број,Непознато,Ж,27.0
2017,Број,Укупно,Оба пола,11360.0
2017,Број,Образовање,Оба пола,838.0
2017,Број,Умјетност и хуманистичке науке,Оба пола,1336.0
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,1767.0
2017,Број,"Пословање, администрација, и право",Оба пола,2456.0
2017,Број,"Природне науке, математика, и статистика",Оба пола,656.0
2017,Број,Информационе и комуникационе технологије,Оба пола,494.0
2017,Број,"Инжењерство, производња и грађевинарство",Оба пола,1763.0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,595.0
2017,Број,Здравство и социјална заштита,Оба пола,786.0
2017,Број,Услуге,Оба пола,517.0
2017,Број,Непознато,Оба пола,152.0
2017,Број,Укупно,M,4471.0
2017,Број,Образовање,M,206.0
2017,Број,Умјетност и хуманистичке науке,M,394.0
2017,Број,"Друштвене науке, новинарство и информисање",M,662.0
2017,Број,"Пословање, администрација, и право",M,876.0
2017,Број,"Природне науке, математика, и статистика",M,169.0
2017,Број,Информационе и комуникационе технологије,M,331.0
2017,Број,"Инжењерство, производња и грађевинарство",M,1070.0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,269.0
2017,Број,Здравство и социјална заштита,M,174.0
2017,Број,Услуге,M,280.0
2017,Број,Непознато,M,40.0
2017,Број,Укупно,Ж,6889.0
2017,Број,Образовање,Ж,632.0
2017,Број,Умјетност и хуманистичке науке,Ж,942.0
2017,Број,"Друштвене науке, новинарство и информисање",Ж,1105.0
2017,Број,"Пословање, администрација, и право",Ж,1580.0
2017,Број,"Природне науке, математика, и статистика",Ж,487.0
2017,Број,Информационе и комуникационе технологије,Ж,163.0
2017,Број,"Инжењерство, производња и грађевинарство",Ж,693.0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,326.0
2017,Број,Здравство и социјална заштита,Ж,612.0
2017,Број,Услуге,Ж,237.0
2017,Број,Непознато,Ж,112.0
2018,Број,Укупно,Оба пола,12083.0
2018,Број,Образовање,Оба пола,1188.0
2018,Број,Умјетност и хуманистичке науке,Оба пола,1348.0
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,1800.0
2018,Број,"Пословање, администрација, и право",Оба пола,2411.0
2018,Број,"Природне науке, математика, и статистика",Оба пола,673.0
2018,Број,Информационе и комуникационе технологије,Оба пола,578.0
2018,Број,"Инжењерство, производња и грађевинарство",Оба пола,1879.0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,694.0
2018,Број,Здравство и социјална заштита,Оба пола,1050.0
2018,Број,Услуге,Оба пола,390.0
2018,Број,Непознато,Оба пола,72.0
2018,Број,Укупно,M,4563.0
2018,Број,Образовање,M,286.0
2018,Број,Умјетност и хуманистичке науке,M,393.0
2018,Број,"Друштвене науке, новинарство и информисање",M,627.0
2018,Број,"Пословање, администрација, и право",M,864.0
2018,Број,"Природне науке, математика, и статистика",M,176.0
2018,Број,Информационе и комуникационе технологије,M,350.0
2018,Број,"Инжењерство, производња и грађевинарство",M,1100.0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,303.0
2018,Број,Здравство и социјална заштита,M,231.0
2018,Број,Услуге,M,209.0
2018,Број,Непознато,M,24.0
2018,Број,Укупно,Ж,7520.0
2018,Број,Образовање,Ж,902.0
2018,Број,Умјетност и хуманистичке науке,Ж,955.0
2018,Број,"Друштвене науке, новинарство и информисање",Ж,1173.0
2018,Број,"Пословање, администрација, и право",Ж,1547.0
2018,Број,"Природне науке, математика, и статистика",Ж,497.0
2018,Број,Информационе и комуникационе технологије,Ж,228.0
2018,Број,"Инжењерство, производња и грађевинарство",Ж,779.0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,391.0
2018,Број,Здравство и социјална заштита,Ж,819.0
2018,Број,Услуге,Ж,181.0
2018,Број,Непознато,Ж,48.0
2019,Број,Укупно,Оба пола,12449.0
2019,Број,Образовање,Оба пола,1129.0
2019,Број,Умјетност и хуманистичке науке,Оба пола,1387.0
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,1737.0
2019,Број,"Пословање, администрација, и право",Оба пола,2522.0
2019,Број,"Природне науке, математика, и статистика",Оба пола,659.0
2019,Број,Информационе и комуникационе технологије,Оба пола,505.0
2019,Број,"Инжењерство, производња и грађевинарство",Оба пола,1927.0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,737.0
2019,Број,Здравство и социјална заштита,Оба пола,1158.0
2019,Број,Услуге,Оба пола,603.0
2019,Број,Непознато,Оба пола,85.0
2019,Број,Укупно,M,4808.0
2019,Број,Образовање,M,324.0
2019,Број,Умјетност и хуманистичке науке,M,448.0
2019,Број,"Друштвене науке, новинарство и информисање",M,629.0
2019,Број,"Пословање, администрација, и право",M,877.0
2019,Број,"Природне науке, математика, и статистика",M,171.0
2019,Број,Информационе и комуникационе технологије,M,314.0
2019,Број,"Инжењерство, производња и грађевинарство",M,1103.0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,316.0
2019,Број,Здравство и социјална заштита,M,271.0
2019,Број,Услуге,M,328.0
2019,Број,Непознато,M,27.0
2019,Број,Укупно,Ж,7641.0
2019,Број,Образовање,Ж,805.0
2019,Број,Умјетност и хуманистичке науке,Ж,939.0
2019,Број,"Друштвене науке, новинарство и информисање",Ж,1108.0
2019,Број,"Пословање, администрација, и право",Ж,1645.0
2019,Број,"Природне науке, математика, и статистика",Ж,488.0
2019,Број,Информационе и комуникационе технологије,Ж,191.0
2019,Број,"Инжењерство, производња и грађевинарство",Ж,824.0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,421.0
2019,Број,Здравство и социјална заштита,Ж,887.0
2019,Број,Услуге,Ж,275.0
