Year,UNIT_MEASURE,Старосна доб,Пол,Value
2016,Број,25 - 64,Оба пола,6.9
2016,Број,25 - 64,M,7.1
2016,Број,25 - 64,Ж,6.7
2016,Број,25 - 34,Оба пола,16.6
2016,Број,25 - 34,M,16.4
2016,Број,25 - 34,Ж,16.8
2016,Број,35 - 44,Оба пола,9.3
2016,Број,35 - 44,M,9.7
2016,Број,35 - 44,Ж,8.8
2016,Број,35 - 54,Оба пола,7.3
2016,Број,35 - 54,M,7.6
2016,Број,35 - 54,Ж,6.9
2016,Број,45 - 54,Оба пола,5.9
2016,Број,45 - 54,M,6.2
2016,Број,45 - 54,Ж,5.6
2016,Број,55 - 64,Оба пола,2.6
2016,Број,55 - 64,M,3.0
2016,Број,55 - 64,Ж,2.2
