Year,UNIT_MEASURE,Врста установе,Value
2011,Број,Оба пола,1
2012,Број,Оба пола,1
2013,Број,Оба пола,1
2014,Број,Оба пола,1
2015,Број,Оба пола,1
2016,Број,Оба пола,1
2017,Број,Оба пола,1
2018,Број,Оба пола,1
2019,Број,Оба пола,1
2020,Број,Оба пола,1
2011,Број,Јавна,1
2012,Број,Јавна,1
2013,Број,Јавна,1
2014,Број,Јавна,1
2015,Број,Јавна,1
2016,Број,Јавна,1
2017,Број,Јавна,1
2018,Број,publicv,1
2019,Број,Јавна,1
2020,Број,Јавна,1
2011,Број,Приватна,1
2012,Број,Приватна,1
2013,Број,Приватна,1
2014,Број,Приватна,1
2015,Број,Приватна,1
2016,Број,Приватна,1
2017,Број,Приватна,1
2018,Број,Приватна,1
2019,Број,Приватна,1
2020,Број,Приватна,1
