Year,Квартал,UNIT_MEASURE,Пол,Старосна доб,Value
2021,I квартал,%,Оба пола,15 - 89,38.0
2021,I квартал,%,Оба пола,15 - 24,20.0
2021,I квартал,%,Оба пола,25 - 49,62.0
2021,I квартал,%,Оба пола,50 - 64,39.0
2021,I квартал,%,Оба пола,65+,3.0
2021,I квартал,%,Оба пола,15 - 64,47.0
2021,I квартал,%,Оба пола,20 - 64,51.0
2021,I квартал,%,Оба пола,25 - 34,58.0
2021,I квартал,%,Оба пола,15 - 74,41.0
2021,I квартал,%,Оба пола,65 - 74,4.0
2021,I квартал,%,M,15 - 89,50.0
2021,I квартал,%,M,15 - 24,26.0
2021,I квартал,%,M,25 - 49,76.0
2021,I квартал,%,M,50 - 64,52.0
2021,I квартал,%,M,65+,5.0
2021,I квартал,%,M,15 - 64,60.0
2021,I квартал,%,M,20 - 64,64.0
2021,I квартал,%,M,25 - 34,72.0
2021,I квартал,%,M,15 - 74,53.0
2021,I квартал,%,M,65 - 74,5.0
2021,I квартал,%,Ж,15 - 89,27.0
2021,I квартал,%,Ж,15 - 24,13.0
2021,I квартал,%,Ж,25 - 49,47.0
2021,I квартал,%,Ж,50 - 64,26.0
2021,I квартал,%,Ж,65+,2.0
2021,I квартал,%,Ж,15 - 64,35.0
2021,I квартал,%,Ж,20 - 64,37.0
2021,I квартал,%,Ж,25 - 34,43.0
2021,I квартал,%,Ж,15 - 74,30.0
2021,I квартал,%,Ж,65 - 74,3.0
2021,II квартал,%,Оба пола,15 - 89,39.0
2021,II квартал,%,Оба пола,15 - 24,19.0
2021,II квартал,%,Оба пола,25 - 49,63.0
2021,II квартал,%,Оба пола,50 - 64,40.0
2021,II квартал,%,Оба пола,65+,4.0
2021,II квартал,%,Оба пола,15 - 64,48.0
2021,II квартал,%,Оба пола,20 - 64,52.0
2021,II квартал,%,Оба пола,25 - 34,58.0
2021,II квартал,%,Оба пола,15 - 74,42.0
2021,II квартал,%,Оба пола,65 - 74,5.0
2021,II квартал,%,M,15 - 89,50.0
2021,II квартал,%,M,15 - 24,25.0
2021,II квартал,%,M,25 - 49,76.0
2021,II квартал,%,M,50 - 64,53.0
2021,II квартал,%,M,65+,5.0
2021,II квартал,%,M,15 - 64,60.0
2021,II квартал,%,M,20 - 64,65.0
2021,II квартал,%,M,25 - 34,71.0
2021,II квартал,%,M,15 - 74,53.0
2021,II квартал,%,M,65 - 74,6.0
2021,II квартал,%,Ж,15 - 89,29.0
2021,II квартал,%,Ж,15 - 24,13.0
2021,II квартал,%,Ж,25 - 49,49.0
2021,II квартал,%,Ж,50 - 64,28.0
2021,II квартал,%,Ж,65+,3.0
2021,II квартал,%,Ж,15 - 64,36.0
2021,II квартал,%,Ж,20 - 64,39.0
2021,II квартал,%,Ж,25 - 34,45.0
2021,II квартал,%,Ж,15 - 74,31.0
2021,II квартал,%,Ж,65 - 74,4.0
2021,III квартал,%,Оба пола,15 - 89,40.0
2021,Q,3%,Оба пола,15 - 24,20.0
2021,III квартал,%,Оба пола,25 - 49,64.0
2021,III квартал,%,Оба пола,50 - 64,43.0
2021,III квартал,%,Оба пола,65+,3.0
2021,III квартал,%,Оба пола,15 - 64,50.0
2021,III квартал,%,Оба пола,20 - 64,54.0
2021,III квартал,%,Оба пола,25 - 34,61.0
2021,III квартал,%,Оба пола,15 - 74,43.0
2021,III квартал,%,Оба пола,65 - 74,4.0
2021,III квартал,%,M,15 - 89,52.0
2021,III квартал,%,M,15 - 24,26.0
2021,III квартал,%,M,25 - 49,78.0
2021,III квартал,%,M,50 - 64,57.0
2021,III квартал,%,M,65+,4.0
2021,III квартал,%,M,15 - 64,62.0
2021,III квартал,%,M,20 - 64,67.0
2021,III квартал,%,M,25 - 34,73.0
2021,III квартал,%,M,15 - 74,55.0
2021,III квартал,%,M,65 - 74,6.0
2021,III квартал,%,Ж,15 - 89,29.0
2021,III квартал,%,Ж,15 - 24,13.0
2021,III квартал,%,Ж,25 - 49,50.0
2021,III квартал,%,Ж,50 - 64,29.0
2021,III квартал,%,Ж,65+,3.0
2021,III квартал,%,Ж,15 - 64,37.0
2021,III квартал,%,Ж,20 - 64,40.0
2021,III квартал,%,Ж,25 - 34,48.0
2021,III квартал,%,Ж,15 - 74,32.0
2021,III квартал,%,Ж,65 - 74,3.0
2021,IV квартал,%,Оба пола,15 - 89,41.0
2021,Q4%,Оба пола,15 - 24,20.0,
2021,IV квартал,%,Оба пола,25 - 49,65.0
2021,IV квартал,%,Оба пола,50 - 64,43.0
2021,IV квартал,%,Оба пола,65+,3.0
2021,IV квартал,%,Оба пола,15 - 64,50.0
2021,IV квартал,%,Оба пола,20 - 64,54.0
2021,IV квартал,%,Оба пола,25 - 34,62.0
2021,IV квартал,%,Оба пола,15 - 74,44.0
2021,IV квартал,%,Оба пола,65 - 74,3.0
2021,IV квартал,%,M,15 - 89,52.0
2021,IV квартал,%,M,15 - 24,25.0
2021,IV квартал,%,M,25 - 49,78.0
2021,IV квартал,%,M,50 - 64,58.0
2021,IV квартал,%,M,65+,4.0
2021,IV квартал,%,M,15 - 64,62.0
2021,IV квартал,%,M,20 - 64,67.0
2021,IV квартал,%,M,25 - 34,74.0
2021,IV квартал,%,M,15 - 74,55.0
2021,IV квартал,%,M,65 - 74,5.0
2021,IV квартал,%,Ж,15 - 89,30.0
2021,IV квартал,%,Ж,15 - 24,16.0
2021,IV квартал,%,Ж,25 - 49,52.0
2021,IV квартал,%,Ж,50 - 64,28.0
2021,IV квартал,%,Ж,65+,2.0
2021,IV квартал,%,Ж,15 - 64,38.0
2021,IV квартал,%,Ж,20 - 64,41.0
2021,IV квартал,%,Ж,25 - 34,50.0
2021,IV квартал,%,Ж,15 - 74,32.0
2021,IV квартал,%,Ж,65 - 74,2.0
2022,I квартал,%,Оба пола,15 - 89,40.0
2022,I квартал,%,Оба пола,15 - 24,19.0
2022,I квартал,%,Оба пола,25 - 49,65.0
2022,I квартал,%,Оба пола,50 - 64,41.0
2022,I квартал,%,Оба пола,65+,3.0
2022,I квартал,%,Оба пола,15 - 64,50.0
2022,I квартал,%,Оба пола,20 - 64,54.0
2022,I квартал,%,Оба пола,25 - 34,60.0
2022,I квартал,%,Оба пола,15 - 74,43.0
2022,I квартал,%,Оба пола,65 - 74,4.0
2022,II квартал,%,M,15 - 89,51.0
2022,I квартал,%,M,15 - 24,24.0
2022,I квартал,%,M,25 - 49,77.0
2022,I квартал,%,M,50 - 64,56.0
2022,I квартал,%,M,65+,4.0
2022,I квартал,%,M,15 - 64,62.0
2022,I квартал,%,M,20 - 64,66.0
2022,I квартал,%,M,25 - 34,72.0
2022,I квартал,%,M,15 - 74,54.0
2022,I квартал,%,M,65 - 74,5.0
2022,I квартал,%,Ж,15 - 89,29.0
2022,I квартал,%,Ж,15 - 24,13.0
2022,I квартал,%,Ж,25 - 49,52.0
2022,I квартал,%,Ж,50 - 64,28.0
2022,I квартал,%,Ж,65+,2.0
2022,I квартал,%,Ж,15 - 64,38.0
2022,I квартал,%,Ж,20 - 64,41.0
2022,I квартал,%,Ж,25 - 34,47.0
2022,I квартал,%,Ж,15 - 74,32.0
2022,I квартал,%,Ж,65 - 74,2.0
