Year,UNIT_MEASURE,Пол,Старосна доб,Value
I квартал,%,Оба пола,15 - 74,19.0
I квартал,%,Оба пола,15 - 24,40.0
I квартал,%,Оба пола,25 - 49,17.0
I квартал,%,Оба пола,50 - 64,15.0
I квартал,%,Оба пола,65+,21.0
I квартал,%,Оба пола,15 - 64,19.0
I квартал,%,Оба пола,20 - 64,19.0
I квартал,%,Оба пола,25 - 34,22.0
I квартал,%,Оба пола,15 - 74,19.0
I квартал,%,Оба пола,65 - 74,21.0
I квартал,%,M,15 - 74,16.0
I квартал,%,M,15 - 24,36.0
I квартал,%,M,25 - 49,13.0
I квартал,%,M,50 - 64,13.0
I квартал,%,M,65+,18.0
I квартал,%,M,15 - 64,16.0
I квартал,%,M,20 - 64,15.0
I квартал,%,M,25 - 34,17.0
I квартал,%,M,15 - 74,16.0
I квартал,%,M,65 - 74,18.0
I квартал,%,Ж,15 - 74,25.0
I квартал,%,Ж,15 - 24,48.0
I квартал,%,Ж,25 - 49,23.0
I квартал,%,Ж,50 - 64,19.0
I квартал,%,Ж,65+,25.0
I квартал,%,Ж,15 - 64,25.0
I квартал,%,Ж,20 - 64,24.0
I квартал,%,Ж,25 - 34,29.0
I квартал,%,Ж,15 - 74,25.0
I квартал,%,Ж,65 - 74,25.0
II квартал,%,Оба пола,15 - 74,18.0
II квартал,%,Оба пола,15 - 24,40.0
II квартал,%,Оба пола,25 - 49,17.0
II квартал,%,Оба пола,50 - 64,13.0
II квартал,%,Оба пола,15 - 64,18.0
II квартал,%,Оба пола,20 - 64,18.0
II квартал,%,Оба пола,25 - 34,22.0
II квартал,%,Оба пола,15 - 74,18.0
II квартал,%,M,15 - 74,15.0
II квартал,%,M,15 - 24,36.0
II квартал,%,M,25 - 49,14.0
II квартал,%,M,50 - 64,12.0
II квартал,%,M,15 - 64,15.0
II квартал,%,M,20 - 64,15.0
II квартал,%,M,25 - 34,18.0
II квартал,%,M,15 - 74,15.0
II квартал,%,Ж,15 - 74,23.0
II квартал,%,Ж,15 - 24,47.0
II квартал,%,Ж,25 - 49,23.0
II квартал,%,Ж,50 - 64,13.0
II квартал,%,Ж,15 - 64,23.0
II квартал,%,Ж,20 - 64,23.0
II квартал,%,Ж,25 - 34,28.0
II квартал,%,Ж,15 - 74,23.0
III квартал,%,Оба пола,15 - 74,16.0
III квартал,%,Оба пола,15 - 24,38.0
III квартал,%,Оба пола,25 - 49,16.0
III квартал,%,Оба пола,50 - 64,11.0
III квартал,%,Оба пола,15 - 64,17.0
III квартал,%,Оба пола,20 - 64,16.0
III квартал,%,Оба пола,25 - 34,19.0
III квартал,%,Оба пола,15 - 74,16.0
III квартал,%,M,15 - 74,14.0
III квартал,%,M,15 - 24,33.0
III квартал,%,M,25 - 49,13.0
III квартал,%,M,50 - 64,9.0
III квартал,%,M,15 - 64,14.0
III квартал,%,M,20 - 64,13.0
III квартал,%,M,25 - 34,17.0
III квартал,%,M,15 - 74,14.0
III квартал,%,Ж,15 - 74,21.0
III квартал,%,Ж,15 - 24,45.0
III квартал,%,Ж,25 - 49,20.0
III квартал,%,Ж,50 - 64,14.0
III квартал,%,Ж,15 - 64,21.0
III квартал,%,Ж,20 - 64,21.0
III квартал,%,Ж,25 - 34,22.0
III квартал,%,Ж,15 - 74,21.0
IV квартал,%,Оба пола,15 - 74,16.0
IV квартал,%,Оба пола,15 - 24,35.0
IV квартал,%,Оба пола,25 - 49,15.0
IV квартал,%,Оба пола,50 - 64,12.0
IV квартал,%,Оба пола,15 - 64,16.0
IV квартал,%,Оба пола,20 - 64,16.0
IV квартал,%,Оба пола,25 - 34,19.0
IV квартал,%,Оба пола,15 - 74,16.0
IV квартал,%,M,15 - 74,13.0
IV квартал,%,M,15 - 24,33.0
IV квартал,%,M,25 - 49,12.0
IV квартал,%,M,50 - 64,10.0
