Year,Квартал,UNIT_MEASURE,status in employment,Пол,Value
2021,I квартал,%,employees_T,85.4,
2021,I квартал,%,self_employed_T,12.2,
2021,I квартал,%,unpaid_family_workers_T,2.5,
2021,II квартал,%,employees_T,84.7,
2021,II квартал,%,self_employed_T,13.6,
2021,II квартал,%,unpaid_family_workers_T,1.6,
2021,III квартал,%,employees_T,84.5,
2021,III квартал,%,self_employed_T,13.7,
2021,III квартал,%,unpaid_family_workers_T,1.7,
2021,IV квартал,%,employees_T,85.9,
2021,IV квартал,%,self_employed_T,12.7,
2021,IV квартал,%,unpaid_family_workers_T,1.5,
2022,I квартал,%,employees_T,87.4,
2022,I квартал,%,self_employed_T,11.3,
2022,I квартал,%,unpaid_family_workers_T,1.3,
2022,II квартал,%,employees_T,87.4,
2022,II квартал,%,self_employed_T,11.4,
2022,II квартал,%,unpaid_family_workers_T,1.2,
2021,I квартал,%,Запосленици,M,84.9
2021,I квартал,%,Самозапосленици,M,13.6
2021,I квартал,%,Неплаћени помажући чланови,M,1.5
2021,II квартал,%,Запосленици,M,84.1
2021,II квартал,%,Самозапосленици,M,15.1
2021,II квартал,%,Неплаћени помажући чланови,M,0.8
2021,III квартал,%,Запосленици,M,84.2
2021,III квартал,%,Самозапосленици,M,15.0
2021,III квартал,%,Неплаћени помажући чланови,M,0.8
2021,IV квартал,%,Запосленици,M,85.1
2021,IV квартал,%,Самозапосленици,M,14.4
2021,IV квартал,%,Неплаћени помажући чланови,M,0.6
2022,I квартал,%,Запосленици,M,86.0
2022,I квартал,%,Самозапосленици,M,13.3
2022,I квартал,%,Неплаћени помажући чланови,M,0.7
2022,II квартал,%,Запосленици,M,86.2
2022,II квартал,%,Самозапосленици,M,13.2
2022,II квартал,%,Неплаћени помажући чланови,M,0.6
2021,I квартал,%,Запосленици,Ж,86.2
2021,I квартал,%,Самозапосленици,Ж,9.7
2021,I квартал,%,Неплаћени помажући чланови,Ж,4.2
2021,II квартал,%,Запосленици,Ж,85.8
2021,II квартал,%,Самозапосленици,Ж,11.1
2021,II квартал,%,Неплаћени помажући чланови,Ж,3.0
2021,III квартал,%,Запосленици,Ж,85.1
2021,III квартал,%,Самозапосленици,Ж,11.6
2021,III квартал,%,Неплаћени помажући чланови,Ж,3.4
2021,IV квартал,%,Запосленици,Ж,87.2
2021,IV квартал,%,Самозапосленици,Ж,9.8
2021,IV квартал,%,Неплаћени помажући чланови,Ж,3.0
2022,I квартал,%,Запосленици,Ж,89.6
2022,I квартал,%,Самозапосленици,Ж,8.0
2022,I квартал,%,Неплаћени помажући чланови,Ж,2.5
2022,II квартал,%,Запосленици,Ж,89.6
2022,II квартал,%,Самозапосленици,Ж,8.3
2022,II квартал,%,Неплаћени помажући чланови,Ж,2.1
